Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
2461,1745,Mohammad Aktar,M,17.0,156.0,48.0,Afghanistan,AFG,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",,0,13248370.0,0.00298542,84.319,41.853,3641723322.0,274.8808587,0.000325154
6598,4628,Mohammad Daoud Anwary,M,22.0,,,Afghanistan,AFG,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Bantamweight, Freestyle",,0,9731361.0,0.002986728,90.574,34.06,800000044.4,82.20844385,0.000444444
7533,5285,Mohammad Arref,M,,,52.0,Afghanistan,AFG,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Flyweight, Freestyle",,0,11721940.0,0.003053443,87.684,37.587,1595555476.0,136.1170144,0.000423224
8985,6261,Mohammad Aynutdin,M,25.0,160.0,52.0,Afghanistan,AFG,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Flyweight, Freestyle",,0,13248370.0,0.00298542,84.319,41.853,3641723322.0,274.8808587,0.000325154
9010,6280,Kayum Ayub,M,21.0,176.0,78.0,Afghanistan,AFG,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Welterweight, Freestyle",,0,10604346.0,0.002999967,89.214,35.796,1373333367.0,129.5066539,0.000562842
9108,6336,Masoud Azizi,M,19.0,168.0,64.0,Afghanistan,AFG,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,24118979.0,0.003747309,77.438,57.875,5285465686.0,219.1413528,0.000120673
9109,6336,Masoud Azizi,M,23.0,168.0,64.0,Afghanistan,AFG,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,27294031.0,0.004035343,76.054,60.243,10190529882.0,373.3611163,0.000160481
9110,6336,Masoud Azizi,M,27.0,168.0,64.0,Afghanistan,AFG,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,30696958.0,0.004325099,74.532,62.086,20536542737.0,669.0090509,0.000274186
9835,6819,Nesar Ahmad Bahawi,M,24.0,186.0,68.0,Afghanistan,AFG,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Featherweight,,0,27294031.0,0.004035343,76.054,60.243,10190529882.0,373.3611163,0.000160481
9836,6819,Nesar Ahmad Bahawi,M,28.0,186.0,68.0,Afghanistan,AFG,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Welterweight,,0,30696958.0,0.004325099,74.532,62.086,20536542737.0,669.0090509,0.000274186
