Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
13601,9365,Romela Begaj,F,21.0,163.0,58.0,Albania,ALB,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Lightweight,,0,2947314.0,0.000435752,50.009,75.943,12881352688.0,4370.539647,0.000202856
13602,9365,Romela Begaj,F,25.0,163.0,58.0,Albania,ALB,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Lightweight,,0,2900401.0,0.000408657,45.67,77.389,12319784787.0,4247.614308,0.000164483
17158,11775,Sokol Bishanaku,M,21.0,,67.0,Albania,ALB,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Lightweight,,0,3247039.0,0.000595116,62.751,71.802,709452583.9,218.4921659,2.79e-05
17231,11832,Vera Bitanji (Bregu-),F,27.0,178.0,67.0,Albania,ALB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Triple Jump,,0,3168033.0,0.000546913,60.527,72.495,3314898292.0,1046.358511,0.000104902
19792,13649,Noel Borshi,F,16.0,164.0,54.0,Albania,ALB,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Butterfly,,0,2900401.0,0.000408657,45.67,77.389,12319784787.0,4247.614308,0.000164483
24589,16827,Fatmir Bushi,M,28.0,,67.0,Albania,ALB,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Lightweight,,0,3247039.0,0.000595116,62.751,71.802,709452583.9,218.4921659,2.79e-05
25445,17451,Briken Calja,M,22.0,170.0,69.0,Albania,ALB,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Lightweight,,0,2900401.0,0.000408657,45.67,77.389,12319784787.0,4247.614308,0.000164483
25446,17451,Briken Calja,M,26.0,170.0,69.0,Albania,ALB,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Lightweight,,0,2876101.0,0.000386462,41.624,78.345,11863865978.0,4124.98239,0.000156515
32760,22397,Dorian ollaku,M,27.0,183.0,96.0,Albania,ALB,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Hammer Throw,,0,3026939.0,0.000470288,54.349,75.028,7314865176.0,2416.588235,0.000167006
32761,22397,Dorian ollaku,M,31.0,183.0,96.0,Albania,ALB,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Hammer Throw,,0,2947314.0,0.000435752,50.009,75.943,12881352688.0,4370.539647,0.000202856
