Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
147,105,Ilyas Abbadi,M,19.0,175.0,75.0,Algeria,DZA,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Welterweight,,0,37565847.0,0.005292902,31.13,75.187,209000000000.0,5563.56416,0.002790387
148,105,Ilyas Abbadi,M,23.0,175.0,75.0,Algeria,DZA,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,,0,40606052.0,0.005456237,28.696,76.078,159000000000.0,3915.672472,0.002097625
311,239,Ayoub Abdellaoui,M,23.0,184.0,68.0,Algeria,DZA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,,0,40606052.0,0.005456237,28.696,76.078,159000000000.0,3915.672472,0.002097625
323,247,El-Hachemi Abdenouz,M,24.0,170.0,63.0,Algeria,DZA,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 5,000 metres",,0,19337715.0,0.004357608,56.458,58.196,42345277342.0,2189.77668,0.003780828
324,248,Rda Abdenouz,M,19.0,170.0,63.0,Algeria,DZA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 800 metres,,0,24591492.0,0.004816476,49.489,66.025,59089067187.0,2402.825627,0.003093668
325,248,Rda Abdenouz,M,23.0,170.0,63.0,Algeria,DZA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 800 metres,,0,27181094.0,0.004981743,46.343,67.226,48003298223.0,1766.054678,0.001889894
326,249,Mouni Abderrahim,F,22.0,173.0,60.0,Algeria,DZA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,,0,34860715.0,0.005154055,33.903,74.032,171000000000.0,4905.235019,0.002692913
327,249,Mouni Abderrahim,F,26.0,173.0,60.0,Algeria,DZA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,,0,37565847.0,0.005292902,31.13,75.187,209000000000.0,5563.56416,0.002790387
520,381,Benaissa Abed,M,23.0,170.0,51.0,Algeria,DZA,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Flyweight,,0,24591492.0,0.004816476,49.489,66.025,59089067187.0,2402.825627,0.003093668
579,425,Salim Abes,M,25.0,,,Algeria,DZA,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,,0,29411415.0,0.005077439,43.226,68.504,46941496780.0,1596.029867,0.00148549
