Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1495,1039,Silulu A'etonu (-Grey),F,24.0,170.0,59.0,American Samoa,ASM,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Half-Middleweight,,0,57030.0,8.43e-06,12.201,,563000000.0,9871.997194,8.87e-06
22632,15515,Eric Brown,M,23.0,,89.5,American Samoa,ASM,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Middle-Heavyweight,,0,49593.0,9.09e-06,17.211,,,0,
22633,15515,Eric Brown,M,27.0,,89.5,American Samoa,ASM,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Middle-Heavyweight,,0,53929.0,9.31e-06,13.957,,,0,
48780,33609,Elama Fa'atonu,M,18.0,175.0,82.0,American Samoa,ASM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,55230.0,7.78e-06,12.587,,644000000.0,11660.32953,8.6e-06
48785,33613,Lopesi Faagu,M,28.0,167.0,80.0,American Samoa,ASM,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Light-Heavyweight,,0,44047.0,8.63e-06,20.341,,,0,
49349,33964,Gary M. Fanelli,M,37.0,188.0,74.0,American Samoa,ASM,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,,0,44047.0,8.63e-06,20.341,,,0,
49573,34106,Virginia Farmer,F,32.0,,,American Samoa,ASM,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,,0,57030.0,8.43e-06,12.201,,563000000.0,9871.997194,8.87e-06
52807,36177,Megan Fonteno,F,19.0,163.0,61.0,American Samoa,ASM,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Freestyle,,0,55230.0,7.78e-06,12.587,,644000000.0,11660.32953,8.6e-06
59818,40766,Stewart Michael Glenister,M,19.0,,,American Samoa,ASM,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,,0,57030.0,8.43e-06,12.201,,563000000.0,9871.997194,8.87e-06
82789,56307,Tanumafili Malietoa Jungblut,M,26.0,188.0,94.0,American Samoa,ASM,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Middle-Heavyweight,,0,55599.0,7.47e-06,12.852,,658000000.0,11834.74523,8.68e-06
88186,59756,"William Bradley ""Brad"" Kiltz",M,36.0,,,American Samoa,ASM,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,,0,51803.0,9.21e-06,15.515,,,0,
98587,66076,Eleei Lalio,M,24.0,170.0,103.0,American Samoa,ASM,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Heavyweight,,0,59264.0,9.21e-06,11.802,,512000000.0,8639.308855,1.17e-05
102067,68453,Anthony Toi Leiato,M,30.0,,,American Samoa,ASM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Shot Put,,0,53929.0,9.31e-06,13.957,,,0,
105278,70546,Anthony Liu,M,25.0,,99.0,American Samoa,ASM,2012 Summer,2012,Summer,London,Judo,Judo Men's Half-Heavyweight,,0,55230.0,7.78e-06,12.587,,644000000.0,11660.32953,8.6e-06
