Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
6536,4594,Alex Antor Seignourel,M,22.0,187.0,85.0,Andorra,AND,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,70049.0,1.12e-05,8.359,,1733116883.0,24741.49357,5.01e-05
6537,4594,Alex Antor Seignourel,M,22.0,187.0,85.0,Andorra,AND,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Slalom,,0,70049.0,1.12e-05,8.359,,1733116883.0,24741.49357,5.01e-05
6538,4594,Alex Antor Seignourel,M,26.0,187.0,85.0,Andorra,AND,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Downhill,,0,80991.0,1.23e-05,10.162,,3543256806.0,43748.77216,6.89e-05
6539,4594,Alex Antor Seignourel,M,26.0,187.0,85.0,Andorra,AND,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,,0,80991.0,1.23e-05,10.162,,3543256806.0,43748.77216,6.89e-05
6540,4594,Alex Antor Seignourel,M,26.0,187.0,85.0,Andorra,AND,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Slalom,,0,80991.0,1.23e-05,10.162,,3543256806.0,43748.77216,6.89e-05
6541,4594,Alex Antor Seignourel,M,26.0,187.0,85.0,Andorra,AND,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Combined,,0,80991.0,1.23e-05,10.162,,3543256806.0,43748.77216,6.89e-05
7127,4994,Xavier Areny Fite,M,18.0,,,Andorra,AND,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Downhill,,0,31777.0,7.68e-06,11.618,,227281024.6,7152.375133,3.54e-05
7128,4994,Xavier Areny Fite,M,18.0,,,Andorra,AND,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,31777.0,7.68e-06,11.618,,227281024.6,7152.375133,3.54e-05
7129,4994,Xavier Areny Fite,M,18.0,,,Andorra,AND,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,,0,31777.0,7.68e-06,11.618,,227281024.6,7152.375133,3.54e-05
7205,5053,Pol Arias Dourdet,M,19.0,175.0,80.0,Andorra,AND,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 400 metres Freestyle,,0,77281.0,1.04e-05,15.388,,2858517699.0,36988.62203,3.77e-05
11324,7794,Gerard Barcia Duedra,M,32.0,,,Andorra,AND,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Trap,,0,64360.0,1.11e-05,6.575,,1223945357.0,19017.1746,3.87e-05
11816,8177,Esther Barrugus Alvina,F,36.0,164.0,60.0,Andorra,AND,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",,0,77281.0,1.04e-05,15.388,,2858517699.0,36988.62203,3.77e-05
15650,10658,"Antonio ""Toni"" Bernad Planas",M,29.0,175.0,65.0,Andorra,AND,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,,0,64360.0,1.11e-05,6.575,,1223945357.0,19017.1746,3.87e-05
15651,10658,"Antonio ""Toni"" Bernad Planas",M,33.0,175.0,65.0,Andorra,AND,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,,0,65390.0,1.07e-05,7.605,,1434429703.0,21936.5301,4.27e-05
15652,10658,"Antonio ""Toni"" Bernad Planas",M,37.0,175.0,65.0,Andorra,AND,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,,0,76244.0,1.18e-05,9.249,,2935659300.0,38503.47962,6.7e-05
15653,10658,"Antonio ""Toni"" Bernad Planas",M,41.0,175.0,65.0,Andorra,AND,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,,0,83861.0,1.24e-05,11.133,,4007353157.0,47785.65909,6.31e-05
15654,10658,"Antonio ""Toni"" Bernad Planas",M,45.0,175.0,65.0,Andorra,AND,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Marathon,,0,82431.0,1.16e-05,13.292,,3164615187.0,38391.08087,4.23e-05
16015,10974,Joan Besoli Lluelles,M,32.0,,,Andorra,AND,1992 Summer,1992,Summer,Barcelona,Shooting,Shooting Mixed Trap,,0,58888.0,1.08e-05,5.676,,1210013652.0,20547.71179,4.76e-05
16016,10975,"Antoni ""Toni"" Besol Cervellera",M,28.0,189.0,90.0,Andorra,AND,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Middleweight,,0,76244.0,1.18e-05,9.249,,2935659300.0,38503.47962,6.7e-05
28346,19419,Carolina Cerqueda Santacreu,F,18.0,160.0,53.0,Andorra,AND,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Freestyle,,0,76244.0,1.18e-05,9.249,,2935659300.0,38503.47962,6.7e-05
34562,23764,Antoine Crespo Travesset,M,20.0,,,Andorra,AND,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Downhill,,0,31777.0,7.68e-06,11.618,,227281024.6,7152.375133,3.54e-05
34563,23764,Antoine Crespo Travesset,M,20.0,,,Andorra,AND,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,31777.0,7.68e-06,11.618,,227281024.6,7152.375133,3.54e-05
34564,23764,Antoine Crespo Travesset,M,20.0,,,Andorra,AND,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,,0,31777.0,7.68e-06,11.618,,227281024.6,7152.375133,3.54e-05
40301,27902,Santiago Deu,M,20.0,188.0,80.0,Andorra,AND,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Freestyle,,0,65390.0,1.07e-05,7.605,,1434429703.0,21936.5301,4.27e-05
42336,29209,Esteve Dolsa Montaa,M,40.0,162.0,67.0,Andorra,AND,1976 Summer,1976,Summer,Montreal,Shooting,Shooting Mixed Trap,,0,31777.0,7.68e-06,11.618,,227281024.6,7152.375133,3.54e-05
48103,33131,Gerard Escoda Alegret,M,17.0,173.0,71.0,Andorra,AND,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Super G,,0,50434.0,9.88e-06,4.973,,721425939.2,14304.35697,3.78e-05
