Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
816,568,Morais Santos Abreu,M,40.0,188.0,73.0,Angola,AGO,2008 Summer,2008,Summer,Beijing,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,,0,21759420.0,0.003217067,61.491,56.189,84178032716.0,3868.578883,0.001325638
1719,1225,Joo Paquete Aguiar,M,17.0,,,Angola,AGO,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,,0,16440924.0,0.002687271,67.581,47.113,9129594819.0,555.2969419,0.000271714
4277,2971,Carlos Domingos Bendinha de Almeida,M,23.0,192.0,92.0,Angola,AGO,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,,0,16440924.0,0.002687271,67.581,47.113,9129594819.0,555.2969419,0.000271714
4278,2971,Carlos Domingos Bendinha de Almeida,M,27.0,192.0,92.0,Angola,AGO,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,,0,18865716.0,0.002931122,64.595,51.676,19640848729.0,1041.086844,0.000448421
4279,2971,Carlos Domingos Bendinha de Almeida,M,31.0,192.0,92.0,Angola,AGO,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,,0,21759420.0,0.003217067,61.491,56.189,84178032716.0,3868.578883,0.001325638
4302,2978,Nair Felipe Pires de Almeida,F,20.0,181.0,69.0,Angola,AGO,2004 Summer,2004,Summer,Athina,Handball,Handball Women's Handball,,0,18865716.0,0.002931122,64.595,51.676,19640848729.0,1041.086844,0.000448421
4303,2978,Nair Felipe Pires de Almeida,F,24.0,181.0,69.0,Angola,AGO,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,,0,21759420.0,0.003217067,61.491,56.189,84178032716.0,3868.578883,0.001325638
4304,2978,Nair Felipe Pires de Almeida,F,28.0,181.0,69.0,Angola,AGO,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,,0,25096150.0,0.003535964,58.301,59.77,115000000000.0,4582.376181,0.001535381
4307,2980,Teresa Patrcia Almeida,F,28.0,170.0,98.0,Angola,AGO,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,,0,28813463.0,0.003871666,55.181,61.547,95335111741.0,3308.700233,0.001257719
4763,3306,Rosa Amaral,F,24.0,175.0,76.0,Angola,AGO,2004 Summer,2004,Summer,Athina,Handball,Handball Women's Handball,,0,18865716.0,0.002931122,64.595,51.676,19640848729.0,1041.086844,0.000448421
