Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
6780,4738,Reuben Recaldo Appleton,M,24.0,173.0,67.0,Antigua and Barbuda,ATG,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",,0,68427.0,1.25e-05,64.915,71.783,499281148.1,7296.551772,1.97e-05
9915,6888,Daniel Everton Bailey,M,17.0,179.0,68.0,Antigua and Barbuda,ATG,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,88257.0,1.37e-05,70.163,74.354,919577142.6,10419.31113,2.1e-05
9916,6888,Daniel Everton Bailey,M,21.0,179.0,68.0,Antigua and Barbuda,ATG,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,92478.0,1.37e-05,72.594,75.078,1368431037.0,14797.36842,2.16e-05
9917,6888,Daniel Everton Bailey,M,25.0,179.0,68.0,Antigua and Barbuda,ATG,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,96777.0,1.36e-05,74.865,75.733,1211411704.0,12517.55793,1.62e-05
9918,6888,Daniel Everton Bailey,M,29.0,179.0,68.0,Antigua and Barbuda,ATG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,100963.0,1.36e-05,76.607,76.364,1460144704.0,14462.17628,1.93e-05
11528,7965,N'Kosie Barnes,M,21.0,179.0,76.0,Antigua and Barbuda,ATG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,75628.0,1.31e-05,66.41,72.663,633730629.6,8379.576739,2.01e-05
11529,7965,N'Kosie Barnes,M,25.0,179.0,76.0,Antigua and Barbuda,ATG,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 200 metres,,0,83584.0,1.37e-05,67.873,73.541,830158768.9,9932.029682,2.47e-05
14884,10127,Lester Benjamin,M,20.0,178.0,69.0,Antigua and Barbuda,ATG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,,0,70725.0,1.49e-05,65.06,69.931,208372851.9,2946.240394,1.72e-05
14885,10127,Lester Benjamin,M,20.0,178.0,69.0,Antigua and Barbuda,ATG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Long Jump,,0,70725.0,1.49e-05,65.06,69.931,208372851.9,2946.240394,1.72e-05
22760,15607,Alfred Browne,M,25.0,179.0,72.0,Antigua and Barbuda,ATG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,,0,70725.0,1.49e-05,65.06,69.931,208372851.9,2946.240394,1.72e-05
22761,15607,Alfred Browne,M,25.0,179.0,72.0,Antigua and Barbuda,ATG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,,0,70725.0,1.49e-05,65.06,69.931,208372851.9,2946.240394,1.72e-05
22762,15607,Alfred Browne,M,25.0,179.0,72.0,Antigua and Barbuda,ATG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,,0,70725.0,1.49e-05,65.06,69.931,208372851.9,2946.240394,1.72e-05
22763,15607,Alfred Browne,M,29.0,179.0,72.0,Antigua and Barbuda,ATG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,,0,67058.0,1.31e-05,64.736,70.907,398637740.7,5944.670892,2.09e-05
22764,15607,Alfred Browne,M,29.0,179.0,72.0,Antigua and Barbuda,ATG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,,0,67058.0,1.31e-05,64.736,70.907,398637740.7,5944.670892,2.09e-05
22765,15607,Alfred Browne,M,29.0,179.0,72.0,Antigua and Barbuda,ATG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,,0,67058.0,1.31e-05,64.736,70.907,398637740.7,5944.670892,2.09e-05
22771,15613,James Browne,M,22.0,183.0,70.0,Antigua and Barbuda,ATG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Long Jump,,0,67058.0,1.31e-05,64.736,70.907,398637740.7,5944.670892,2.09e-05
22774,15617,Mitchell Patrick Browne,M,30.0,,,Antigua and Barbuda,ATG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,75628.0,1.31e-05,66.41,72.663,633730629.6,8379.576739,2.01e-05
23173,15881,Laverne Bryan,F,19.0,171.0,50.0,Antigua and Barbuda,ATG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 800 metres,,0,70725.0,1.49e-05,65.06,69.931,208372851.9,2946.240394,1.72e-05
23174,15881,Laverne Bryan,F,19.0,171.0,50.0,Antigua and Barbuda,ATG,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Women's 1,500 metres",,0,70725.0,1.49e-05,65.06,69.931,208372851.9,2946.240394,1.72e-05
23175,15881,Laverne Bryan,F,19.0,171.0,50.0,Antigua and Barbuda,ATG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,,0,70725.0,1.49e-05,65.06,69.931,208372851.9,2946.240394,1.72e-05
23176,15881,Laverne Bryan,F,23.0,171.0,50.0,Antigua and Barbuda,ATG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 800 metres,,0,67058.0,1.31e-05,64.736,70.907,398637740.7,5944.670892,2.09e-05
23177,15881,Laverne Bryan,F,23.0,171.0,50.0,Antigua and Barbuda,ATG,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Women's 1,500 metres",,0,67058.0,1.31e-05,64.736,70.907,398637740.7,5944.670892,2.09e-05
28975,19889,Afia Neliah Charles,F,20.0,170.0,57.0,Antigua and Barbuda,ATG,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 400 metres,,0,96777.0,1.36e-05,74.865,75.733,1211411704.0,12517.55793,1.62e-05
28987,19899,Ruperta Charles,F,21.0,171.0,60.0,Antigua and Barbuda,ATG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 100 metres,,0,70725.0,1.49e-05,65.06,69.931,208372851.9,2946.240394,1.72e-05
28988,19899,Ruperta Charles,F,21.0,171.0,60.0,Antigua and Barbuda,ATG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,,0,70725.0,1.49e-05,65.06,69.931,208372851.9,2946.240394,1.72e-05
31195,21274,Brendan Kyle Akeem Christian,M,20.0,175.0,70.0,Antigua and Barbuda,ATG,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 200 metres,,0,88257.0,1.37e-05,70.163,74.354,919577142.6,10419.31113,2.1e-05
31196,21274,Brendan Kyle Akeem Christian,M,24.0,175.0,70.0,Antigua and Barbuda,ATG,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,,0,92478.0,1.37e-05,72.594,75.078,1368431037.0,14797.36842,2.16e-05
31197,21274,Brendan Kyle Akeem Christian,M,28.0,175.0,70.0,Antigua and Barbuda,ATG,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 200 metres,,0,96777.0,1.36e-05,74.865,75.733,1211411704.0,12517.55793,1.62e-05
31199,21276,Donald Christian,M,17.0,,,Antigua and Barbuda,ATG,1976 Summer,1976,Summer,Montreal,Cycling,"Cycling Men's 1,000 metres Time Trial",,0,72285.0,1.75e-05,65.703,67.768,,0,
31200,21276,Donald Christian,M,17.0,,,Antigua and Barbuda,ATG,1976 Summer,1976,Summer,Montreal,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",,0,72285.0,1.75e-05,65.703,67.768,,0,
33733,23099,Everton Cornelius,M,21.0,180.0,72.0,Antigua and Barbuda,ATG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,,0,72285.0,1.75e-05,65.703,67.768,,0,
48808,33633,Charles Ira Fabian,M,24.0,173.0,76.0,Antigua and Barbuda,ATG,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's Sprint,,0,67058.0,1.31e-05,64.736,70.907,398637740.7,5944.670892,2.09e-05
53590,36673,Lionel Francis,M,24.0,177.0,53.0,Antigua and Barbuda,ATG,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Bantamweight,,0,67058.0,1.31e-05,64.736,70.907,398637740.7,5944.670892,2.09e-05
53955,36929,Priscilla Frederick,F,27.0,178.0,68.0,Antigua and Barbuda,ATG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's High Jump,,0,100963.0,1.36e-05,76.607,76.364,1460144704.0,14462.17628,1.93e-05
59090,40306,Charmaine Ann Marie Gilgeous,F,20.0,165.0,56.0,Antigua and Barbuda,ATG,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 400 metres,,0,68427.0,1.25e-05,64.915,71.783,499281148.1,7296.551772,1.97e-05
60844,41438,Rory Gonsalves,M,17.0,,,Antigua and Barbuda,ATG,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Mountainbike, Cross-Country",,0,75628.0,1.31e-05,66.41,72.663,633730629.6,8379.576739,2.01e-05
62383,42555,James Theophilus Grayman,M,22.0,188.0,80.0,Antigua and Barbuda,ATG,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's High Jump,,0,92478.0,1.37e-05,72.594,75.078,1368431037.0,14797.36842,2.16e-05
62561,42654,Calvin Greenaway,M,28.0,180.0,75.0,Antigua and Barbuda,ATG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,,0,72285.0,1.75e-05,65.703,67.768,,0,
62562,42654,Calvin Greenaway,M,28.0,180.0,75.0,Antigua and Barbuda,ATG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Long Jump,,0,72285.0,1.75e-05,65.703,67.768,,0,
62568,42661,Cejhae Colin Greene,M,20.0,174.0,72.0,Antigua and Barbuda,ATG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,100963.0,1.36e-05,76.607,76.364,1460144704.0,14462.17628,1.93e-05
62569,42661,Cejhae Colin Greene,M,20.0,174.0,72.0,Antigua and Barbuda,ATG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,,0,100963.0,1.36e-05,76.607,76.364,1460144704.0,14462.17628,1.93e-05
70036,47731,Anthony Henry,M,17.0,171.0,63.0,Antigua and Barbuda,ATG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,0,70725.0,1.49e-05,65.06,69.931,208372851.9,2946.240394,1.72e-05
70037,47731,Anthony Henry,M,17.0,171.0,63.0,Antigua and Barbuda,ATG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,,0,70725.0,1.49e-05,65.06,69.931,208372851.9,2946.240394,1.72e-05
74631,50863,Elisha Hughes,M,25.0,178.0,75.0,Antigua and Barbuda,ATG,1984 Summer,1984,Summer,Los Angeles,Cycling,Cycling Men's Points Race,,0,70725.0,1.49e-05,65.06,69.931,208372851.9,2946.240394,1.72e-05
74642,50873,Kenmore Henderson Hughes,M,22.0,175.0,72.0,Antigua and Barbuda,ATG,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 200 metres,,0,68427.0,1.25e-05,64.915,71.783,499281148.1,7296.551772,1.97e-05
74643,50873,Kenmore Henderson Hughes,M,22.0,175.0,72.0,Antigua and Barbuda,ATG,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,68427.0,1.25e-05,64.915,71.783,499281148.1,7296.551772,1.97e-05
78245,53190,Cuthbert E. Jacobs,M,24.0,183.0,77.0,Antigua and Barbuda,ATG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 200 metres,,0,72285.0,1.75e-05,65.703,67.768,,0,
78246,53190,Cuthbert E. Jacobs,M,24.0,183.0,77.0,Antigua and Barbuda,ATG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 400 metres Relay,,0,72285.0,1.75e-05,65.703,67.768,,0,
79471,53972,Jared Jarvis,M,21.0,,75.0,Antigua and Barbuda,ATG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,,0,100963.0,1.36e-05,76.607,76.364,1460144704.0,14462.17628,1.93e-05
81877,55641,Dale Anthony Jones,M,20.0,187.0,67.0,Antigua and Barbuda,ATG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,,0,70725.0,1.49e-05,65.06,69.931,208372851.9,2946.240394,1.72e-05
81878,55641,Dale Anthony Jones,M,20.0,187.0,67.0,Antigua and Barbuda,ATG,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",,0,70725.0,1.49e-05,65.06,69.931,208372851.9,2946.240394,1.72e-05
81879,55641,Dale Anthony Jones,M,20.0,187.0,67.0,Antigua and Barbuda,ATG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,,0,70725.0,1.49e-05,65.06,69.931,208372851.9,2946.240394,1.72e-05
