Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
105,68,Pablo Martn Abal,M,23.0,178.0,76.0,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,,0,37057452.0,0.006057044,10.858,73.832,284000000000.0,7663.775696,0.008452381
106,68,Pablo Martn Abal,M,23.0,178.0,76.0,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,0,37057452.0,0.006057044,10.858,73.832,284000000000.0,7663.775696,0.008452381
116,74,Mara Laura Abalo,F,30.0,182.0,73.0,Argentina,ARG,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxless Pairs,,0,42096739.0,0.00593129,8.705,75.926,546000000000.0,12970.12579,0.00728972
560,407,Ral Daniel Abella,M,26.0,,,Argentina,ARG,1980 Winter,1980,Winter,Lake Placid,Biathlon,Biathlon Men's 10 kilometres Sprint,,0,28105888.0,0.006333449,17.113,69.464,76961923742.0,2738.284723,0.0068716
561,407,Ral Daniel Abella,M,26.0,,,Argentina,ARG,1980 Winter,1980,Winter,Lake Placid,Biathlon,Biathlon Men's 20 kilometres,,0,28105888.0,0.006333449,17.113,69.464,76961923742.0,2738.284723,0.0068716
562,407,Ral Daniel Abella,M,26.0,,,Argentina,ARG,1980 Winter,1980,Winter,Lake Placid,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,,0,28105888.0,0.006333449,17.113,69.464,76961923742.0,2738.284723,0.0068716
567,413,Hugo Ral Aberastegui,M,27.0,186.0,84.0,Argentina,ARG,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Fours,,0,23261278.0,0.00658061,22.099,65.953,26436857247.0,1136.517832,0.010834778
568,413,Hugo Ral Aberastegui,M,30.0,186.0,84.0,Argentina,ARG,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Eights,,0,24782949.0,0.0064557,20.257,67.044,34733000536.0,1401.487795,0.009212997
569,413,Hugo Ral Aberastegui,M,34.0,186.0,84.0,Argentina,ARG,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Fours,,0,26477152.0,0.006396759,18.634,68.248,51169499891.0,1932.590782,0.007970327
1035,712,Hctor H. Acosta,M,26.0,180.0,81.0,Argentina,ARG,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",,0,20619075.0,0.006795571,26.389,65.022,,0,
1036,712,Hctor H. Acosta,M,30.0,180.0,81.0,Argentina,ARG,1964 Summer,1964,Summer,Tokyo,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,21953929.0,0.006738051,24.156,65.388,25605249382.0,1166.3174,0.014225139
1037,713,Jos Eugenio Acosta,M,26.0,173.0,73.0,Argentina,ARG,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",,0,23261278.0,0.00658061,22.099,65.953,26436857247.0,1136.517832,0.010834778
1038,713,Jos Eugenio Acosta,M,26.0,173.0,73.0,Argentina,ARG,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",,0,23261278.0,0.00658061,22.099,65.953,26436857247.0,1136.517832,0.010834778
1039,713,Jos Eugenio Acosta,M,30.0,173.0,73.0,Argentina,ARG,1972 Summer,1972,Summer,Munich,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",,0,24782949.0,0.0064557,20.257,67.044,34733000536.0,1401.487795,0.009212997
1040,713,Jos Eugenio Acosta,M,30.0,173.0,73.0,Argentina,ARG,1972 Summer,1972,Summer,Munich,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",,0,24782949.0,0.0064557,20.257,67.044,34733000536.0,1401.487795,0.009212997
1042,716,Lautaro Germn Acosta,M,20.0,168.0,72.0,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Gold,0,40382389.0,0.005970418,9.378,75.268,362000000000.0,8964.303722,0.005700787
1055,726,Tanya Acosta,F,25.0,182.0,70.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,,0,43847430.0,0.005891781,8.107,76.577,545000000000.0,12429.4628,0.007189974
1075,742,Roberto Acua,M,25.0,208.0,109.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,,0,43847430.0,0.005891781,8.107,76.577,545000000000.0,12429.4628,0.007189974
1687,1193,Hernn Marcelo Agote,M,26.0,,,Argentina-2,ARG,1964 Winter,1964,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Two,,0,21953929.0,0.006738051,24.156,65.388,25605249382.0,1166.3174,0.014225139
1688,1193,Hernn Marcelo Agote,M,26.0,,,Argentina,ARG,1964 Winter,1964,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Four,,0,21953929.0,0.006738051,24.156,65.388,25605249382.0,1166.3174,0.014225139
1712,1218,Pedro Luciano Agero Ceballos,M,19.0,165.0,60.0,Argentina,ARG,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Lightweight,,0,23261278.0,0.00658061,22.099,65.953,26436857247.0,1136.517832,0.010834778
1713,1219,Rubn Jos Agero,M,28.0,191.0,78.0,Argentina,ARG,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,,0,31795517.0,0.006227453,13.767,71.155,126000000000.0,3962.822809,0.006596859
1714,1220,Sergio Leonel Agero del Castillo,M,20.0,172.0,74.0,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Gold,0,40382389.0,0.005970418,9.378,75.268,362000000000.0,8964.303722,0.005700787
1721,1227,Rubn Humberto Aguiar,M,28.0,167.0,64.0,Argentina,ARG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,,0,29920904.0,0.006285927,15.379,70.438,79092001998.0,2643.369398,0.006536529
1725,1231,Claudio S. guila,M,27.0,191.0,82.0,Argentina,ARG,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxless Pairs,,0,31795517.0,0.006227453,13.767,71.155,126000000000.0,3962.822809,0.006596859
1765,1250,Juan Aguilar,M,21.0,174.0,75.0,Argentina,ARG,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Middleweight,,0,21953929.0,0.006738051,24.156,65.388,25605249382.0,1166.3174,0.014225139
1788,1266,Ana Carolina Aguilera,F,19.0,161.0,53.0,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Butterfly,,0,37057452.0,0.006057044,10.858,73.832,284000000000.0,7663.775696,0.008452381
1806,1280,Facundo Aguirre,M,20.0,182.0,78.0,Argentina,ARG,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,39558890.0,0.005995205,9.734,74.941,233000000000.0,5889.952928,0.004533074
1807,1281,Gabriela Aguirre,F,30.0,164.0,58.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,,0,43847430.0,0.005891781,8.107,76.577,545000000000.0,12429.4628,0.007189974
1808,1282,Gustavo Hernando Aguirre,M,23.0,185.0,75.0,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres,,0,37057452.0,0.006057044,10.858,73.832,284000000000.0,7663.775696,0.008452381
1812,1286,Jorge David Aguirre Wardi,M,30.0,,,Argentina,ARG,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Half-Heavyweight,,0,33655151.0,0.006168306,12.458,72.023,229000000000.0,6804.307608,0.009015748
1823,1298,Diego Aguirregomezcorta,M,25.0,190.0,83.0,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Pairs,,0,37057452.0,0.006057044,10.858,73.832,284000000000.0,7663.775696,0.008452381
2045,1467,Mara Magdalena Aicega Amicarelli,F,22.0,165.0,60.0,Argentina,ARG,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,,0,35419682.0,0.006114677,11.634,72.947,272000000000.0,7679.346189,0.008607595
2046,1467,Mara Magdalena Aicega Amicarelli,F,26.0,165.0,60.0,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Silver,0,37057452.0,0.006057044,10.858,73.832,284000000000.0,7663.775696,0.008452381
2047,1467,Mara Magdalena Aicega Amicarelli,F,30.0,165.0,60.0,Argentina,ARG,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Bronze,0,38728696.0,0.006017186,10.101,74.603,165000000000.0,4260.406805,0.003767123
2048,1467,Mara Magdalena Aicega Amicarelli,F,34.0,165.0,60.0,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Bronze,0,40382389.0,0.005970418,9.378,75.268,362000000000.0,8964.303722,0.005700787
2103,1506,Mauro Gabriel Airez,M,19.0,188.0,70.0,Argentina,ARG,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,,0,31795517.0,0.006227453,13.767,71.155,126000000000.0,3962.822809,0.006596859
3175,2224,Ernesto Arturo Alas,M,54.0,186.0,98.0,Argentina,ARG,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",,0,29920904.0,0.006285927,15.379,70.438,79092001998.0,2643.369398,0.006536529
3275,2298,Justo Carlos Albarracn,M,33.0,176.0,73.0,Argentina,ARG,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Jumping, Individual",,0,29920904.0,0.006285927,15.379,70.438,79092001998.0,2643.369398,0.006536529
3276,2298,Justo Carlos Albarracn,M,33.0,176.0,73.0,Argentina,ARG,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Jumping, Team",,0,29920904.0,0.006285927,15.379,70.438,79092001998.0,2643.369398,0.006536529
3277,2298,Justo Carlos Albarracn,M,45.0,176.0,73.0,Argentina,ARG,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Individual",,0,35419682.0,0.006114677,11.634,72.947,272000000000.0,7679.346189,0.008607595
3278,2298,Justo Carlos Albarracn,M,45.0,176.0,73.0,Argentina,ARG,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Jumping, Team",,0,35419682.0,0.006114677,11.634,72.947,272000000000.0,7679.346189,0.008607595
3279,2299,Matas Albarracn,M,36.0,174.0,65.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Individual",,0,43847430.0,0.005891781,8.107,76.577,545000000000.0,12429.4628,0.007189974
3280,2299,Matas Albarracn,M,36.0,174.0,65.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",,0,43847430.0,0.005891781,8.107,76.577,545000000000.0,12429.4628,0.007189974
3281,2300,Miguel ngel Albarracn,M,23.0,167.0,64.0,Argentina,ARG,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Extra-Lightweight,,0,38728696.0,0.006017186,10.101,74.603,165000000000.0,4260.406805,0.003767123
3282,2300,Miguel ngel Albarracn,M,27.0,167.0,64.0,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Extra-Lightweight,,0,40382389.0,0.005970418,9.378,75.268,362000000000.0,8964.303722,0.005700787
3320,2335,Agustina Albertario,F,23.0,165.0,55.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,,0,43847430.0,0.005891781,8.107,76.577,545000000000.0,12429.4628,0.007189974
3480,2436,Guillermo Alder,M,20.0,,,Argentina,ARG,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,,0,33655151.0,0.006168306,12.458,72.023,229000000000.0,6804.307608,0.009015748
3481,2436,Guillermo Alder,M,20.0,,,Argentina,ARG,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,,0,33655151.0,0.006168306,12.458,72.023,229000000000.0,6804.307608,0.009015748
3482,2436,Guillermo Alder,M,20.0,,,Argentina,ARG,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,,0,33655151.0,0.006168306,12.458,72.023,229000000000.0,6804.307608,0.009015748
3483,2437,Ins Alder,F,21.0,,,Argentina,ARG,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,,0,33655151.0,0.006168306,12.458,72.023,229000000000.0,6804.307608,0.009015748
3484,2437,Ins Alder,F,21.0,,,Argentina,ARG,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,,0,33655151.0,0.006168306,12.458,72.023,229000000000.0,6804.307608,0.009015748
3485,2437,Ins Alder,F,21.0,,,Argentina,ARG,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,,0,33655151.0,0.006168306,12.458,72.023,229000000000.0,6804.307608,0.009015748
