Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
588,431,Narek Abgaryan,M,24.0,166.0,52.0,Armenia,ARM,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Flyweight,,0,2924816.0,0.000393008,37.442,74.618,10572298342.0,3614.688357,0.000139476
1355,943,Arman Adikyan,M,23.0,168.0,66.0,Armenia,ARM,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",,0,2908220.0,0.000429972,36.003,72.946,11662040714.0,4010.026997,0.000183654
1648,1158,Mamed Aghaev,M,28.0,177.0,84.0,Armenia,ARM,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",,0,3000612.0,0.000466198,35.783,72.512,3576615240.0,1191.96192,8.17e-05
1651,1162,Levon Aghasyan,M,21.0,193.0,75.0,Armenia,ARM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,,0,2924816.0,0.000393008,37.442,74.618,10572298342.0,3614.688357,0.000139476
3579,2497,Artur Aleksanyan,M,20.0,190.0,98.0,Armenia,ARM,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze,0,2881922.0,0.000406053,36.839,73.814,10619320049.0,3684.80481,0.00014178
3580,2497,Artur Aleksanyan,M,24.0,190.0,98.0,Armenia,ARM,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold,0,2924816.0,0.000393008,37.442,74.618,10572298342.0,3614.688357,0.000139476
3581,2498,Gevorg Aleksanyan,M,23.0,170.0,77.0,Armenia,ARM,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middleweight,,0,3000612.0,0.000466198,35.783,72.512,3576615240.0,1191.96192,8.17e-05
3582,2499,Ruben Aleksanyan,M,26.0,180.0,150.0,Armenia,ARM,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Super-Heavyweight,,0,2924816.0,0.000393008,37.442,74.618,10572298342.0,3614.688357,0.000139476
3735,2596,Yorgo Alexandrou,M,29.0,190.0,110.0,Armenia,ARM,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Two,,0,3033897.0,0.000483349,35.717,72.112,2376335048.0,783.2616097,6.87e-05
4259,2961,"Joseph Michael ""Joe"" Almasian",M,26.0,183.0,85.0,Armenia,ARM,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,,0,3283660.0,0.000583778,33.668,68.538,1315158670.0,400.5160918,4.73e-05
