Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
17212,11818,Davy Rolando Bisslik,M,18.0,176.0,72.0,Aruba,ABW,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,,0,90853.0,1.48e-05,53.283,73.787,1873452514.0,20620.70063,5.58e-05
17213,11818,Davy Rolando Bisslik,M,22.0,176.0,72.0,Aruba,ABW,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Butterfly,,0,98737.0,1.53e-05,54.76,74.156,2228279330.0,22567.82493,5.09e-05
38702,26789,"Pierre Eric Omar ""Peppie"" de Windt",M,21.0,185.0,83.0,Aruba,ABW,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,98737.0,1.53e-05,54.76,74.156,2228279330.0,22567.82493,5.09e-05
41607,28742,Lucien Pedro Lodevicus Dirksz,M,23.0,170.0,73.0,Aruba,ABW,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",,0,68235.0,1.25e-05,50.002,73.544,,0,
41608,28742,Lucien Pedro Lodevicus Dirksz,M,27.0,170.0,73.0,Aruba,ABW,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",,0,83200.0,1.44e-05,51.644,73.646,1379888268.0,16585.19553,4.37e-05
49599,34119,"Isnardo Enrike ""Junior"" Faro",M,18.0,171.0,85.0,Aruba,ABW,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Middleweight,,0,83200.0,1.44e-05,51.644,73.646,1379888268.0,16585.19553,4.37e-05
49600,34119,"Isnardo Enrike ""Junior"" Faro",M,26.0,171.0,85.0,Aruba,ABW,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middle-Heavyweight,,0,98737.0,1.53e-05,54.76,74.156,2228279330.0,22567.82493,5.09e-05
49618,34137,Evelyn Farrell,F,28.0,165.0,61.0,Aruba,ABW,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 100 metres,,0,61079.0,1.2e-05,49.65,73.378,,0,
49619,34137,Evelyn Farrell,F,28.0,165.0,61.0,Aruba,ABW,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 200 metres,,0,61079.0,1.2e-05,49.65,73.378,,0,
57739,39328,Luz Marina Virginia Geerman,F,16.0,158.0,50.0,Aruba,ABW,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,,0,90853.0,1.48e-05,53.283,73.787,1873452514.0,20620.70063,5.58e-05
