Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1502,1048,Eduard Aellig,M,24.0,181.0,93.0,Austria,AUT,1972 Summer,1972,Summer,Munich,Judo,Judo Men's Half-Heavyweight,,0,7544201.0,0.001965186,34.689,70.46341463,22059612417.0,2924.048871,0.005851356
1685,1190,Simon Agoston,M,31.0,179.0,64.0,Austria,AUT,2008 Summer,2008,Summer,Beijing,Triathlon,Triathlon Men's Olympic Distance,,0,8321496.0,0.001230309,34.159,80.43170732,430000000000.0,51673.40103,0.006771654
2064,1482,"Ingeborg ""Inge"" Aigner (-Weichert)",F,21.0,172.0,67.0,Austria,AUT,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 100 metres,,0,7223801.0,0.002217113,35.038,69.92195122,9169983886.0,1269.412583,0.005094435
2065,1482,"Ingeborg ""Inge"" Aigner (-Weichert)",F,21.0,172.0,67.0,Austria,AUT,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 200 metres,,0,7223801.0,0.002217113,35.038,69.92195122,9169983886.0,1269.412583,0.005094435
2066,1482,"Ingeborg ""Inge"" Aigner (-Weichert)",F,21.0,172.0,67.0,Austria,AUT,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 80 metres Hurdles,,0,7223801.0,0.002217113,35.038,69.92195122,9169983886.0,1269.412583,0.005094435
2067,1482,"Ingeborg ""Inge"" Aigner (-Weichert)",F,25.0,172.0,67.0,Austria,AUT,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 80 metres Hurdles,,0,7415403.0,0.002097816,34.841,70.05756098,12440625313.0,1677.673528,0.005098617
3373,2373,Kilian Albrecht,M,28.0,181.0,72.0,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Slalom,,0,8081957.0,0.001287587,34.194,78.67804878,213000000000.0,26355.00288,0.006156069
3374,2373,Kilian Albrecht,M,28.0,181.0,72.0,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Combined,,0,8081957.0,0.001287587,34.194,78.67804878,213000000000.0,26355.00288,0.006156069
3731,2593,Anna-Maria Alexandri,F,18.0,170.0,48.0,Austria,AUT,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Duet,,0,8747358.0,0.001175383,33.968,80.8902439,391000000000.0,44699.21089,0.005158311
3732,2594,Eirini-Marina Alexandri,F,18.0,171.0,50.0,Austria,AUT,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Duet,,0,8747358.0,0.001175383,33.968,80.8902439,391000000000.0,44699.21089,0.005158311
4073,2849,"Katherine Jessie Jean ""Kate"" Allen (-Diechtler)",F,34.0,163.0,53.0,Austria,AUT,2004 Summer,2004,Summer,Athina,Triathlon,Triathlon Women's Olympic Distance,Gold,0,8171966.0,0.001269659,34.182,79.1804878,301000000000.0,36833.24184,0.006872146
