Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
101,65,Patimat Abakarova,F,21.0,165.0,49.0,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze,0,9762274.0,0.001311757,45.105,72.026,37847715736.0,3876.936433,0.00049931
186,129,Ruslan Abbasov,M,22.0,181.0,74.0,Azerbaijan,AZE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,8763400.0,0.001295643,47.01,70.238,48852482960.0,5574.603802,0.00076933
187,130,Tural Abbasov,M,18.0,182.0,76.0,Azerbaijan,AZE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,,0,8763400.0,0.001295643,47.01,70.238,48852482960.0,5574.603802,0.00076933
188,131,Tran Abbasova,F,33.0,159.0,53.0,Azerbaijan,AZE,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Women's Featherweight,,0,8048600.0,0.001315544,48.614,66.763,5272617196.0,655.0974326,0.000156923
447,335,Abdulqdir Abdullayev,M,28.0,188.0,91.0,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Heavyweight,,0,9762274.0,0.001311757,45.105,72.026,37847715736.0,3876.936433,0.00049931
448,336,Arif Yadulla Abdullayev,M,27.0,164.0,60.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Bantamweight, Freestyle",,0,7763000.0,0.001340165,48.104,65.573,3176749593.0,409.2167452,0.00010053
449,336,Arif Yadulla Abdullayev,M,32.0,164.0,60.0,Azerbaijan,AZE,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Featherweight, Freestyle",,0,8048600.0,0.001315544,48.614,66.763,5272617196.0,655.0974326,0.000156923
454,339,Namiq Yadulla Abdullayev,M,25.0,167.0,55.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver,0,7763000.0,0.001340165,48.104,65.573,3176749593.0,409.2167452,0.00010053
455,339,Namiq Yadulla Abdullayev,M,29.0,167.0,55.0,Azerbaijan,AZE,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold,0,8048600.0,0.001315544,48.614,66.763,5272617196.0,655.0974326,0.000156923
456,339,Namiq Yadulla Abdullayev,M,33.0,167.0,55.0,Azerbaijan,AZE,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",,0,8306500.0,0.001290561,47.811,68.249,8680472169.0,1045.02163,0.000198184
457,340,Laye Abdullayeva,F,21.0,170.0,47.0,Azerbaijan,AZE,2012 Summer,2012,Summer,London,Athletics,"Athletics Women's 5,000 metres",,0,9295784.0,0.001309745,46.144,71.478,69684317719.0,7496.335728,0.000930365
458,341,lqar Abdulov,M,27.0,175.0,74.0,Azerbaijan,AZE,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",,0,8763400.0,0.001295643,47.01,70.238,48852482960.0,5574.603802,0.00076933
616,450,Ceyhun Abiyev,M,29.0,163.0,48.0,Azerbaijan,AZE,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Light-Flyweight,,0,8306500.0,0.001290561,47.811,68.249,8680472169.0,1045.02163,0.000198184
1610,1125,Rstm Aayev,M,22.0,186.0,96.0,Azerbaijan,AZE,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Heavyweight, Freestyle",,0,8306500.0,0.001290561,47.811,68.249,8680472169.0,1045.02163,0.000198184
1611,1126,Vilayt Aayev,M,24.0,168.0,62.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",,0,7763000.0,0.001340165,48.104,65.573,3176749593.0,409.2167452,0.00010053
3535,2472,Aleksandr Aleksandrov,M,22.0,189.0,93.0,Azerbaijan,AZE,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Single Sculls,,0,9295784.0,0.001309745,46.144,71.478,69684317719.0,7496.335728,0.000930365
3536,2472,Aleksandr Aleksandrov,M,26.0,189.0,93.0,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,,0,9762274.0,0.001311757,45.105,72.026,37847715736.0,3876.936433,0.00049931
3583,2500,Yana Ivanovna Alekseevna,F,28.0,169.0,60.0,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Lightweight,,0,9762274.0,0.001311757,45.105,72.026,37847715736.0,3876.936433,0.00049931
3990,2784,Fatim Alkrmova,F,14.0,175.0,60.0,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Freestyle,,0,9762274.0,0.001311757,45.105,72.026,37847715736.0,3876.936433,0.00049931
3996,2790,Elad Ahad Allahverdiyev,M,23.0,176.0,76.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Lightweight, Freestyle",,0,7763000.0,0.001340165,48.104,65.573,3176749593.0,409.2167452,0.00010053
3997,2790,Elad Ahad Allahverdiyev,M,27.0,176.0,76.0,Azerbaijan,AZE,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Middleweight, Freestyle",,0,8048600.0,0.001315544,48.614,66.763,5272617196.0,655.0974326,0.000156923
6211,4370,Aleksandr Petrovich Anichenko,M,22.0,178.0,78.0,Azerbaijan,AZE,1998 Winter,1998,Winter,Nagano,Figure Skating,Figure Skating Mixed Pairs,,0,7913000.0,0.0013283,48.722,66.207,4446396218.0,561.9103018,0.000142057
6457,4530,Gaia Bassani Antivari,F,31.0,167.0,60.0,Azerbaijan,AZE,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Giant Slalom,,0,9054332.0,0.001306418,46.599,70.987,52902703376.0,5842.805784,0.000801556
6458,4530,Gaia Bassani Antivari,F,31.0,167.0,60.0,Azerbaijan,AZE,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Slalom,,0,9054332.0,0.001306418,46.599,70.987,52902703376.0,5842.805784,0.000801556
7232,5074,Magomed Davudovich Aripgadzhiyev,M,22.0,185.0,81.0,Azerbaijan,AZE,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Heavyweight,,0,8048600.0,0.001315544,48.614,66.763,5272617196.0,655.0974326,0.000156923
8058,5624,Elnur Aslanov,M,21.0,175.0,74.0,Azerbaijan,AZE,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Middleweight, Freestyle",,0,8306500.0,0.001290561,47.811,68.249,8680472169.0,1045.02163,0.000198184
8059,5625,Fuad Aslanov,M,21.0,175.0,74.0,Azerbaijan,AZE,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Flyweight,Bronze,0,8306500.0,0.001290561,47.811,68.249,8680472169.0,1045.02163,0.000198184
8060,5626,Vqar Aslanov,M,28.0,173.0,74.0,Azerbaijan,AZE,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",,0,8306500.0,0.001290561,47.811,68.249,8680472169.0,1045.02163,0.000198184
8203,5724,rad Suleyman Aumova,F,38.0,158.0,57.0,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Women's Air Pistol, 10 metres",,0,7763000.0,0.001340165,48.104,65.573,3176749593.0,409.2167452,0.00010053
