Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
4920,3411,Christine Amertil (-Ling),F,21.0,168.0,54.0,Bahamas,BHS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 400 metres,,0,297890.0,4.87e-05,17.991,72.37,6327552000.0,21241.2367,0.00018832
4921,3411,Christine Amertil (-Ling),F,24.0,168.0,54.0,Bahamas,BHS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 400 metres,,0,322526.0,5.01e-05,17.774,73.538,7094413000.0,21996.40649,0.000161973
4922,3411,Christine Amertil (-Ling),F,28.0,168.0,54.0,Bahamas,BHS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 400 metres,,0,348676.0,5.16e-05,17.558,74.41,8247000000.0,23652.33053,0.000129874
4923,3411,Christine Amertil (-Ling),F,32.0,168.0,54.0,Bahamas,BHS,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,,0,372039.0,5.24e-05,17.333,75.079,10720500000.0,28815.5274,0.000143131
4924,3411,Christine Amertil (-Ling),F,36.0,168.0,54.0,Bahamas,BHS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,,0,391232.0,5.26e-05,17.049,75.675,11261800000.0,28785.47767,0.000148573
8320,5813,Derrick Atkins,M,24.0,185.0,88.0,Bahamas,BHS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,348676.0,5.16e-05,17.558,74.41,8247000000.0,23652.33053,0.000129874
8321,5813,Derrick Atkins,M,28.0,185.0,88.0,Bahamas,BHS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,372039.0,5.24e-05,17.333,75.079,10720500000.0,28815.5274,0.000143131
9992,6932,"Andretti ""Dretti"" Bain",M,22.0,175.0,65.0,Bahamas,BHS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,,0,348676.0,5.16e-05,17.558,74.41,8247000000.0,23652.33053,0.000129874
9993,6932,"Andretti ""Dretti"" Bain",M,22.0,175.0,65.0,Bahamas,BHS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,0,348676.0,5.16e-05,17.558,74.41,8247000000.0,23652.33053,0.000129874
10482,7248,Anthony Richard Balfour,M,18.0,185.0,75.0,Bahamas,BHS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's High Jump,,0,158627.0,4.49e-05,34.584,65.383,444901960.8,2804.705131,0.000182337
11715,8110,"Timothy Edward A. ""Tim"" Barrett",M,20.0,184.0,79.0,Bahamas,BHS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Triple Jump,,0,158627.0,4.49e-05,34.584,65.383,444901960.8,2804.705131,0.000182337
11716,8110,"Timothy Edward A. ""Tim"" Barrett",M,24.0,184.0,79.0,Bahamas,BHS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Triple Jump,,0,177839.0,4.63e-05,31.912,66.49,590900000.0,3322.668256,0.000156737
11837,8198,Trevor George Barry,M,29.0,190.0,77.0,Bahamas,BHS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's High Jump,,0,372039.0,5.24e-05,17.333,75.079,10720500000.0,28815.5274,0.000143131
11838,8198,Trevor George Barry,M,33.0,190.0,77.0,Bahamas,BHS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,,0,391232.0,5.26e-05,17.049,75.675,11261800000.0,28785.47767,0.000148573
22579,15488,"Christopher Deon ""Chris"" Brown",M,21.0,178.0,75.0,Bahamas,BHS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 400 metres,,0,297890.0,4.87e-05,17.991,72.37,6327552000.0,21241.2367,0.00018832
22580,15488,"Christopher Deon ""Chris"" Brown",M,21.0,178.0,75.0,Bahamas,BHS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,0,297890.0,4.87e-05,17.991,72.37,6327552000.0,21241.2367,0.00018832
22581,15488,"Christopher Deon ""Chris"" Brown",M,25.0,178.0,75.0,Bahamas,BHS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,,0,322526.0,5.01e-05,17.774,73.538,7094413000.0,21996.40649,0.000161973
22582,15488,"Christopher Deon ""Chris"" Brown",M,25.0,178.0,75.0,Bahamas,BHS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,,0,322526.0,5.01e-05,17.774,73.538,7094413000.0,21996.40649,0.000161973
22583,15488,"Christopher Deon ""Chris"" Brown",M,29.0,178.0,75.0,Bahamas,BHS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,,0,348676.0,5.16e-05,17.558,74.41,8247000000.0,23652.33053,0.000129874
22584,15488,"Christopher Deon ""Chris"" Brown",M,29.0,178.0,75.0,Bahamas,BHS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,0,348676.0,5.16e-05,17.558,74.41,8247000000.0,23652.33053,0.000129874
22585,15488,"Christopher Deon ""Chris"" Brown",M,33.0,178.0,75.0,Bahamas,BHS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres,,0,372039.0,5.24e-05,17.333,75.079,10720500000.0,28815.5274,0.000143131
22586,15488,"Christopher Deon ""Chris"" Brown",M,33.0,178.0,75.0,Bahamas,BHS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,0,372039.0,5.24e-05,17.333,75.079,10720500000.0,28815.5274,0.000143131
22587,15488,"Christopher Deon ""Chris"" Brown",M,37.0,178.0,75.0,Bahamas,BHS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,,0,391232.0,5.26e-05,17.049,75.675,11261800000.0,28785.47767,0.000148573
22588,15488,"Christopher Deon ""Chris"" Brown",M,37.0,178.0,75.0,Bahamas,BHS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,0,391232.0,5.26e-05,17.049,75.675,11261800000.0,28785.47767,0.000148573
22733,15583,Shandria Brown,F,21.0,168.0,63.0,Bahamas,BHS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,,0,322526.0,5.01e-05,17.774,73.538,7094413000.0,21996.40649,0.000161973
23949,16373,Hugh Bullard,M,18.0,170.0,64.0,Bahamas,BHS,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 400 metres,,0,109528.0,3.61e-05,40.288,62.881,169803921.6,1550.324315,0.000123944
24433,16706,Jefrey Basil Burnside,M,21.0,201.0,86.0,Bahamas,BHS,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's Sprint,,0,177839.0,4.63e-05,31.912,66.49,590900000.0,3322.668256,0.000156737
24434,16707,Lawrence George Burnside,M,26.0,201.0,75.0,Bahamas,BHS,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's 1,000 metres Time Trial",,0,177839.0,4.63e-05,31.912,66.49,590900000.0,3322.668256,0.000156737
24472,16739,Elvis Vereance Burrows,M,19.0,183.0,82.0,Bahamas,BHS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,,0,348676.0,5.16e-05,17.558,74.41,8247000000.0,23652.33053,0.000129874
25466,17464,Walter Edward Callander,M,25.0,180.0,70.0,Bahamas,BHS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,177839.0,4.63e-05,31.912,66.49,590900000.0,3322.668256,0.000156737
25467,17464,Walter Edward Callander,M,25.0,180.0,70.0,Bahamas,BHS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,,0,177839.0,4.63e-05,31.912,66.49,590900000.0,3322.668256,0.000156737
25468,17464,Walter Edward Callander,M,29.0,180.0,70.0,Bahamas,BHS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 200 metres,,0,192902.0,4.66e-05,29.353,67.55,642100000.0,3328.633192,0.000100016
25469,17464,Walter Edward Callander,M,29.0,180.0,70.0,Bahamas,BHS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,,0,192902.0,4.66e-05,29.353,67.55,642100000.0,3328.633192,0.000100016
32030,21872,Lanece Clarke,F,28.0,170.0,52.0,Bahamas,BHS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,,0,391232.0,5.26e-05,17.049,75.675,11261800000.0,28785.47767,0.000148573
32052,21886,Timicka Clarke,F,23.0,160.0,54.0,Bahamas,BHS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,,0,322526.0,5.01e-05,17.774,73.538,7094413000.0,21996.40649,0.000161973
32053,21886,Timicka Clarke,F,27.0,160.0,54.0,Bahamas,BHS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,348676.0,5.16e-05,17.558,74.41,8247000000.0,23652.33053,0.000129874
32057,21890,Eldece Clarke-Lewis,F,19.0,165.0,58.0,Bahamas,BHS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 100 metres,,0,230015.0,4.83e-05,24.013,69.438,2041100000.0,8873.769102,0.000168686
32058,21890,Eldece Clarke-Lewis,F,19.0,165.0,58.0,Bahamas,BHS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,,0,230015.0,4.83e-05,24.013,69.438,2041100000.0,8873.769102,0.000168686
32059,21890,Eldece Clarke-Lewis,F,31.0,165.0,58.0,Bahamas,BHS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 100 metres,,0,283790.0,4.9e-05,18.82,71.482,3609000000.0,12717.15001,0.000114209
32060,21890,Eldece Clarke-Lewis,F,31.0,165.0,58.0,Bahamas,BHS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,0,283790.0,4.9e-05,18.82,71.482,3609000000.0,12717.15001,0.000114209
32061,21890,Eldece Clarke-Lewis,F,35.0,165.0,58.0,Bahamas,BHS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,0,297890.0,4.87e-05,17.991,72.37,6327552000.0,21241.2367,0.00018832
32168,21967,Aaron Cleare,M,21.0,185.0,84.0,Bahamas,BHS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,,0,322526.0,5.01e-05,17.774,73.538,7094413000.0,21996.40649,0.000161973
32783,22429,Reginald George Collie,M,23.0,173.0,70.0,Bahamas,BHS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,,0,133698.0,4.1e-05,37.358,64.189,266666666.7,1994.54492,0.000148148
32784,22429,Reginald George Collie,M,23.0,173.0,70.0,Bahamas,BHS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 200 metres,,0,133698.0,4.1e-05,37.358,64.189,266666666.7,1994.54492,0.000148148
32785,22431,Latario Collie-Minns,M,22.0,173.0,64.0,Bahamas,BHS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,,0,391232.0,5.26e-05,17.049,75.675,11261800000.0,28785.47767,0.000148573
33479,22922,"Tyrone Bradley Thomas ""Brad"" Cooper",M,27.0,188.0,132.0,Bahamas,BHS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Discus Throw,,0,230015.0,4.83e-05,24.013,69.438,2041100000.0,8873.769102,0.000168686
33480,22922,"Tyrone Bradley Thomas ""Brad"" Cooper",M,31.0,188.0,132.0,Bahamas,BHS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Discus Throw,,0,247579.0,4.85e-05,21.346,70.316,2817900000.0,11381.82156,0.000147534
33535,22958,Theron Cooper,M,22.0,183.0,75.0,Bahamas,BHS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,283790.0,4.9e-05,18.82,71.482,3609000000.0,12717.15001,0.000114209
34328,23579,Carmiesha Cox,F,21.0,168.0,61.0,Bahamas,BHS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,,0,391232.0,5.26e-05,17.049,75.675,11261800000.0,28785.47767,0.000148573
37024,25379,Dennis Theodore Darling,M,21.0,183.0,77.0,Bahamas,BHS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,283790.0,4.9e-05,18.82,71.482,3609000000.0,12717.15001,0.000114209
37025,25379,Dennis Theodore Darling,M,29.0,183.0,77.0,Bahamas,BHS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,,0,322526.0,5.01e-05,17.774,73.538,7094413000.0,21996.40649,0.000161973
37433,25683,"Garvin ""Garry"" Davis",M,25.0,183.0,65.0,Bahamas,BHS,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Welterweight,,0,177839.0,4.63e-05,31.912,66.49,590900000.0,3322.668256,0.000156737
37542,25735,Pauline Elaine Davis-Thompson,F,18.0,167.0,57.0,Bahamas,BHS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 100 metres,,0,230015.0,4.83e-05,24.013,69.438,2041100000.0,8873.769102,0.000168686
37543,25735,Pauline Elaine Davis-Thompson,F,18.0,167.0,57.0,Bahamas,BHS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 200 metres,,0,230015.0,4.83e-05,24.013,69.438,2041100000.0,8873.769102,0.000168686
37544,25735,Pauline Elaine Davis-Thompson,F,18.0,167.0,57.0,Bahamas,BHS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,,0,230015.0,4.83e-05,24.013,69.438,2041100000.0,8873.769102,0.000168686
37545,25735,Pauline Elaine Davis-Thompson,F,22.0,167.0,57.0,Bahamas,BHS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 100 metres,,0,247579.0,4.85e-05,21.346,70.316,2817900000.0,11381.82156,0.000147534
37546,25735,Pauline Elaine Davis-Thompson,F,22.0,167.0,57.0,Bahamas,BHS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 200 metres,,0,247579.0,4.85e-05,21.346,70.316,2817900000.0,11381.82156,0.000147534
37547,25735,Pauline Elaine Davis-Thompson,F,26.0,167.0,57.0,Bahamas,BHS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 100 metres,,0,266134.0,4.88e-05,19.707,71.01,3109000000.0,11682.08496,0.000122402
37548,25735,Pauline Elaine Davis-Thompson,F,26.0,167.0,57.0,Bahamas,BHS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 200 metres,,0,266134.0,4.88e-05,19.707,71.01,3109000000.0,11682.08496,0.000122402
37549,25735,Pauline Elaine Davis-Thompson,F,30.0,167.0,57.0,Bahamas,BHS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 400 metres,,0,283790.0,4.9e-05,18.82,71.482,3609000000.0,12717.15001,0.000114209
37550,25735,Pauline Elaine Davis-Thompson,F,30.0,167.0,57.0,Bahamas,BHS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,0,283790.0,4.9e-05,18.82,71.482,3609000000.0,12717.15001,0.000114209
37551,25735,Pauline Elaine Davis-Thompson,F,34.0,167.0,57.0,Bahamas,BHS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 200 metres,Gold,0,297890.0,4.87e-05,17.991,72.37,6327552000.0,21241.2367,0.00018832
37552,25735,Pauline Elaine Davis-Thompson,F,34.0,167.0,57.0,Bahamas,BHS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,0,297890.0,4.87e-05,17.991,72.37,6327552000.0,21241.2367,0.00018832
39678,27460,Dominic Demeritte,M,22.0,178.0,84.0,Bahamas,BHS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 200 metres,,0,297890.0,4.87e-05,17.991,72.37,6327552000.0,21241.2367,0.00018832
39679,27460,Dominic Demeritte,M,22.0,178.0,84.0,Bahamas,BHS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,,0,297890.0,4.87e-05,17.991,72.37,6327552000.0,21241.2367,0.00018832
39680,27460,Dominic Demeritte,M,26.0,178.0,84.0,Bahamas,BHS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 200 metres,,0,322526.0,5.01e-05,17.774,73.538,7094413000.0,21996.40649,0.000161973
40353,27931,Nikia Hillarie Deveaux,F,18.0,165.0,62.0,Bahamas,BHS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,,0,322526.0,5.01e-05,17.774,73.538,7094413000.0,21996.40649,0.000161973
41283,28541,Alana Kathryn Dillette,F,20.0,178.0,64.0,Bahamas,BHS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Backstroke,,0,348676.0,5.16e-05,17.558,74.41,8247000000.0,23652.33053,0.000129874
45679,31485,"Jacqueline Lois Elizabeth ""Jackie"" Edwards",F,21.0,173.0,64.0,Bahamas,BHS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Long Jump,,0,266134.0,4.88e-05,19.707,71.01,3109000000.0,11682.08496,0.000122402
45680,31485,"Jacqueline Lois Elizabeth ""Jackie"" Edwards",F,25.0,173.0,64.0,Bahamas,BHS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Long Jump,,0,283790.0,4.9e-05,18.82,71.482,3609000000.0,12717.15001,0.000114209
45681,31485,"Jacqueline Lois Elizabeth ""Jackie"" Edwards",F,29.0,173.0,64.0,Bahamas,BHS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Long Jump,,0,297890.0,4.87e-05,17.991,72.37,6327552000.0,21241.2367,0.00018832
45682,31485,"Jacqueline Lois Elizabeth ""Jackie"" Edwards",F,33.0,173.0,64.0,Bahamas,BHS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Long Jump,,0,322526.0,5.01e-05,17.774,73.538,7094413000.0,21996.40649,0.000161973
45683,31485,"Jacqueline Lois Elizabeth ""Jackie"" Edwards",F,37.0,173.0,64.0,Bahamas,BHS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Long Jump,,0,348676.0,5.16e-05,17.558,74.41,8247000000.0,23652.33053,0.000129874
46949,32349,Norbert Elliott,M,25.0,183.0,78.0,Bahamas,BHS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Triple Jump,,0,247579.0,4.85e-05,21.346,70.316,2817900000.0,11381.82156,0.000147534
46950,32349,Norbert Elliott,M,29.0,183.0,78.0,Bahamas,BHS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Triple Jump,,0,266134.0,4.88e-05,19.707,71.01,3109000000.0,11682.08496,0.000122402
47334,32596,Timothy Alexander Eneas,M,19.0,,,Bahamas,BHS,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Backstroke,,0,266134.0,4.88e-05,19.707,71.01,3109000000.0,11682.08496,0.000122402
47335,32596,Timothy Alexander Eneas,M,19.0,,,Bahamas,BHS,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Butterfly,,0,266134.0,4.88e-05,19.707,71.01,3109000000.0,11682.08496,0.000122402
48578,33450,Joanna Evans,F,19.0,180.0,66.0,Bahamas,BHS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle,,0,391232.0,5.26e-05,17.049,75.675,11261800000.0,28785.47767,0.000148573
48579,33450,Joanna Evans,F,19.0,180.0,66.0,Bahamas,BHS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Freestyle,,0,391232.0,5.26e-05,17.049,75.675,11261800000.0,28785.47767,0.000148573
48580,33450,Joanna Evans,F,19.0,180.0,66.0,Bahamas,BHS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 800 metres Freestyle,,0,391232.0,5.26e-05,17.049,75.675,11261800000.0,28785.47767,0.000148573
48623,33485,Laverne M. Eve,F,23.0,180.0,82.0,Bahamas,BHS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Javelin Throw,,0,247579.0,4.85e-05,21.346,70.316,2817900000.0,11381.82156,0.000147534
48624,33485,Laverne M. Eve,F,31.0,180.0,82.0,Bahamas,BHS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Javelin Throw,,0,283790.0,4.9e-05,18.82,71.482,3609000000.0,12717.15001,0.000114209
48625,33485,Laverne M. Eve,F,35.0,180.0,82.0,Bahamas,BHS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Javelin Throw,,0,297890.0,4.87e-05,17.991,72.37,6327552000.0,21241.2367,0.00018832
48626,33485,Laverne M. Eve,F,39.0,180.0,82.0,Bahamas,BHS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Javelin Throw,,0,322526.0,5.01e-05,17.774,73.538,7094413000.0,21996.40649,0.000161973
48627,33485,Laverne M. Eve,F,43.0,180.0,82.0,Bahamas,BHS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,,0,348676.0,5.16e-05,17.558,74.41,8247000000.0,23652.33053,0.000129874
50475,34692,Dwight K. Ferguson,M,26.0,180.0,85.0,Bahamas,BHS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,283790.0,4.9e-05,18.82,71.482,3609000000.0,12717.15001,0.000114209
50476,34694,Garvin Ferguson,M,20.0,,,Bahamas,BHS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 50 metres Freestyle,,0,247579.0,4.85e-05,21.346,70.316,2817900000.0,11381.82156,0.000147534
50477,34694,Garvin Ferguson,M,20.0,,,Bahamas,BHS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Freestyle,,0,247579.0,4.85e-05,21.346,70.316,2817900000.0,11381.82156,0.000147534
50500,34707,Sheniqua Monique Ferguson,F,18.0,171.0,57.0,Bahamas,BHS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 200 metres,,0,348676.0,5.16e-05,17.558,74.41,8247000000.0,23652.33053,0.000129874
50501,34707,Sheniqua Monique Ferguson,F,22.0,171.0,57.0,Bahamas,BHS,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,372039.0,5.24e-05,17.333,75.079,10720500000.0,28815.5274,0.000143131
50502,34707,Sheniqua Monique Ferguson,F,22.0,171.0,57.0,Bahamas,BHS,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,,0,372039.0,5.24e-05,17.333,75.079,10720500000.0,28815.5274,0.000143131
50503,34707,Sheniqua Monique Ferguson,F,26.0,171.0,57.0,Bahamas,BHS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,,0,391232.0,5.26e-05,17.049,75.675,11261800000.0,28785.47767,0.000148573
