Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
163,110,Abubakar Abbas Abbas,M,20.0,175.0,66.0,Bahrain,BHR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,,0,1425171.0,0.0001915,11.165,76.9,32179069149.0,22579.09342,0.000424526
386,290,Fatima Abdul Majeed Hameed Al-Kirashi,F,14.0,,,Bahrain,BHR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,,0,664614.0,0.000108631,11.628,74.44,9062906915.0,13636.34668,0.000269729
390,294,Mohamed Ghulom Abdul Rahman,M,,175.0,85.0,Bahrain,BHR,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",,0,407227.0,8.56e-05,13.05,70.956,3905585106.0,9590.683098,0.000322776
1291,900,Oluwakemi 'Kemi' Adekoya,F,23.0,166.0,63.0,Bahrain,BHR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,,0,1425171.0,0.0001915,11.165,76.9,32179069149.0,22579.09342,0.000424526
2514,1784,Rashid Saad Riyadh Al-Ameeri,M,25.0,177.0,125.0,Bahrain,BHR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Hammer Throw,,0,523087.0,9.59e-05,11.602,72.803,4751063830.0,9082.741169,0.00018705
2606,1842,Sameera Zayid Al-Bitar,F,14.0,168.0,64.0,Bahrain,BHR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,,0,829848.0,0.000128932,11.614,75.167,13150166755.0,15846.47641,0.000300232
2607,1842,Sameera Zayid Al-Bitar,F,18.0,168.0,64.0,Bahrain,BHR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,,0,1114590.0,0.000164789,11.532,75.77,25710877660.0,23067.56535,0.000404896
2642,1864,Abdullah Hussein Al-Dosari,M,23.0,165.0,54.0,Bahrain,BHR,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 3,000 metres Steeplechase",,0,465202.0,9.11e-05,12.246,71.962,3702393617.0,7958.679492,0.000193843
2643,1864,Abdullah Hussein Al-Dosari,M,27.0,165.0,54.0,Bahrain,BHR,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",,0,523087.0,9.59e-05,11.602,72.803,4751063830.0,9082.741169,0.00018705
2644,1864,Abdullah Hussein Al-Dosari,M,27.0,165.0,54.0,Bahrain,BHR,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 10,000 metres",,0,523087.0,9.59e-05,11.602,72.803,4751063830.0,9082.741169,0.00018705
2668,1881,Ahmed Al-Doseri,M,,190.0,69.0,Bahrain,BHR,1988 Summer,1988,Summer,Seoul,Modern Pentathlon,Modern Pentathlon Men's Individual,,0,465202.0,9.11e-05,12.246,71.962,3702393617.0,7958.679492,0.000193843
2669,1881,Ahmed Al-Doseri,M,,190.0,69.0,Bahrain,BHR,1988 Summer,1988,Summer,Seoul,Modern Pentathlon,Modern Pentathlon Men's Team,,0,465202.0,9.11e-05,12.246,71.962,3702393617.0,7958.679492,0.000193843
2670,1881,Ahmed Al-Doseri,M,,190.0,69.0,Bahrain,BHR,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's epee, Individual",,0,465202.0,9.11e-05,12.246,71.962,3702393617.0,7958.679492,0.000193843
2671,1881,Ahmed Al-Doseri,M,,190.0,69.0,Bahrain,BHR,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's epee, Team",,0,465202.0,9.11e-05,12.246,71.962,3702393617.0,7958.679492,0.000193843
2672,1882,Jamal Ahmed Youssuf Al-Doseri,M,22.0,155.0,70.0,Bahrain,BHR,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",,0,523087.0,9.59e-05,11.602,72.803,4751063830.0,9082.741169,0.00018705
2673,1882,Jamal Ahmed Youssuf Al-Doseri,M,22.0,155.0,70.0,Bahrain,BHR,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,523087.0,9.59e-05,11.602,72.803,4751063830.0,9082.741169,0.00018705
2674,1883,Mamdooh Husain Isa Al-Doseri,M,20.0,,,Bahrain,BHR,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,523087.0,9.59e-05,11.602,72.803,4751063830.0,9082.741169,0.00018705
2707,1903,Sara Abdulrahman Al-Flaij,F,16.0,170.0,72.0,Bahrain,BHR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,,0,1300217.0,0.000183196,11.381,76.341,30749308511.0,23649.36661,0.000410538
2714,1910,Rakia Al-Gassra,F,21.0,170.0,65.0,Bahrain,BHR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres,,0,829848.0,0.000128932,11.614,75.167,13150166755.0,15846.47641,0.000300232
2715,1910,Rakia Al-Gassra,F,25.0,170.0,65.0,Bahrain,BHR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 200 metres,,0,1114590.0,0.000164789,11.532,75.77,25710877660.0,23067.56535,0.000404896
2777,1956,Mariam Mohamed Hadj Al-Hilli,F,16.0,,45.0,Bahrain,BHR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,,0,664614.0,0.000108631,11.628,74.44,9062906915.0,13636.34668,0.000269729
2820,1993,Hajar Saeed Saad Sowaid Al-Khaldi,F,21.0,160.0,45.0,Bahrain,BHR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,,0,1425171.0,0.0001915,11.165,76.9,32179069149.0,22579.09342,0.000424526
2828,1996,Ali Al-Khalifa,M,,175.0,65.0,Bahrain,BHR,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",,0,407227.0,8.56e-05,13.05,70.956,3905585106.0,9590.683098,0.000322776
2829,1996,Ali Al-Khalifa,M,,175.0,65.0,Bahrain,BHR,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",,0,407227.0,8.56e-05,13.05,70.956,3905585106.0,9590.683098,0.000322776
2830,1997,Salman Al-Khalifa,M,,167.0,65.0,Bahrain,BHR,1984 Summer,1984,Summer,Los Angeles,Shooting,Shooting Mixed Trap,,0,407227.0,8.56e-05,13.05,70.956,3905585106.0,9590.683098,0.000322776
2863,2021,Fatema Abdul Muhsin Al-Mahmeed,F,17.0,167.0,60.0,Bahrain,BHR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,,0,1425171.0,0.0001915,11.165,76.9,32179069149.0,22579.09342,0.000424526
2919,2059,Riyadh Al-Mustafa,M,29.0,171.0,64.0,Bahrain,BHR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,,0,829848.0,0.000128932,11.614,75.167,13150166755.0,15846.47641,0.000300232
2920,2059,Riyadh Al-Mustafa,M,33.0,171.0,64.0,Bahrain,BHR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,,0,1114590.0,0.000164789,11.532,75.77,25710877660.0,23067.56535,0.000404896
3084,2163,Hesham Al-Shehabi,M,16.0,172.0,71.0,Bahrain,BHR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,,0,829848.0,0.000128932,11.614,75.167,13150166755.0,15846.47641,0.000300232
3828,2659,Abdullah Ali,M,,175.0,80.0,Bahrain,BHR,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",,0,407227.0,8.56e-05,13.05,70.956,3905585106.0,9590.683098,0.000322776
3839,2670,Belal Mansoor Ali,M,19.0,170.0,61.0,Bahrain,BHR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 800 metres,,0,1114590.0,0.000164789,11.532,75.77,25710877660.0,23067.56535,0.000404896
3840,2670,Belal Mansoor Ali,M,19.0,170.0,61.0,Bahrain,BHR,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",,0,1114590.0,0.000164789,11.532,75.77,25710877660.0,23067.56535,0.000404896
3841,2670,Belal Mansoor Ali,M,23.0,170.0,61.0,Bahrain,BHR,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 1,500 metres",,0,1300217.0,0.000183196,11.381,76.341,30749308511.0,23649.36661,0.000410538
4391,3063,Azza Alqasmi,F,27.0,159.0,73.0,Bahrain,BHR,2012 Summer,2012,Summer,London,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",,0,1300217.0,0.000183196,11.381,76.341,30749308511.0,23649.36661,0.000410538
6649,4662,Zouhair Aouad,M,27.0,175.0,69.0,Bahrain,BHR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",,0,1425171.0,0.0001915,11.165,76.9,32179069149.0,22579.09342,0.000424526
9202,6407,Khalid Ali Baba,M,15.0,165.0,60.0,Bahrain,BHR,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Butterfly,,0,1300217.0,0.000183196,11.381,76.341,30749308511.0,23649.36661,0.000410538
9612,6666,Hamad Bader Jassim,M,,171.0,64.0,Bahrain,BHR,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,,0,407227.0,8.56e-05,13.05,70.956,3905585106.0,9590.683098,0.000322776
10477,7246,Birhanu Yemataw Balew,M,20.0,,,Bahrain,BHR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",,0,1425171.0,0.0001915,11.165,76.9,32179069149.0,22579.09342,0.000424526
12383,8571,Adam Batirov,M,31.0,165.0,71.0,Bahrain,BHR,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Welterweight, Freestyle",,0,1425171.0,0.0001915,11.165,76.9,32179069149.0,22579.09342,0.000424526
13838,9486,Alemu Bekele Gebre,M,26.0,162.0,59.0,Bahrain,BHR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,0,1425171.0,0.0001915,11.165,76.9,32179069149.0,22579.09342,0.000424526
14021,9582,Mimi Belete Gebregeiorges,F,24.0,169.0,56.0,Bahrain,BHR,2012 Summer,2012,Summer,London,Athletics,"Athletics Women's 1,500 metres",,0,1300217.0,0.000183196,11.381,76.341,30749308511.0,23649.36661,0.000410538
14022,9582,Mimi Belete Gebregeiorges,F,28.0,169.0,56.0,Bahrain,BHR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 5,000 metres",,0,1425171.0,0.0001915,11.165,76.9,32179069149.0,22579.09342,0.000424526
22676,15550,Ashani Kemarley Brown,M,24.0,182.0,85.0,Bahrain,BHR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,1425171.0,0.0001915,11.165,76.9,32179069149.0,22579.09342,0.000424526
28848,19795,Hassan Chani,M,28.0,170.0,60.0,Bahrain,BHR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 10,000 metres",,0,1425171.0,0.0001915,11.165,76.9,32179069149.0,22579.09342,0.000424526
29366,20135,Rose Chelimo,F,27.0,,,Bahrain,BHR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,,0,1425171.0,0.0001915,11.165,76.9,32179069149.0,22579.09342,0.000424526
