Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
846,590,Mohamed Abu Abdullah,M,27.0,173.0,74.0,Bangladesh,BGD,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,148805814.0,0.022000504,71.032,69.312,91631278239.0,615.7775411,0.001443012
1964,1421,Masbah Ahmmed,M,21.0,,,Bangladesh,BGD,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,162951560.0,0.021895806,64.965,72.489,221000000000.0,1356.231263,0.002915567
2336,1661,Doli Akhtar,F,14.0,158.0,53.0,Bangladesh,BGD,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Breaststroke,,0,131581243.0,0.021506967,76.41,65.324,53369787319.0,405.6033071,0.001588387
2337,1661,Doli Akhtar,F,18.0,158.0,53.0,Bangladesh,BGD,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,,0,141307489.0,0.02195461,73.886,67.46,65108544250.0,460.7579167,0.001486496
2338,1661,Doli Akhtar,F,22.0,158.0,53.0,Bangladesh,BGD,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,,0,148805814.0,0.022000504,71.032,69.312,91631278239.0,615.7775411,0.001443012
2462,1746,Sonia Aktar,F,19.0,,,Bangladesh,BGD,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,,0,162951560.0,0.021895806,64.965,72.489,221000000000.0,1356.231263,0.002915567
2467,1749,Shirin Akter,F,21.0,159.0,50.0,Bangladesh,BGD,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,,0,162951560.0,0.021895806,64.965,72.489,221000000000.0,1356.231263,0.002915567
3183,2230,Mohamed Mahbub Alam,M,27.0,170.0,80.0,Bangladesh,BGD,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 200 metres,,0,131581243.0,0.021506967,76.41,65.324,53369787319.0,405.6033071,0.001588387
3184,2231,Mohamed Shah Alam,M,26.0,168.0,63.0,Bangladesh,BGD,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,,0,100975321.0,0.019776971,81.141,57.22,26579005760.0,263.2227904,0.001391571
3185,2231,Mohamed Shah Alam,M,26.0,168.0,63.0,Bangladesh,BGD,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,,0,100975321.0,0.019776971,81.141,57.22,26579005760.0,263.2227904,0.001391571
3188,2234,Saiful Alam,M,27.0,,,Bangladesh,BGD,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Air Rifle, 10 metres",,0,121269645.0,0.020935384,77.936,62.61,46438482370.0,382.9357493,0.001469572
4838,3350,Golam Ambia,M,26.0,170.0,68.0,Bangladesh,BGD,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,111221938.0,0.020384725,79.39,59.7,31708873955.0,285.0954994,0.001248381
4839,3350,Golam Ambia,M,26.0,170.0,68.0,Bangladesh,BGD,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,,0,111221938.0,0.020384725,79.39,59.7,31708873955.0,285.0954994,0.001248381
