Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
4131,2888,Damian Arthur Christopher Alleyne,M,17.0,180.0,84.0,Barbados,BRB,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Freestyle,,0,269847.0,4.41e-05,66.17,73.377,3121500000.0,11567.66612,9.29e-05
4132,2888,Damian Arthur Christopher Alleyne,M,17.0,180.0,84.0,Barbados,BRB,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 400 metres Freestyle,,0,269847.0,4.41e-05,66.17,73.377,3121500000.0,11567.66612,9.29e-05
4133,2888,Damian Arthur Christopher Alleyne,M,21.0,180.0,84.0,Barbados,BRB,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,,0,273091.0,4.24e-05,66.884,74.004,3514350000.0,12868.78733,8.02e-05
4134,2888,Damian Arthur Christopher Alleyne,M,21.0,180.0,84.0,Barbados,BRB,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Freestyle,,0,273091.0,4.24e-05,66.884,74.004,3514350000.0,12868.78733,8.02e-05
4136,2890,Livingstone Alleyne,M,21.0,183.0,72.0,Barbados,BRB,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's Sprint,,0,262184.0,4.81e-05,67.106,71.841,1950900000.0,7440.957495,7.68e-05
4137,2890,Livingstone Alleyne,M,21.0,183.0,72.0,Barbados,BRB,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's 1,000 metres Time Trial",,0,262184.0,4.81e-05,67.106,71.841,1950900000.0,7440.957495,7.68e-05
4207,2932,Bradley Kevin Ally,M,17.0,182.0,73.0,Barbados,BRB,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Breaststroke,,0,273091.0,4.24e-05,66.884,74.004,3514350000.0,12868.78733,8.02e-05
4208,2932,Bradley Kevin Ally,M,17.0,182.0,73.0,Barbados,BRB,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Breaststroke,,0,273091.0,4.24e-05,66.884,74.004,3514350000.0,12868.78733,8.02e-05
4209,2932,Bradley Kevin Ally,M,17.0,182.0,73.0,Barbados,BRB,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Individual Medley,,0,273091.0,4.24e-05,66.884,74.004,3514350000.0,12868.78733,8.02e-05
4210,2932,Bradley Kevin Ally,M,17.0,182.0,73.0,Barbados,BRB,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 400 metres Individual Medley,,0,273091.0,4.24e-05,66.884,74.004,3514350000.0,12868.78733,8.02e-05
4211,2932,Bradley Kevin Ally,M,21.0,182.0,73.0,Barbados,BRB,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Individual Medley,,0,277319.0,4.1e-05,67.59,74.648,4607300000.0,16613.71922,7.26e-05
4212,2932,Bradley Kevin Ally,M,21.0,182.0,73.0,Barbados,BRB,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 400 metres Individual Medley,,0,277319.0,4.1e-05,67.59,74.648,4607300000.0,16613.71922,7.26e-05
4213,2932,Bradley Kevin Ally,M,25.0,182.0,73.0,Barbados,BRB,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Backstroke,,0,281585.0,3.97e-05,68.231,75.292,4656350000.0,16536.21464,6.22e-05
4214,2932,Bradley Kevin Ally,M,25.0,182.0,73.0,Barbados,BRB,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Individual Medley,,0,281585.0,3.97e-05,68.231,75.292,4656350000.0,16536.21464,6.22e-05
4215,2932,Bradley Kevin Ally,M,25.0,182.0,73.0,Barbados,BRB,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 400 metres Individual Medley,,0,281585.0,3.97e-05,68.231,75.292,4656350000.0,16536.21464,6.22e-05
8322,5814,Henrico O. Atkins,M,22.0,173.0,60.0,Barbados,BRB,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,258527.0,5.06e-05,66.12,70.905,,0,
8323,5814,Henrico O. Atkins,M,22.0,173.0,60.0,Barbados,BRB,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,,0,258527.0,5.06e-05,66.12,70.905,,0,
8324,5814,Henrico O. Atkins,M,25.0,173.0,60.0,Barbados,BRB,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,262184.0,4.81e-05,67.106,71.841,1950900000.0,7440.957495,7.68e-05
8325,5814,Henrico O. Atkins,M,25.0,173.0,60.0,Barbados,BRB,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 200 metres,,0,262184.0,4.81e-05,67.106,71.841,1950900000.0,7440.957495,7.68e-05
9923,6895,Jade Latoya Bailey,F,25.0,183.0,70.0,Barbados,BRB,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,277319.0,4.1e-05,67.59,74.648,4607300000.0,16613.71922,7.26e-05
9924,6895,Jade Latoya Bailey,F,25.0,183.0,70.0,Barbados,BRB,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 200 metres,,0,277319.0,4.1e-05,67.59,74.648,4607300000.0,16613.71922,7.26e-05
12356,8557,Orlando Bates,M,22.0,168.0,68.0,Barbados,BRB,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Road Race, Individual",,0,241441.0,6.29e-05,62.029,66.257,,0,
12357,8557,Orlando Bates,M,22.0,168.0,68.0,Barbados,BRB,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",,0,241441.0,6.29e-05,62.029,66.257,,0,
