Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
111,72,Aleksey Aleksandrovich Abalmasov,M,24.0,180.0,83.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",,0,9730146.0,0.00151175,28.113,68.95609756,23141587718.0,2378.339207,0.000528347
112,72,Aleksey Aleksandrovich Abalmasov,M,28.0,180.0,83.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,0,9527985.0,0.001408685,26.274,70.45609756,60763483146.0,6377.369732,0.000956905
745,533,Yelena Vasilyevna Abramchuk (Kopets-),F,28.0,182.0,95.0,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,,0,9507120.0,0.001277472,22.954,73.82682927,47407217531.0,4986.496177,0.000625425
749,535,Yevgeny Sergeyevich Abramenko,M,22.0,181.0,80.0,Belarus,BLR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 10 kilometres Sprint,,0,9490583.0,0.001369363,25.385,70.40487805,57222490769.0,6029.3968,0.000867007
750,535,Yevgeny Sergeyevich Abramenko,M,22.0,181.0,80.0,Belarus,BLR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,,0,9490583.0,0.001369363,25.385,70.40487805,57222490769.0,6029.3968,0.000867007
751,535,Yevgeny Sergeyevich Abramenko,M,22.0,181.0,80.0,Belarus,BLR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 20 kilometres,,0,9490583.0,0.001369363,25.385,70.40487805,57222490769.0,6029.3968,0.000867007
752,535,Yevgeny Sergeyevich Abramenko,M,22.0,181.0,80.0,Belarus,BLR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,,0,9490583.0,0.001369363,25.385,70.40487805,57222490769.0,6029.3968,0.000867007
753,535,Yevgeny Sergeyevich Abramenko,M,26.0,181.0,80.0,Belarus,BLR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 10 kilometres Sprint,,0,9474511.0,0.001303416,23.723,72.97073171,78813839984.0,8318.51269,0.000997644
754,535,Yevgeny Sergeyevich Abramenko,M,26.0,181.0,80.0,Belarus,BLR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,,0,9474511.0,0.001303416,23.723,72.97073171,78813839984.0,8318.51269,0.000997644
755,535,Yevgeny Sergeyevich Abramenko,M,26.0,181.0,80.0,Belarus,BLR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,,0,9474511.0,0.001303416,23.723,72.97073171,78813839984.0,8318.51269,0.000997644
