Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
330,251,Bashir Abdi,M,27.0,176.0,56.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",,0,11348159.0,0.001524852,2.103,80.99268293,468000000000.0,41240.16944,0.006174142
331,251,Bashir Abdi,M,27.0,176.0,56.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 10,000 metres",,0,11348159.0,0.001524852,2.103,80.99268293,468000000000.0,41240.16944,0.006174142
957,658,Jaouad Achab,M,23.0,175.0,64.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,,0,11348159.0,0.001524852,2.103,80.99268293,468000000000.0,41240.16944,0.006174142
999,689,Roger Achten,M,32.0,171.0,62.0,Belgium,BEL,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's epee, Individual",,0,9153489.0,0.003016778,7.54,69.70195122,11658722591.0,1273.691659,0.008510016
1000,689,Roger Achten,M,32.0,171.0,62.0,Belgium,BEL,1960 Summer,1960,Summer,Roma,Fencing,"Fencing Men's epee, Team",,0,9153489.0,0.003016778,7.54,69.70195122,11658722591.0,1273.691659,0.008510016
1504,1052,Jasper Aerents,M,19.0,191.0,86.0,Belgium,BEL,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 50 metres Freestyle,,0,11128246.0,0.001567933,2.268,80.38536585,498000000000.0,44750.98771,0.006648865
1505,1052,Jasper Aerents,M,19.0,191.0,86.0,Belgium,BEL,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,,0,11128246.0,0.001567933,2.268,80.38536585,498000000000.0,44750.98771,0.006648865
1506,1052,Jasper Aerents,M,23.0,191.0,86.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,,0,11348159.0,0.001524852,2.103,80.99268293,468000000000.0,41240.16944,0.006174142
1507,1052,Jasper Aerents,M,23.0,191.0,86.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,,0,11348159.0,0.001524852,2.103,80.99268293,468000000000.0,41240.16944,0.006174142
1509,1055,Katrien Aerts,F,37.0,162.0,51.0,Belgium,BEL,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Halfpipe,,0,11209057.0,0.001542039,2.182,81.28780488,531000000000.0,47372.40608,0.006721519
1510,1056,Mario Aerts,M,33.0,182.0,68.0,Belgium,BEL,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Road Race, Individual",,0,10709973.0,0.001583438,2.454,79.6804878,519000000000.0,48459.50592,0.008173228
1511,1057,Sara Aerts,F,28.0,182.0,64.0,Belgium,BEL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Heptathlon,,0,11128246.0,0.001567933,2.268,80.38536585,498000000000.0,44750.98771,0.006648865
3160,2216,Lea Alaerts,F,22.0,163.0,54.0,Belgium,BEL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 100 metres,,0,9818227.0,0.002372039,5.4,72.1197561,71494539498.0,7281.817735,0.011136221
3161,2216,Lea Alaerts,F,22.0,163.0,54.0,Belgium,BEL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 200 metres,,0,9818227.0,0.002372039,5.4,72.1197561,71494539498.0,7281.817735,0.011136221
3162,2216,Lea Alaerts,F,22.0,163.0,54.0,Belgium,BEL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 4 x 400 metres Relay,,0,9818227.0,0.002372039,5.4,72.1197561,71494539498.0,7281.817735,0.011136221
3163,2216,Lea Alaerts,F,26.0,163.0,54.0,Belgium,BEL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 200 metres,,0,9859242.0,0.002221706,4.619,73.20707317,128000000000.0,12982.74249,0.011428571
3164,2216,Lea Alaerts,F,26.0,163.0,54.0,Belgium,BEL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 400 metres Relay,,0,9859242.0,0.002221706,4.619,73.20707317,128000000000.0,12982.74249,0.011428571
