Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1775,1258,Michael Aguilar,M,24.0,178.0,77.0,Belize,BLZ,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres Hurdles,,0,276089.0,4.29e-05,53.42,68.815,1057845500.0,3831.538019,2.42e-05
5436,3814,Edward Allan Anderson,M,60.0,166.0,63.0,Belize,BLZ,1968 Summer,1968,Summer,Mexico City,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",,0,116061.0,3.28e-05,48.451,64.525,44910179.64,386.953237,1.84e-05
14049,9608,"Apolinario ""Polin"" Belisle Gmez",M,22.0,175.0,70.0,Belize,BLZ,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,,0,179028.0,3.51e-05,52.154,71.437,314900000.0,1758.942735,1.65e-05
29134,20025,Joslyn Chavarria,M,25.0,185.0,71.0,Belize,BLZ,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",,0,160347.0,3.37e-05,51.39,70.865,210900000.0,1315.272503,1.74e-05
29135,20025,Joslyn Chavarria,M,25.0,185.0,71.0,Belize,BLZ,1984 Summer,1984,Summer,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,160347.0,3.37e-05,51.39,70.865,210900000.0,1315.272503,1.74e-05
29136,20026,Orlando Fernando Chavarria,M,20.0,182.0,70.0,Belize,BLZ,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,194317.0,3.56e-05,52.649,70.696,518239100.0,2666.977671,2.04e-05
34365,23609,Warren Coye,M,18.0,175.0,70.0,Belize,BLZ,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",,0,160347.0,3.37e-05,51.39,70.865,210900000.0,1315.272503,1.74e-05
34366,23609,Warren Coye,M,18.0,175.0,70.0,Belize,BLZ,1984 Summer,1984,Summer,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,160347.0,3.37e-05,51.39,70.865,210900000.0,1315.272503,1.74e-05
35653,24457,Kurt D. Cutkelvin,M,20.0,168.0,79.0,Belize,BLZ,1984 Summer,1984,Summer,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,160347.0,3.37e-05,51.39,70.865,210900000.0,1315.272503,1.74e-05
37669,25794,Merlyn Dawson,M,24.0,175.0,75.0,Belize,BLZ,1984 Summer,1984,Summer,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,160347.0,3.37e-05,51.39,70.865,210900000.0,1315.272503,1.74e-05
