Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
612,447,Firmin Abissi,M,28.0,159.0,54.0,Benin,BEN,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Bantamweight,,0,3717165.0,0.000837635,72.661,47.19,1405251547.0,378.0438982,0.000125469
613,447,Firmin Abissi,M,32.0,159.0,54.0,Benin,BEN,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Bantamweight,,0,4156819.0,0.000873285,69.914,49.339,1051133927.0,252.869785,8.69e-05
1446,1013,Barthelmy Adoukonu,M,22.0,160.0,55.0,Benin,BEN,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Featherweight,,0,3717165.0,0.000837635,72.661,47.19,1405251547.0,378.0438982,0.000125469
1614,1129,Leopold Agbazo,M,27.0,159.0,54.0,Benin,BEN,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Bantamweight,,0,3043567.0,0.000792818,81.352,43.229,410331901.0,134.819408,0.000108841
1619,1133,Sonya Agbssi,F,19.0,167.0,66.0,Benin,BEN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Long Jump,,0,5331803.0,0.000977211,64.173,54.776,1695315306.0,317.9628553,6.67e-05
1663,1170,Aurlien Agnan,M,22.0,171.0,62.0,Benin,BEN,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Light-Welterweight,,0,3717165.0,0.000837635,72.661,47.19,1405251547.0,378.0438982,0.000125469
1709,1214,Eric Agueh,M,24.0,180.0,72.0,Benin,BEN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,6094259.0,0.001052082,62.929,55.17,2361116588.0,387.4329247,7.47e-05
1710,1214,Eric Agueh,M,24.0,180.0,72.0,Benin,BEN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,6094259.0,0.001052082,62.929,55.17,2361116588.0,387.4329247,7.47e-05
1979,1429,Pascal Aho,M,,,,Benin,BEN,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,,0,3717165.0,0.000837635,72.661,47.19,1405251547.0,378.0438982,0.000125469
1980,1429,Pascal Aho,M,,,,Benin,BEN,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 200 metres,,0,3717165.0,0.000837635,72.661,47.19,1405251547.0,378.0438982,0.000125469
2010,1438,Odile Ahouanwanou,F,21.0,178.0,71.0,Benin,BEN,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres Hurdles,,0,9729160.0,0.001370806,57.333,59.855,8152554487.0,837.9505,0.000108846
3197,2240,Souhalia Alamou,M,24.0,177.0,78.0,Benin,BEN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,7750004.0,0.0012041,60.365,56.887,4521424807.0,583.4093514,0.000103229
3241,2273,Issa Alassane-Oussni,M,27.0,180.0,76.0,Benin,BEN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,4672852.0,0.000915222,67.015,52.372,1620246187.0,346.7360376,8.48e-05
3242,2273,Issa Alassane-Oussni,M,27.0,180.0,76.0,Benin,BEN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,,0,4672852.0,0.000915222,67.015,52.372,1620246187.0,346.7360376,8.48e-05
3243,2273,Issa Alassane-Oussni,M,27.0,180.0,76.0,Benin,BEN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,,0,4672852.0,0.000915222,67.015,52.372,1620246187.0,346.7360376,8.48e-05
3244,2273,Issa Alassane-Oussni,M,35.0,180.0,76.0,Benin,BEN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,6094259.0,0.001052082,62.929,55.17,2361116588.0,387.4329247,7.47e-05
3923,2741,Amadou Alimi,M,,,,Benin,BEN,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 5,000 metres",,0,3717165.0,0.000837635,72.661,47.19,1405251547.0,378.0438982,0.000125469
