Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
2144,1535,Kiera Leigh Aitken,F,20.0,167.0,55.0,Bermuda,BMU,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Backstroke,,0,63740.0,9.9e-06,0.0,78.48536585,4484703000.0,70359.31911,0.00010239
2145,1535,Kiera Leigh Aitken,F,24.0,167.0,55.0,Bermuda,BMU,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Backstroke,,0,65273.0,9.65e-06,0.0,79.23658537,6109928000.0,93605.74817,9.62e-05
3800,2645,"Stephen ""Steve"" Alger",M,30.0,187.0,84.0,Bermuda,BMU,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Singles,,0,58347.0,1.14e-05,0.0,,1415100032.0,24253.17552,7.41e-05
13068,9027,DeVon D. Bean,M,20.0,175.0,70.0,Bermuda,BMU,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,60129.0,1.04e-05,0.0,,2695390000.0,44826.78907,8.53e-05
17505,12010,Carol Ann Blackman,F,40.0,163.0,56.0,Bermuda,BMU,1988 Summer,1988,Summer,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",,0,58347.0,1.14e-05,0.0,,1415100032.0,24253.17552,7.41e-05
24088,16472,Roy-Allan Saul Burch,M,22.0,185.0,77.0,Bermuda,BMU,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Freestyle,,0,65273.0,9.65e-06,0.0,79.23658537,6109928000.0,93605.74817,9.62e-05
24089,16472,Roy-Allan Saul Burch,M,26.0,185.0,77.0,Bermuda,BMU,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 50 metres Freestyle,,0,64798.0,9.13e-06,0.0,81.67780488,5537537000.0,85458.45551,7.39e-05
24203,16546,Robert Burgess,M,23.0,182.0,76.0,Bermuda,BMU,1976 Summer,1976,Summer,Montreal,Boxing,Boxing Men's Light-Heavyweight,,0,53200.0,1.29e-05,0.0,,386300000.0,7261.278195,6.02e-05
24744,16955,"James ""Jim"" Butterfield",M,21.0,168.0,70.0,Bermuda,BMU,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Single Sculls,,0,54200.0,1.41e-05,0.0,,235400000.0,4343.173432,6.24e-05
24745,16956,Tyler Barbour Butterfield,M,21.0,182.0,72.0,Bermuda,BMU,2004 Summer,2004,Summer,Athina,Triathlon,Triathlon Men's Olympic Distance,,0,63740.0,9.9e-06,0.0,78.48536585,4484703000.0,70359.31911,0.00010239
24746,16956,Tyler Barbour Butterfield,M,29.0,182.0,72.0,Bermuda,BMU,2012 Summer,2012,Summer,London,Triathlon,Triathlon Men's Olympic Distance,,0,64798.0,9.13e-06,0.0,81.67780488,5537537000.0,85458.45551,7.39e-05
27411,18810,"Michael Warwick ""Mike"" Cash",M,24.0,,,Bermuda,BMU,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,,0,58595.0,1.07e-05,0.0,,1679900032.0,28669.68226,6.61e-05
32847,22480,Tim Collins,M,28.0,185.0,82.0,Bermuda,BMU,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",,0,63740.0,9.9e-06,0.0,78.48536585,4484703000.0,70359.31911,0.00010239
40199,27829,"Nicola ""Nicki"" DeSousa (-Parnell)",F,26.0,,,Bermuda,BMU,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",,0,58595.0,1.07e-05,0.0,,1679900032.0,28669.68226,6.61e-05
41277,28533,Calvin Leroy Dill,M,20.0,175.0,75.0,Bermuda,BMU,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 200 metres,,0,53200.0,1.29e-05,0.0,,386300000.0,7261.278195,6.02e-05
41278,28533,Calvin Leroy Dill,M,20.0,175.0,75.0,Bermuda,BMU,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,,0,53200.0,1.29e-05,0.0,,386300000.0,7261.278195,6.02e-05
43065,29679,Dawnette Andrea Douglas,F,21.0,156.0,54.0,Bermuda,BMU,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 100 metres,,0,58595.0,1.07e-05,0.0,,1679900032.0,28669.68226,6.61e-05
43066,29679,Dawnette Andrea Douglas,F,21.0,156.0,54.0,Bermuda,BMU,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 200 metres,,0,58595.0,1.07e-05,0.0,,1679900032.0,28669.68226,6.61e-05
43110,29712,Troy Douglas,M,25.0,172.0,76.0,Bermuda,BMU,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,,0,58347.0,1.14e-05,0.0,,1415100032.0,24253.17552,7.41e-05
43111,29712,Troy Douglas,M,25.0,172.0,76.0,Bermuda,BMU,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,,0,58347.0,1.14e-05,0.0,,1415100032.0,24253.17552,7.41e-05
43112,29712,Troy Douglas,M,29.0,172.0,76.0,Bermuda,BMU,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,58595.0,1.07e-05,0.0,,1679900032.0,28669.68226,6.61e-05
43113,29712,Troy Douglas,M,33.0,172.0,76.0,Bermuda,BMU,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 200 metres,,0,60129.0,1.04e-05,0.0,,2695390000.0,44826.78907,8.53e-05
43114,29712,Troy Douglas,M,33.0,172.0,76.0,Bermuda,BMU,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,0,60129.0,1.04e-05,0.0,,2695390000.0,44826.78907,8.53e-05
44137,30437,Flora Jane Duffy,F,20.0,163.0,57.0,Bermuda,BMU,2008 Summer,2008,Summer,Beijing,Triathlon,Triathlon Women's Olympic Distance,,0,65273.0,9.65e-06,0.0,79.23658537,6109928000.0,93605.74817,9.62e-05
44138,30437,Flora Jane Duffy,F,24.0,163.0,57.0,Bermuda,BMU,2012 Summer,2012,Summer,London,Triathlon,Triathlon Women's Olympic Distance,,0,64798.0,9.13e-06,0.0,81.67780488,5537537000.0,85458.45551,7.39e-05
44139,30437,Flora Jane Duffy,F,28.0,163.0,57.0,Bermuda,BMU,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Women's Olympic Distance,,0,65331.0,8.78e-06,0.0,81.22707317,,0,
44485,30663,Suzanne Ilne Dunkley,F,36.0,,,Bermuda,BMU,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Dressage, Individual",,0,58595.0,1.07e-05,0.0,,1679900032.0,28669.68226,6.61e-05
44486,30663,Suzanne Ilne Dunkley,F,40.0,,,Bermuda,BMU,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Dressage, Individual",,0,60129.0,1.04e-05,0.0,,2695390000.0,44826.78907,8.53e-05
49023,33774,Stephen Fahy,M,22.0,183.0,84.0,Bermuda,BMU,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,,0,61833.0,1.01e-05,0.0,77.88536585,3480219000.0,56284.16865,0.000103578
