Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
30190,20608,Karma Chhoden,F,18.0,174.0,55.0,Bhutan,BTN,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Women's Individual,,0,453720.0,9.53e-05,87.668,48.442,169264991.2,373.0604584,1.4e-05
30693,20953,Kunzang Choden,F,27.0,158.0,69.0,Bhutan,BTN,2012 Summer,2012,Summer,London,Shooting,"Shooting Women's Air Rifle, 10 metres",,0,752967.0,0.000106091,63.632,68.639,1823692110.0,2422.008016,2.43e-05
30694,20954,Tshering Choden,F,21.0,165.0,52.0,Bhutan,BTN,2000 Summer,2000,Summer,Sydney,Archery,Archery Women's Individual,,0,573416.0,9.37e-05,74.582,60.758,439158233.2,765.8632358,1.31e-05
30695,20954,Tshering Choden,F,25.0,165.0,52.0,Bhutan,BTN,2004 Summer,2004,Summer,Athina,Archery,Archery Women's Individual,,0,640282.0,9.95e-05,70.165,64.126,702682019.0,1097.457088,1.6e-05
31359,21405,Sonam Chuki,F,21.0,163.0,48.0,Bhutan,BTN,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Women's Individual,,0,453720.0,9.53e-05,87.668,48.442,169264991.2,373.0604584,1.4e-05
39600,27416,Dorji Dema,F,24.0,168.0,57.0,Bhutan,BTN,2008 Summer,2008,Summer,Beijing,Archery,Archery Women's Individual,,0,700950.0,0.000103633,66.764,66.792,1258332337.0,1795.181307,1.98e-05
42782,29503,Thinley Dorji,M,33.0,180.0,75.0,Bhutan,BTN,1984 Summer,1984,Summer,Los Angeles,Archery,Archery Men's Individual,,0,453720.0,9.53e-05,87.668,48.442,169264991.2,373.0604584,1.4e-05
42783,29503,Thinley Dorji,M,37.0,180.0,75.0,Bhutan,BTN,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Individual,,0,517273.0,0.000101313,85.071,51.372,283855833.3,548.7543972,1.49e-05
42784,29503,Thinley Dorji,M,37.0,180.0,75.0,Bhutan,BTN,1988 Summer,1988,Summer,Seoul,Archery,Archery Men's Team,,0,517273.0,0.000101313,85.071,51.372,283855833.3,548.7543972,1.49e-05
82607,56183,Jubzang Jubzang,M,21.0,163.0,55.0,Bhutan,BTN,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Individual,,0,531525.0,9.74e-05,82.038,54.393,250794359.6,471.8392542,9.87e-06
82608,56183,Jubzang Jubzang,M,21.0,163.0,55.0,Bhutan,BTN,1992 Summer,1992,Summer,Barcelona,Archery,Archery Men's Team,,0,531525.0,9.74e-05,82.038,54.393,250794359.6,471.8392542,9.87e-06
