Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
6398,4492,Sandra Patricia Antelo Moreno,F,23.0,167.0,54.0,Bolivia,BOL,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 4 x 400 metres Relay,,0,7131707.0,0.001307097,42.452,56.195,5643893347.0,791.3804293,0.000222201
6874,4810,Carlos Aramayo,M,19.0,,,Bolivia,BOL,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,7131707.0,0.001307097,42.452,56.195,5643893347.0,791.3804293,0.000222201
6875,4811,Manuel Aramayo,M,32.0,,,Bolivia,BOL,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Slalom,,0,6592787.0,0.00129126,46.437,54.034,4597615563.0,697.3705601,0.000240713
6876,4811,Manuel Aramayo,M,36.0,,,Bolivia,BOL,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Slalom,,0,7131707.0,0.001307097,42.452,56.195,5643893347.0,791.3804293,0.000222201
7579,5313,Eduardo Arroyo,M,40.0,173.0,77.0,Bolivia,BOL,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",,0,4698083.0,0.001223802,59.611,46.477,1257615645.0,267.6869789,0.000333585
7886,5489,Carlos Asbn Zugbi,M,42.0,165.0,73.0,Bolivia,BOL,1968 Summer,1968,Summer,Mexico City,Shooting,Shooting Mixed Trap,,0,4324064.0,0.001223277,60.834,44.898,908874537.0,210.1898901,0.00037249
7887,5489,Carlos Asbn Zugbi,M,46.0,165.0,73.0,Bolivia,BOL,1972 Summer,1972,Summer,Munich,Shooting,Shooting Mixed Skeet,,0,4698083.0,0.001223802,59.611,46.477,1257615645.0,267.6869789,0.000333585
7888,5490,Javier F. Asbun,M,31.0,180.0,80.0,Bolivia,BOL,1984 Summer,1984,Summer,Los Angeles,Shooting,Shooting Mixed Trap,,0,6085496.0,0.00127847,50.496,51.965,6169481549.0,1013.800937,0.000509875
7890,5492,"Victor Hugo Ascarrunz Fonseca, Jr.",M,19.0,,,Bolivia,BOL,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,5589575.0,0.001259568,54.549,50.012,4537487843.0,811.7768959,0.000405133
7891,5492,"Victor Hugo Ascarrunz Fonseca, Jr.",M,19.0,,,Bolivia,BOL,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing,Alpine Skiing Men's Slalom,,0,5589575.0,0.001259568,54.549,50.012,4537487843.0,811.7768959,0.000405133
8728,6113,Guillermo Avila Paz,M,27.0,,,Bolivia,BOL,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,6592787.0,0.00129126,46.437,54.034,4597615563.0,697.3705601,0.000240713
8729,6113,Guillermo Avila Paz,M,27.0,,,Bolivia,BOL,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Slalom,,0,6592787.0,0.00129126,46.437,54.034,4597615563.0,697.3705601,0.000240713
8730,6113,Guillermo Avila Paz,M,31.0,,,Bolivia,BOL,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,7131707.0,0.001307097,42.452,56.195,5643893347.0,791.3804293,0.000222201
8731,6113,Guillermo Avila Paz,M,31.0,,,Bolivia,BOL,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Slalom,,0,7131707.0,0.001307097,42.452,56.195,5643893347.0,791.3804293,0.000222201
10434,7210,Claudia Balderrama Ibaez,F,28.0,160.0,56.0,Bolivia,BOL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 20 kilometres Walk,,0,10239004.0,0.001442641,32.721,67.451,27084497540.0,2645.227753,0.000361609
12176,8416,Jaime Bascon,M,24.0,,,Bolivia,BOL,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,6592787.0,0.00129126,46.437,54.034,4597615563.0,697.3705601,0.000240713
13219,9127,Bailn Becerra,M,22.0,175.0,65.0,Bolivia,BOL,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's Sprint,,0,6592787.0,0.00129126,46.437,54.034,4597615563.0,697.3705601,0.000240713
13220,9127,Bailn Becerra,M,22.0,175.0,65.0,Bolivia,BOL,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's 1,000 metres Time Trial",,0,6592787.0,0.00129126,46.437,54.034,4597615563.0,697.3705601,0.000240713
13221,9127,Bailn Becerra,M,22.0,175.0,65.0,Bolivia,BOL,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's Points Race,,0,6592787.0,0.00129126,46.437,54.034,4597615563.0,697.3705601,0.000240713
13796,9469,Jos Manuel Bejarano Carvajal,M,27.0,163.0,54.0,Bolivia,BOL,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,6085496.0,0.00127847,50.496,51.965,6169481549.0,1013.800937,0.000509875
13797,9469,Jos Manuel Bejarano Carvajal,M,31.0,163.0,54.0,Bolivia,BOL,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,6592787.0,0.00129126,46.437,54.034,4597615563.0,697.3705601,0.000240713
13798,9469,Jos Manuel Bejarano Carvajal,M,35.0,163.0,54.0,Bolivia,BOL,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,7131707.0,0.001307097,42.452,56.195,5643893347.0,791.3804293,0.000222201
13799,9469,Jos Manuel Bejarano Carvajal,M,35.0,163.0,54.0,Bolivia,BOL,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Slalom,,0,7131707.0,0.001307097,42.452,56.195,5643893347.0,791.3804293,0.000222201
14311,9751,Ricardo Belmonte,M,23.0,170.0,60.0,Bolivia,BOL,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Extra-Lightweight,,0,6592787.0,0.00129126,46.437,54.034,4597615563.0,697.3705601,0.000240713
17832,12263,Pedro Rodolfo Bleyer,M,20.0,183.0,98.0,Bolivia,BOL,1988 Summer,1988,Summer,Seoul,Fencing,"Fencing Men's Sabre, Individual",,0,6592787.0,0.00129126,46.437,54.034,4597615563.0,697.3705601,0.000240713
24234,16570,Gloria Amparo Burgos Panoso,F,22.0,169.0,51.0,Bolivia,BOL,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 4 x 400 metres Relay,,0,7131707.0,0.001307097,42.452,56.195,5643893347.0,791.3804293,0.000222201
24677,16878,Eric Ciro Bustos Arzabe,M,22.0,,,Bolivia,BOL,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Half-Middleweight,,0,7131707.0,0.001307097,42.452,56.195,5643893347.0,791.3804293,0.000222201
25115,17252,Lionel Caero Herbas,M,21.0,166.0,59.0,Bolivia,BOL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,4698083.0,0.001223802,59.611,46.477,1257615645.0,267.6869789,0.000333585
25116,17252,Lionel Caero Herbas,M,21.0,166.0,59.0,Bolivia,BOL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Long Jump,,0,4698083.0,0.001223802,59.611,46.477,1257615645.0,267.6869789,0.000333585
25440,17449,Policarpio Calizaya Huaca,M,26.0,172.0,62.0,Bolivia,BOL,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 10,000 metres",,0,6592787.0,0.00129126,46.437,54.034,4597615563.0,697.3705601,0.000240713
25441,17449,Policarpio Calizaya Huaca,M,29.0,172.0,62.0,Bolivia,BOL,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",,0,7131707.0,0.001307097,42.452,56.195,5643893347.0,791.3804293,0.000222201
25442,17449,Policarpio Calizaya Huaca,M,29.0,172.0,62.0,Bolivia,BOL,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 10,000 metres",,0,7131707.0,0.001307097,42.452,56.195,5643893347.0,791.3804293,0.000222201
25443,17449,Policarpio Calizaya Huaca,M,33.0,172.0,62.0,Bolivia,BOL,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,,0,7717443.0,0.001332301,40.109,58.423,7396966657.0,958.4737661,0.000234081
25444,17450,Sonia Calizaya Huanca,F,32.0,151.0,43.0,Bolivia,BOL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Marathon,,0,9599855.0,0.00141931,34.45,65.272,16674324634.0,1736.935051,0.000262588
25595,17543,Diego Camacho,M,17.0,182.0,,Bolivia,BOL,2000 Summer,2000,Summer,Sydney,Tennis,Tennis Men's Singles,,0,8339512.0,0.001363094,38.166,60.69,8397912509.0,1007.002869,0.000249938
25600,17548,Juan Rodrigo Camacho,M,25.0,176.0,62.0,Bolivia,BOL,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,,0,6085496.0,0.00127847,50.496,51.965,6169481549.0,1013.800937,0.000509875
25601,17548,Juan Rodrigo Camacho,M,29.0,176.0,62.0,Bolivia,BOL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,,0,6592787.0,0.00129126,46.437,54.034,4597615563.0,697.3705601,0.000240713
25602,17548,Juan Rodrigo Camacho,M,33.0,176.0,62.0,Bolivia,BOL,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,,0,7131707.0,0.001307097,42.452,56.195,5643893347.0,791.3804293,0.000222201
25604,17550,Leonardo Camacho,M,27.0,170.0,68.0,Bolivia,BOL,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Featherweight, Freestyle",,0,6085496.0,0.00127847,50.496,51.965,6169481549.0,1013.800937,0.000509875
25965,17809,Vctor Hugo Campos,M,47.0,177.0,74.0,Bolivia,BOL,1984 Summer,1984,Summer,Los Angeles,Shooting,Shooting Mixed Trap,,0,6085496.0,0.00127847,50.496,51.965,6169481549.0,1013.800937,0.000509875
27596,18920,Jorge Castelln Velarde,M,27.0,173.0,63.0,Bolivia,BOL,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,7717443.0,0.001332301,40.109,58.423,7396966657.0,958.4737661,0.000234081
27683,18983,ngela Melania Castro Chirivechz,F,23.0,160.0,54.0,Bolivia,BOL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,,0,10887882.0,0.001463005,31.089,69.125,33806395514.0,3104.956089,0.000445995
28169,19325,Ren Centellas,M,24.0,155.0,48.0,Bolivia,BOL,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Flyweight,,0,6085496.0,0.00127847,50.496,51.965,6169481549.0,1013.800937,0.000509875
29158,20053,Nelly Chvez de Wright (-Alandia),F,38.0,165.0,55.0,Bolivia,BOL,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Marathon,,0,6085496.0,0.00127847,50.496,51.965,6169481549.0,1013.800937,0.000509875
32102,21915,Edgar Claure,M,25.0,164.0,64.0,Bolivia,BOL,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Half-Lightweight,,0,6085496.0,0.00127847,50.496,51.965,6169481549.0,1013.800937,0.000509875
33120,22642,Marco Ivn Condori Colque,M,34.0,168.0,60.0,Bolivia,BOL,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,,0,8339512.0,0.001363094,38.166,60.69,8397912509.0,1007.002869,0.000249938
33121,22643,Ricardo Condori,M,22.0,163.0,56.0,Bolivia,BOL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Marathon,,0,4698083.0,0.001223802,59.611,46.477,1257615645.0,267.6869789,0.000333585
33726,23092,Wendy Gabriela Cornejo Aliaga,F,23.0,162.0,54.0,Bolivia,BOL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,,0,10887882.0,0.001463005,31.089,69.125,33806395514.0,3104.956089,0.000445995
33773,23140,Stefany Mildred Coronado Gemio,F,19.0,173.0,54.0,Bolivia,BOL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,,0,10887882.0,0.001463005,31.089,69.125,33806395514.0,3104.956089,0.000445995
33884,23218,Hernn Cortez,M,26.0,178.0,90.0,Bolivia,BOL,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Middle-Heavyweight,,0,6592787.0,0.00129126,46.437,54.034,4597615563.0,697.3705601,0.000240713
38189,26267,Maria Jos de la Fuente,F,15.0,150.0,40.0,Bolivia,BOL,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Individual All-Around,,0,8967741.0,0.001393297,36.268,62.968,8773451739.0,978.3346485,0.000200307
38190,26267,Maria Jos de la Fuente,F,15.0,150.0,40.0,Bolivia,BOL,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Floor Exercise,,0,8967741.0,0.001393297,36.268,62.968,8773451739.0,978.3346485,0.000200307
38191,26267,Maria Jos de la Fuente,F,15.0,150.0,40.0,Bolivia,BOL,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Horse Vault,,0,8967741.0,0.001393297,36.268,62.968,8773451739.0,978.3346485,0.000200307
38192,26267,Maria Jos de la Fuente,F,15.0,150.0,40.0,Bolivia,BOL,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Uneven Bars,,0,8967741.0,0.001393297,36.268,62.968,8773451739.0,978.3346485,0.000200307
38193,26267,Maria Jos de la Fuente,F,15.0,150.0,40.0,Bolivia,BOL,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Balance Beam,,0,8967741.0,0.001393297,36.268,62.968,8773451739.0,978.3346485,0.000200307
48054,33103,Ximena Escalera,F,16.0,,,Bolivia,BOL,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Backstroke,,0,7717443.0,0.001332301,40.109,58.423,7396966657.0,958.4737661,0.000234081
49672,34180,"Guillermo Augusto  (-William August) ""Billy"" Farwig Avaroa",M,22.0,,,Bolivia,BOL,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing,Alpine Skiing Men's Downhill,,0,5589575.0,0.001259568,54.549,50.012,4537487843.0,811.7768959,0.000405133
