Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
5080,3512,Nijel Carlos Amilfitano Amos,M,18.0,179.0,60.0,Botswana,BWA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 800 metres,Silver,0,2089315.0,0.000294377,43.301,62.425,14686278707.0,7029.23145,0.000196078
5081,3512,Nijel Carlos Amilfitano Amos,M,22.0,179.0,60.0,Botswana,BWA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 800 metres,,0,2250260.0,0.000302368,42.29,66.797,15581137274.0,6924.149776,0.000205556
10679,7372,Keteng Baloseng,M,29.0,189.0,80.0,Botswana,BWA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,1604060.0,0.000276917,50.17,53.826,4847752843.0,3022.176753,0.00015341
10680,7374,Kgomotso Balotthanyi,M,28.0,180.0,66.0,Botswana,BWA,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",,0,1151292.0,0.000241869,75.861,62.334,1240796365.0,1077.742541,0.000102545
10685,7380,Onalenna Oabona Baloyi,M,26.0,180.0,62.0,Botswana,BWA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 800 metres,,0,1946351.0,0.000287762,44.228,56.919,10945070442.0,5623.379566,0.000172363
12179,8425,Ndabili Bashingili,M,24.0,172.0,59.0,Botswana,BWA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,,0,1829330.0,0.000284219,45.159,50.832,8957467707.0,4896.583835,0.000204508
12180,8425,Ndabili Bashingili,M,28.0,172.0,59.0,Botswana,BWA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,,0,1946351.0,0.000287762,44.228,56.919,10945070442.0,5623.379566,0.000172363
12223,8457,Lulu Basinyi,M,24.0,170.0,61.0,Botswana,BWA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,,0,1728340.0,0.000282497,46.781,49.03,5788329609.0,3349.068823,0.000172272
12463,8611,Thato Batshegi,M,20.0,176.0,57.0,Botswana,BWA,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Featherweight,,0,1946351.0,0.000287762,44.228,56.919,10945070442.0,5623.379566,0.000172363
20081,13855,Christine Botlogetswe,F,20.0,170.0,65.0,Botswana,BWA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,,0,2250260.0,0.000302368,42.29,66.797,15581137274.0,6924.149776,0.000205556
30333,20680,Robert Chideka,M,24.0,162.0,57.0,Botswana,BWA,1980 Summer,1980,Summer,Moskva,Athletics,"Athletics Men's 5,000 metres",,0,1001158.0,0.000225603,83.521,60.733,1060923829.0,1059.6967,9.47e-05
41588,28728,Justice Dipeba,M,22.0,176.0,62.0,Botswana,BWA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 200 metres,,0,1604060.0,0.000276917,50.17,53.826,4847752843.0,3022.176753,0.00015341
41654,28768,Zachariah Ditetso,M,27.0,171.0,58.0,Botswana,BWA,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",,0,1455833.0,0.000266825,53.557,60.083,4146513722.0,2848.206987,0.000163249
43897,30250,Glody Dube,M,22.0,175.0,62.0,Botswana,BWA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 800 metres,,0,1728340.0,0.000282497,46.781,49.03,5788329609.0,3349.068823,0.000172272
43898,30250,Glody Dube,M,22.0,175.0,62.0,Botswana,BWA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,,0,1728340.0,0.000282497,46.781,49.03,5788329609.0,3349.068823,0.000172272
43899,30250,Glody Dube,M,26.0,175.0,62.0,Botswana,BWA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 800 metres,,0,1829330.0,0.000284219,45.159,50.832,8957467707.0,4896.583835,0.000204508
56930,38785,Gable Garenamotse,M,27.0,183.0,75.0,Botswana,BWA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Long Jump,,0,1829330.0,0.000284219,45.159,50.832,8957467707.0,4896.583835,0.000204508
