Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
525,386,Alexandre Abeid,M,22.0,194.0,92.0,Brazil,BRA,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Men's Volleyball,,0,100143598.0,0.026086365,42.121,59.919,58539008786.0,584.5506848,0.015527589
526,386,Alexandre Abeid,M,26.0,194.0,92.0,Brazil,BRA,1976 Summer,1976,Summer,Montreal,Volleyball,Volleyball Men's Volleyball,,0,110213082.0,0.026626977,38.255,61.017,153000000000.0,1388.219957,0.023831776
528,388,Abel Carlos da Silva Braga,M,19.0,190.0,73.0,Brazil,BRA,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,,0,100143598.0,0.026086365,42.121,59.919,58539008786.0,584.5506848,0.015527589
617,451,Diana Monteiro Abla,F,21.0,175.0,75.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,,1,207652865.0,0.027902322,14.067,75.509,1800000000000.0,8668.31286,0.023746702
805,565,Glauclio Serro Abreu,M,26.0,185.0,75.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Middleweight,,0,184738458.0,0.028702377,17.479,71.67,669000000000.0,3621.335846,0.015273973
817,569,Paulo Francisco Joazeiro de Abreu,M,18.0,176.0,78.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Water Polo,Water Polo Men's Water Polo,,0,132800684.0,0.027899407,30.99,63.185,209000000000.0,1573.787075,0.017272727
1008,695,Ricardo Augusto Amaral Acioly,M,24.0,179.0,78.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Tennis,Tennis Men's Doubles,,0,144001542.0,0.028204063,27.658,64.552,330000000000.0,2291.642127,0.017277487
1086,756,Adalberto Pereira da Silva,M,25.0,189.0,105.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Handball,Handball Men's Handball,,0,184738458.0,0.028702377,17.479,71.67,669000000000.0,3621.335846,0.015273973
1313,918,Ademir Roque Kaefer,M,24.0,179.0,74.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Silver,0,132800684.0,0.027899407,30.99,63.185,209000000000.0,1573.787075,0.017272727
1314,918,Ademir Roque Kaefer,M,28.0,179.0,74.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver,0,144001542.0,0.028204063,27.658,64.552,330000000000.0,2291.642127,0.017277487
