Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
3671,2571,J'maal Alexander,M,18.0,178.0,64.0,British Virgin Islands,VGB,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,28509.0,4.02e-06,54.747,,,0,
8535,5966,"Stephen ""Steve"" Augustine",M,19.0,180.0,70.0,British Virgin Islands,VGB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,18833.0,3.25e-06,59.316,,,0,
32296,22059,Keita Cline,M,21.0,179.0,74.0,British Virgin Islands,VGB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,18833.0,3.25e-06,59.316,,,0,
32297,22059,Keita Cline,M,21.0,179.0,74.0,British Virgin Islands,VGB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Long Jump,,0,18833.0,3.25e-06,59.316,,,0,
32298,22059,Keita Cline,M,25.0,179.0,74.0,British Virgin Islands,VGB,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 200 metres,,0,20645.0,3.37e-06,58.226,,,0,
34384,23627,Dion Kwasi Crabbe,M,27.0,178.0,77.0,British Virgin Islands,VGB,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 200 metres,,0,22541.0,3.5e-06,57.113,,,0,
34784,23910,Peter Adam Crook,M,21.0,186.0,75.0,British Virgin Islands,VGB,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Halfpipe,,0,29588.0,4.07e-06,54.128,,,0,
53820,36844,Erroll Canute Fraser,M,33.0,,,British Virgin Islands,VGB,1984 Winter,1984,Winter,Sarajevo,Speed Skating,Speed Skating Men's 500 metres,,0,12731.0,2.67e-06,71.763,,,0,
53821,36844,Erroll Canute Fraser,M,33.0,,,British Virgin Islands,VGB,1984 Winter,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Men's 1,000 metres",,0,12731.0,2.67e-06,71.763,,,0,
62563,42655,Dean H. Greenaway,M,25.0,175.0,78.0,British Virgin Islands,VGB,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,,0,12731.0,2.67e-06,71.763,,,0,
62564,42655,Dean H. Greenaway,M,25.0,175.0,78.0,British Virgin Islands,VGB,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,,0,12731.0,2.67e-06,71.763,,,0,
67707,46140,Tahesia Gaynell Harrigan-Scott,F,26.0,158.0,56.0,British Virgin Islands,VGB,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,25604.0,3.79e-06,55.952,,,0,
67708,46140,Tahesia Gaynell Harrigan-Scott,F,30.0,158.0,56.0,British Virgin Islands,VGB,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,28509.0,4.02e-06,54.747,,,0,
67709,46140,Tahesia Gaynell Harrigan-Scott,F,34.0,158.0,56.0,British Virgin Islands,VGB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,,0,30661.0,4.12e-06,53.498,,,0,
70047,47738,Eldred Henry,M,21.0,,95.0,British Virgin Islands,VGB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Shot Put,,0,30661.0,4.12e-06,53.498,,,0,
71246,48572,Guy Hill,M,24.0,182.0,67.0,British Virgin Islands,VGB,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,0,12731.0,2.67e-06,71.763,,,0,
71247,48572,Guy Hill,M,24.0,182.0,67.0,British Virgin Islands,VGB,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,,0,12731.0,2.67e-06,71.763,,,0,
71893,49030,Lindel Hodge,M,25.0,188.0,78.0,British Virgin Islands,VGB,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 200 metres,,0,12731.0,2.67e-06,71.763,,,0,
71894,49030,Lindel Hodge,M,25.0,188.0,78.0,British Virgin Islands,VGB,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,,0,12731.0,2.67e-06,71.763,,,0,
71895,49030,Lindel Hodge,M,29.0,188.0,78.0,British Virgin Islands,VGB,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,15266.0,2.99e-06,65.532,,,0,
71896,49030,Lindel Hodge,M,29.0,188.0,78.0,British Virgin Islands,VGB,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,,0,15266.0,2.99e-06,65.532,,,0,
