Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
364,273,Maizurah Abdul Rahim,F,17.0,147.0,50.0,Brunei,BRN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,,0,423196.0,5.69e-05,22.495,77.203,11400653732.0,26939.41751,0.000150404
373,279,Jefri Kiko Bolkiah Abdul Hakeem,M,23.0,172.0,90.0,Brunei,BRN,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Skeet,,0,304699.0,5.26e-05,30.842,74.332,5115602837.0,16789.03717,0.000161886
374,279,Jefri Kiko Bolkiah Abdul Hakeem,M,27.0,172.0,90.0,Brunei,BRN,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Men's Skeet,,0,333241.0,5.45e-05,28.836,75.202,6001153306.0,18008.44826,0.000178606
5239,3624,Jimmy Anak Ahar,M,22.0,173.0,65.0,Brunei,BRN,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",,0,359523.0,5.59e-05,26.939,76.093,7872333215.0,21896.60527,0.000179734
8063,5629,Haseri Asli,M,26.0,,,Brunei,BRN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,333241.0,5.45e-05,28.836,75.202,6001153306.0,18008.44826,0.000178606
77301,52588,Mohamed Fakhri Ismail,M,25.0,160.0,62.0,Brunei,BRN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,423196.0,5.69e-05,22.495,77.203,11400653732.0,26939.41751,0.000150404
104331,69889,Anderson Chee Wei Lim,M,16.0,166.0,62.0,Brunei,BRN,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Freestyle,,0,399748.0,5.63e-05,23.777,76.764,19048495519.0,47651.25909,0.000254319
109906,73615,Maziah Mahusin,F,19.0,163.0,51.0,Brunei,BRN,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 400 metres,,0,399748.0,5.63e-05,23.777,76.764,19048495519.0,47651.25909,0.000254319
153740,102650,Ak Hafiy Tajuddin Rositi,M,21.0,175.0,64.0,Brunei,BRN,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres,,0,399748.0,5.63e-05,23.777,76.764,19048495519.0,47651.25909,0.000254319
200177,133328,"Woon Chai ""Jaspar"" Yu",M,27.0,167.0,60.0,Brunei,BRN,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Men's Singles,,0,423196.0,5.69e-05,22.495,77.203,11400653732.0,26939.41751,0.000150404
