Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
94,57,Borislav Abadzhiev,M,24.0,176.0,66.0,Bulgaria,BGR,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Welterweight,,0,8981446.0,0.001759101,34.308,71.60439024,22555941176.0,2511.393063,0.001180939
95,59,Ivan Nikolov Abadzhiev,M,28.0,164.0,71.0,Bulgaria,BGR,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middleweight,,0,7867374.0,0.002592905,62.9,69.24756098,,0,
96,60,Mikhail Abadzhiev,M,24.0,172.0,75.0,Bulgaria,BGR,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middleweight,,0,7867374.0,0.002592905,62.9,69.24756098,,0,
97,61,Stefan Abadzhiev,M,26.0,175.0,72.0,Bulgaria,BGR,1960 Summer,1960,Summer,Roma,Football,Football Men's Football,,0,7867374.0,0.002592905,62.9,69.24756098,,0,
606,443,Ismail Abilov (-Nizamolu),M,25.0,172.0,82.0,Bulgaria,BGR,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Middleweight, Freestyle",,0,8758599.0,0.002116038,41.474,71.39487805,,0,
607,443,Ismail Abilov (-Nizamolu),M,29.0,172.0,82.0,Bulgaria,BGR,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold,0,8861535.0,0.00199688,37.9,71.15756098,19839230769.0,2238.802958,0.00177136
793,559,Tsvetelina Abrasheva,F,16.0,,,Bulgaria,BGR,1994 Winter,1994,Winter,Lillehammer,Figure Skating,Figure Skating Women's Singles,,0,8443591.0,0.001501125,32.443,71.20878049,9697416974.0,1148.494399,0.000348828
1149,800,Georgi Mirchev Adamov,M,25.0,173.0,64.0,Bulgaria,BGR,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Individual All-Around,,0,8144340.0,0.002499643,56.013,71.12121951,,0,
1150,800,Georgi Mirchev Adamov,M,25.0,173.0,64.0,Bulgaria,BGR,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Team All-Around,,0,8144340.0,0.002499643,56.013,71.12121951,,0,
1151,800,Georgi Mirchev Adamov,M,25.0,173.0,64.0,Bulgaria,BGR,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Floor Exercise,,0,8144340.0,0.002499643,56.013,71.12121951,,0,
1152,800,Georgi Mirchev Adamov,M,25.0,173.0,64.0,Bulgaria,BGR,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Horse Vault,,0,8144340.0,0.002499643,56.013,71.12121951,,0,
1153,800,Georgi Mirchev Adamov,M,25.0,173.0,64.0,Bulgaria,BGR,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Parallel Bars,,0,8144340.0,0.002499643,56.013,71.12121951,,0,
1154,800,Georgi Mirchev Adamov,M,25.0,173.0,64.0,Bulgaria,BGR,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Horizontal Bar,,0,8144340.0,0.002499643,56.013,71.12121951,,0,
1155,800,Georgi Mirchev Adamov,M,25.0,173.0,64.0,Bulgaria,BGR,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Rings,,0,8144340.0,0.002499643,56.013,71.12121951,,0,
1156,800,Georgi Mirchev Adamov,M,25.0,173.0,64.0,Bulgaria,BGR,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Pommelled Horse,,0,8144340.0,0.002499643,56.013,71.12121951,,0,
1157,800,Georgi Mirchev Adamov,M,29.0,173.0,64.0,Bulgaria,BGR,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Individual All-Around,,0,8369603.0,0.002367759,50.232,71.22512195,,0,
1158,800,Georgi Mirchev Adamov,M,29.0,173.0,64.0,Bulgaria,BGR,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Team All-Around,,0,8369603.0,0.002367759,50.232,71.22512195,,0,
1159,800,Georgi Mirchev Adamov,M,29.0,173.0,64.0,Bulgaria,BGR,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Floor Exercise,,0,8369603.0,0.002367759,50.232,71.22512195,,0,
1160,800,Georgi Mirchev Adamov,M,29.0,173.0,64.0,Bulgaria,BGR,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Horse Vault,,0,8369603.0,0.002367759,50.232,71.22512195,,0,
1161,800,Georgi Mirchev Adamov,M,29.0,173.0,64.0,Bulgaria,BGR,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Parallel Bars,,0,8369603.0,0.002367759,50.232,71.22512195,,0,
1162,800,Georgi Mirchev Adamov,M,29.0,173.0,64.0,Bulgaria,BGR,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Horizontal Bar,,0,8369603.0,0.002367759,50.232,71.22512195,,0,
1163,800,Georgi Mirchev Adamov,M,29.0,173.0,64.0,Bulgaria,BGR,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Rings,,0,8369603.0,0.002367759,50.232,71.22512195,,0,
1164,800,Georgi Mirchev Adamov,M,29.0,173.0,64.0,Bulgaria,BGR,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Pommelled Horse,,0,8369603.0,0.002367759,50.232,71.22512195,,0,
2319,1652,Lyutvi Dzhiber Akhmedov,M,30.0,184.0,87.0,Bulgaria,BGR,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Heavyweight, Freestyle",,0,7867374.0,0.002592905,62.9,69.24756098,,0,
2320,1652,Lyutvi Dzhiber Akhmedov,M,34.0,184.0,87.0,Bulgaria,BGR,1964 Summer,1964,Summer,Tokyo,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver,0,8144340.0,0.002499643,56.013,71.12121951,,0,
3155,2209,Rumen Zlatkov Alabakov,M,23.0,176.0,92.0,Bulgaria,BGR,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",,0,8981446.0,0.001759101,34.308,71.60439024,22555941176.0,2511.393063,0.001180939
3375,2373,Kilian Albrecht,M,36.0,181.0,72.0,Bulgaria,BGR,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Slalom,,0,7395599.0,0.001067085,27.698,73.51219512,50610031136.0,6843.263289,0.000766819
3533,2470,Aleksandar Aleksandrov,M,24.0,195.0,85.0,Bulgaria,BGR,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Men's Volleyball,,0,8369603.0,0.002367759,50.232,71.22512195,,0,
3534,2471,Aleksandar Emilov Aleksandrov,M,27.0,164.0,51.0,Bulgaria,BGR,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Flyweight,,0,7305888.0,0.001029375,27.029,74.31463415,53903028252.0,7378.025539,0.000719667
3538,2474,Daniel Tihomirov Aleksandrov,M,24.0,182.0,81.0,Bulgaria,BGR,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",,0,7127822.0,0.000957766,25.734,74.61463415,53237882473.0,7469.025247,0.000702347
3540,2476,Ilian Vasiliev Aleksandrov,M,20.0,172.0,66.0,Bulgaria,BGR,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Individual All-Around,,0,8540164.0,0.001565239,32.944,71.49439024,10350515464.0,1211.980878,0.000407501
3541,2476,Ilian Vasiliev Aleksandrov,M,20.0,172.0,66.0,Bulgaria,BGR,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Team All-Around,,0,8540164.0,0.001565239,32.944,71.49439024,10350515464.0,1211.980878,0.000407501
3542,2476,Ilian Vasiliev Aleksandrov,M,20.0,172.0,66.0,Bulgaria,BGR,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Floor Exercise,,0,8540164.0,0.001565239,32.944,71.49439024,10350515464.0,1211.980878,0.000407501
