Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
16938,11633,Beni Bertrand Binobagira,M,23.0,176.0,69.0,Burundi,BDI,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,,0,9319710.0,0.001313116,88.811,55.807,2472384907.0,265.2856051,3.3e-05
55466,37904,Jean-Paul Gahimbar,M,33.0,174.0,57.0,Burundi,BDI,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,,0,7182451.0,0.00111592,90.861,52.437,915257323.4,127.4296648,2.09e-05
55603,37966,Antoine Gakeme,M,24.0,169.0,60.0,Burundi,BDI,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 800 metres,,0,10524117.0,0.001414126,87.641,57.481,3007029030.0,285.727442,3.97e-05
57111,38934,Tharcisse Gashaka,M,33.0,178.0,72.0,Burundi,BDI,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,,0,6041112.0,0.001042907,92.588,49.526,869033856.3,143.8532933,2.75e-05
57148,38961,Antoinette Gasongo,F,22.0,170.0,51.0,Burundi,BDI,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Lightweight,,0,10524117.0,0.001414126,87.641,57.481,3007029030.0,285.727442,3.97e-05
68406,46604,Arthmon Hatungimana,M,22.0,180.0,65.0,Burundi,BDI,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 800 metres,,0,6041112.0,0.001042907,92.588,49.526,869033856.3,143.8532933,2.75e-05
68407,46604,Arthmon Hatungimana,M,26.0,180.0,65.0,Burundi,BDI,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 800 metres,,0,6400706.0,0.001046196,91.754,51.545,870486065.9,135.9984455,2.59e-05
68408,46604,Arthmon Hatungimana,M,30.0,180.0,65.0,Burundi,BDI,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 800 metres,,0,7182451.0,0.00111592,90.861,52.437,915257323.4,127.4296648,2.09e-05
76521,52082,Larissa Inangorore,F,20.0,160.0,62.0,Burundi,BDI,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Freestyle,,0,7182451.0,0.00111592,90.861,52.437,915257323.4,127.4296648,2.09e-05
76917,52329,Olivier Irabaruta,M,21.0,170.0,62.0,Burundi,BDI,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 5,000 metres",,0,9319710.0,0.001313116,88.811,55.807,2472384907.0,265.2856051,3.3e-05
