Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
28718,19700,Chan Seyha,F,17.0,165.0,60.0,Cambodia,KHM,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 200 metres,,0,14776866.0,0.002082011,79.863,67.466,14038383450.0,950.0244132,0.000187428
30188,20607,Chhay-Kheng Nhem,M,25.0,171.0,70.0,Cambodia,KHM,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 100 metres Butterfly,,0,7300152.0,0.001901614,78.182,36.676,505549441.4,69.25190618,0.000134098
30189,20607,Chhay-Kheng Nhem,M,25.0,171.0,70.0,Cambodia,KHM,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,0,7300152.0,0.001901614,78.182,36.676,505549441.4,69.25190618,0.000134098
31078,21179,Chov Sotheara,F,32.0,155.0,48.0,Cambodia,KHM,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Flyweight, Freestyle",,0,15762370.0,0.00211799,79.055,68.981,20016747754.0,1269.907238,0.000264073
46174,31802,Ek Sam An,M,20.0,163.0,54.0,Cambodia,KHM,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Bantamweight,,0,6331583.0,0.001943275,89.338,41.893,782857128.6,123.6431914,0.000434921
69714,47503,Hem Bunting,M,22.0,167.0,63.0,Cambodia,KHM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,,0,13880509.0,0.002052193,80.467,65.391,10351914093.0,745.7877872,0.000163022
69715,47504,Hem Kiry,M,20.0,175.0,80.0,Cambodia,KHM,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,,0,12152354.0,0.001986303,81.414,58.432,3654031716.0,300.6850949,0.000108751
69716,47504,Hem Kiry,M,24.0,175.0,80.0,Cambodia,KHM,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 50 metres Freestyle,,0,13063377.0,0.002029626,80.945,62.186,5337833248.0,408.6105184,0.000121868
69717,47505,Hem Lumphat,M,19.0,,,Cambodia,KHM,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Individual Medley,,0,10980273.0,0.001895579,82.317,55.653,3506695720.0,319.3632544,0.000110971
69718,47506,Hem Reaksmey,F,12.0,175.0,65.0,Cambodia,KHM,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Breaststroke,,0,10980273.0,0.001895579,82.317,55.653,3506695720.0,319.3632544,0.000110971
69719,47506,Hem Reaksmey,F,17.0,175.0,65.0,Cambodia,KHM,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,,0,12152354.0,0.001986303,81.414,58.432,3654031716.0,300.6850949,0.000108751
