Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
118,76,Jouan Patrice Abanda Etong,M,22.0,185.0,82.0,Cameroon,CMR,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Gold,0,15274234.0,0.002496575,54.458,50.026,10083937740.0,660.1926971,0.000300117
119,77,Antoine Abang,M,27.0,166.0,75.0,Cameroon,CMR,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Middleweight,,0,6208282.0,0.001756321,81.125,45.111,1053077155.0,169.6245684,0.000431589
351,262,Yhyacinthe Mewoli Abdon,M,26.0,176.0,60.0,Cameroon,CMR,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Lightweight,,0,21082383.0,0.002970437,47.323,56.241,29104437355.0,1380.509848,0.000388577
361,269,Fawziya Abdoulkarim,F,27.0,180.0,67.0,Cameroon,CMR,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,,0,23439189.0,0.003149525,45.062,58.073,32217497470.0,1374.514172,0.000425033
524,384,Thophile Abega Mbida,M,30.0,,,Cameroon,CMR,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,,0,9742263.0,0.002046701,64.65,52.518,7801858825.0,800.8261351,0.000644782
564,410,Edwige Marie Abna Fouda,F,23.0,173.0,61.0,Cameroon,CMR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,,0,13812472.0,0.002384516,56.836,49.708,10513387442.0,761.151765,0.000332702
632,457,Thorine Christelle Aboa Mbeza,F,23.0,182.0,78.0,Cameroon,CMR,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,,0,23439189.0,0.003149525,45.062,58.073,32217497470.0,1374.514172,0.000425033
651,467,Jean-Pierre Abossolo-Ze,M,27.0,,,Cameroon,CMR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles,,0,9742263.0,0.002046701,64.65,52.518,7801858825.0,800.8261351,0.000644782
652,467,Jean-Pierre Abossolo-Ze,M,27.0,,,Cameroon,CMR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,,0,9742263.0,0.002046701,64.65,52.518,7801858825.0,800.8261351,0.000644782
1003,691,Assumpta Achuo-Bei,F,20.0,159.0,55.0,Cameroon,CMR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 400 metres,,0,11031817.0,0.002160686,61.489,52.68,12493286762.0,1132.477702,0.000654099
1004,691,Assumpta Achuo-Bei,F,20.0,159.0,55.0,Cameroon,CMR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 800 metres,,0,11031817.0,0.002160686,61.489,52.68,12493286762.0,1132.477702,0.000654099
1091,764,Idrissa Adam,M,27.0,178.0,79.0,Cameroon,CMR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,21082383.0,0.002970437,47.323,56.241,29104437355.0,1380.509848,0.000388577
1332,926,Esau Adenji,M,24.0,177.0,70.0,Cameroon,CMR,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 5,000 metres",,0,6208282.0,0.001756321,81.125,45.111,1053077155.0,169.6245684,0.000431589
1333,926,Esau Adenji,M,28.0,177.0,70.0,Cameroon,CMR,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 5,000 metres",,0,6875228.0,0.001790925,77.073,47.163,1430951332.0,208.1314732,0.000379563
1334,926,Esau Adenji,M,28.0,177.0,70.0,Cameroon,CMR,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 3,000 metres Steeplechase",,0,6875228.0,0.001790925,77.073,47.163,1430951332.0,208.1314732,0.000379563
1378,959,Christian Donfack Adjoufack,M,28.0,175.0,80.0,Cameroon,CMR,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Heavyweight,,0,21082383.0,0.002970437,47.323,56.241,29104437355.0,1380.509848,0.000388577
1853,1318,Joseph Ahanda,M,20.0,160.0,54.0,Cameroon,CMR,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Bantamweight,,0,8618354.0,0.001942081,68.079,51.211,6740756569.0,782.1396718,0.000601853
3860,2685,Annabel Laure Ali,F,23.0,176.0,75.0,Cameroon,CMR,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Women's Heavyweight, Freestyle",,0,18907008.0,0.002795346,49.663,54.535,26409781215.0,1396.824988,0.000415902
3861,2685,Annabel Laure Ali,F,27.0,176.0,75.0,Cameroon,CMR,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Women's Heavyweight, Freestyle",,0,21082383.0,0.002970437,47.323,56.241,29104437355.0,1380.509848,0.000388577
3862,2685,Annabel Laure Ali,F,31.0,176.0,75.0,Cameroon,CMR,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Heavyweight, Freestyle",,0,23439189.0,0.003149525,45.062,58.073,32217497470.0,1374.514172,0.000425033
4334,3012,Nicolas Alnoudji,M,20.0,180.0,80.0,Cameroon,CMR,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Gold,0,15274234.0,0.002496575,54.458,50.026,10083937740.0,660.1926971,0.000300117
4840,3351,Serge Ambomo,M,26.0,,,Cameroon,CMR,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Light-Welterweight,,0,21082383.0,0.002970437,47.323,56.241,29104437355.0,1380.509848,0.000388577
6654,4665,Ibrahim Aoudou,M,28.0,185.0,85.0,Cameroon,CMR,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,,0,9742263.0,0.002046701,64.65,52.518,7801858825.0,800.8261351,0.000644782
8270,5770,Delphine Bertille Atangana Bodo,F,19.0,170.0,56.0,Cameroon,CMR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres,,0,16959081.0,0.002634892,52.06,52.301,17430933517.0,1027.823,0.000397967
8271,5770,Delphine Bertille Atangana Bodo,F,27.0,170.0,56.0,Cameroon,CMR,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,21082383.0,0.002970437,47.323,56.241,29104437355.0,1380.509848,0.000388577
8272,5771,Ernest Atangana Mboa,M,25.0,168.0,67.0,Cameroon,CMR,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Welterweight,,0,13812472.0,0.002384516,56.836,49.708,10513387442.0,761.151765,0.000332702
8760,6132,Anthony Avon Blume,M,27.0,,,Cameroon,CMR,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Welterweight, Freestyle",,0,13812472.0,0.002384516,56.836,49.708,10513387442.0,761.151765,0.000332702
8957,6247,Alain Ayissi,M,22.0,,,Cameroon,CMR,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",,0,9742263.0,0.002046701,64.65,52.518,7801858825.0,800.8261351,0.000644782
8958,6247,Alain Ayissi,M,22.0,,,Cameroon,CMR,1984 Summer,1984,Summer,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,9742263.0,0.002046701,64.65,52.518,7801858825.0,800.8261351,0.000644782
9848,6832,Paul Bahoken,M,29.0,,,Cameroon,CMR,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,,0,9742263.0,0.002046701,64.65,52.518,7801858825.0,800.8261351,0.000644782
10729,7425,Houkreo Bambe,M,,175.0,74.0,Cameroon,CMR,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Welterweight, Freestyle",,0,9742263.0,0.002046701,64.65,52.518,7801858825.0,800.8261351,0.000644782
10757,7445,Charles Bana,M,23.0,171.0,60.0,Cameroon,CMR,1980 Summer,1980,Summer,Moskva,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,8618354.0,0.001942081,68.079,51.211,6740756569.0,782.1396718,0.000601853
10876,7530,Albert Legrand Baning,M,23.0,189.0,85.0,Cameroon,CMR,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,,0,18907008.0,0.002795346,49.663,54.535,26409781215.0,1396.824988,0.000415902
12265,8496,Jean Bassomben,M,29.0,182.0,86.0,Cameroon,CMR,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Heavyweight,,0,6875228.0,0.001790925,77.073,47.163,1430951332.0,208.1314732,0.000379563
12320,8533,Joseph Batangdon,M,22.0,176.0,74.0,Cameroon,CMR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,15274234.0,0.002496575,54.458,50.026,10083937740.0,660.1926971,0.000300117
