Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
5713,4038,Henry Manuel Andrade,M,34.0,180.0,73.0,Cape Verde,CPV,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 110 metres Hurdles,,0,398773.0,6.88e-05,50.296,67.221,501979069.3,1258.80907,1.59e-05
5716,4041,Jordin Andrade,M,24.0,183.0,77.0,Cape Verde,CPV,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres Hurdles,,0,539560.0,7.25e-05,33.813,72.798,1617467436.0,2997.75268,2.13e-05
5719,4044,Maria Andrade Teixeira,F,23.0,169.0,49.0,Cape Verde,CPV,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,,0,539560.0,7.25e-05,33.813,72.798,1617467436.0,2997.75268,2.13e-05
18052,12441,Elyane Eullia Alfama Duarte Freire de Andrade Boal,F,18.0,170.0,58.0,Cape Verde,CPV,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,,0,539560.0,7.25e-05,33.813,72.798,1617467436.0,2997.75268,2.13e-05
34981,24052,Nelson da Cruz,M,30.0,181.0,70.0,Cape Verde,CPV,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,,0,491723.0,7.27e-05,39.806,71.881,1789333749.0,3638.905947,2.82e-05
41936,28939,Ismnia do Frederico,F,25.0,154.0,49.0,Cape Verde,CPV,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 100 metres,,0,398773.0,6.88e-05,50.296,67.221,501979069.3,1258.80907,1.59e-05
41937,28939,Ismnia do Frederico,F,29.0,154.0,49.0,Cape Verde,CPV,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,,0,435079.0,7.11e-05,46.565,69.747,539227277.6,1239.377855,1.6e-05
55163,37691,Flavio Furtado,M,26.0,188.0,81.0,Cape Verde,CPV,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Light-Heavyweight,,0,467664.0,7.27e-05,43.154,71.584,924318490.8,1976.458506,2.11e-05
106556,71307,Lidiane Lopes,F,17.0,178.0,70.0,Cape Verde,CPV,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,513979.0,7.24e-05,36.611,72.127,1751888562.0,3408.482763,2.34e-05
106557,71307,Lidiane Lopes,F,21.0,178.0,70.0,Cape Verde,CPV,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,,0,539560.0,7.25e-05,33.813,72.798,1617467436.0,2997.75268,2.13e-05
121572,81363,Adysngela Moniz,F,25.0,166.0,105.0,Cape Verde,CPV,2012 Summer,2012,Summer,London,Judo,Judo Women's Heavyweight,,0,513979.0,7.24e-05,36.611,72.127,1751888562.0,3408.482763,2.34e-05
121736,81494,Vnia Monteiro,F,18.0,170.0,62.0,Cape Verde,CPV,2004 Summer,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,,0,467664.0,7.27e-05,43.154,71.584,924318490.8,1976.458506,2.11e-05
121737,81494,Vnia Monteiro,F,21.0,170.0,62.0,Cape Verde,CPV,2008 Summer,2008,Summer,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,,0,491723.0,7.27e-05,39.806,71.881,1789333749.0,3638.905947,2.82e-05
122080,81751,Davilson dos Santos Morais,M,27.0,188.0,,Cape Verde,CPV,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Super-Heavyweight,,0,539560.0,7.25e-05,33.813,72.798,1617467436.0,2997.75268,2.13e-05
142085,94918,Antnio Carlos Zeferino Pia,M,30.0,183.0,65.0,Cape Verde,CPV,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,,0,398773.0,6.88e-05,50.296,67.221,501979069.3,1258.80907,1.59e-05
142086,94918,Antnio Carlos Zeferino Pia,M,34.0,183.0,65.0,Cape Verde,CPV,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,,0,435079.0,7.11e-05,46.565,69.747,539227277.6,1239.377855,1.6e-05
142087,94918,Antnio Carlos Zeferino Pia,M,38.0,183.0,65.0,Cape Verde,CPV,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,,0,467664.0,7.27e-05,43.154,71.584,924318490.8,1976.458506,2.11e-05
157544,105123,Ruben Pascal Nascimento Sana,M,25.0,188.0,63.0,Cape Verde,CPV,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 5,000 metres",,0,513979.0,7.24e-05,36.611,72.127,1751888562.0,3408.482763,2.34e-05
