Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
10142,7027,Nicholas Baker,M,31.0,180.0,77.0,Cayman Islands,CYM,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,22538.0,4.41e-06,0.0,,,0,
11187,7704,Stefan Christopher Dion Baraud,M,17.0,183.0,77.0,Cayman Islands,CYM,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",,0,27404.0,5.02e-06,0.0,,,0,
11188,7704,Stefan Christopher Dion Baraud,M,17.0,183.0,77.0,Cayman Islands,CYM,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,27404.0,5.02e-06,0.0,,,0,
11189,7704,Stefan Christopher Dion Baraud,M,21.0,183.0,77.0,Cayman Islands,CYM,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",,0,33536.0,5.79e-06,0.0,,1012444074.0,30189.76843,3.2e-05
22458,15377,Dennis Brooks,M,17.0,170.0,67.0,Cayman Islands,CYM,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",,0,27404.0,5.02e-06,0.0,,,0,
24588,16826,Michelle Bush (-Cuke),F,26.0,157.0,48.0,Cayman Islands,CYM,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's Marathon,,0,22538.0,4.41e-06,0.0,,,0,
24715,16918,Geoffrey Butler,M,20.0,188.0,84.0,Cayman Islands,CYM,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 400 metres Freestyle,,0,60765.0,8.16e-06,0.0,,,0,
24724,16926,Lara Butler,F,21.0,172.0,60.0,Cayman Islands,CYM,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Backstroke,,0,60765.0,8.16e-06,0.0,,,0,
25805,17702,Don Dwight Campbell,M,,,,Cayman Islands,CYM,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,27404.0,5.02e-06,0.0,,,0,
25806,17702,Don Dwight Campbell,M,,,,Cayman Islands,CYM,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's 1,000 metres Time Trial",,0,27404.0,5.02e-06,0.0,,,0,
40951,28314,David Dibben,M,24.0,183.0,82.0,Cayman Islands,CYM,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",,0,18543.0,3.9e-06,0.0,,,0,
40952,28314,David Dibben,M,24.0,183.0,82.0,Cayman Islands,CYM,1984 Summer,1984,Summer,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,18543.0,3.9e-06,0.0,,,0,
