Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
3843,2672,Bertille Ali,F,22.0,158.0,48.0,Central African Republic,CAF,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Extra-Lightweight,,0,4055036.0,0.000630021,62.034,44.08,1270080251.0,313.2105981,2.9e-05
4700,3263,Ferdinand Amadi,M,21.0,170.0,60.0,Central African Republic,CAF,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,,0,3095807.0,0.000567399,63.013,47.873,1411917558.0,456.0741538,5.56e-05
4849,3354,Adolphe Ambowod,M,26.0,173.0,59.0,Central African Republic,CAF,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,,0,2565803.0,0.000539036,64.802,49.799,637820620.7,248.5851878,5.27e-05
4850,3354,Adolphe Ambowod,M,30.0,173.0,59.0,Central African Republic,CAF,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,,0,2812244.0,0.000550805,63.455,49.402,1264899368.0,449.7829378,6.62e-05
14158,9665,Richard Felici Bella,M,24.0,205.0,107.0,Central African Republic,CAF,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,,0,2812244.0,0.000550805,63.455,49.402,1264899368.0,449.7829378,6.62e-05
16634,11447,Martial Biguet,M,21.0,183.0,68.0,Central African Republic,CAF,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,3095807.0,0.000567399,63.013,47.873,1411917558.0,456.0741538,5.56e-05
16635,11447,Martial Biguet,M,25.0,183.0,68.0,Central African Republic,CAF,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,0,3435821.0,0.000593143,62.688,45.7,1007791186.0,293.3188854,3.19e-05
19145,13196,Bruno Flavien Bongongo,M,23.0,,69.0,Central African Republic,CAF,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Welterweight,,0,4345386.0,0.000642453,61.53,46.19,1985239277.0,456.8614335,3.13e-05
19986,13769,Branger Aymard Bosse,M,23.0,173.0,74.0,Central African Republic,CAF,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,4345386.0,0.000642453,61.53,46.19,1985239277.0,456.8614335,3.13e-05
19987,13769,Branger Aymard Bosse,M,27.0,173.0,74.0,Central African Republic,CAF,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,4490416.0,0.000632685,60.742,49.041,2184183758.0,486.4101139,2.92e-05
20349,14008,David Sylvre Patrick Boui,M,24.0,187.0,68.0,Central African Republic,CAF,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Men's Featherweight,,0,4490416.0,0.000632685,60.742,49.041,2184183758.0,486.4101139,2.92e-05
20350,14008,David Sylvre Patrick Boui,M,28.0,187.0,68.0,Central African Republic,CAF,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,,0,4594621.0,0.000617379,59.668,52.171,1756124677.0,382.2131743,2.32e-05
23021,15766,Jacques-Henri Brunet,M,25.0,188.0,72.0,Central African Republic,CAF,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,,0,3095807.0,0.000567399,63.013,47.873,1411917558.0,456.0741538,5.56e-05
33174,22669,Marie-Jolle Conjungo,F,25.0,168.0,62.0,Central African Republic,CAF,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres Hurdles,,0,3754986.0,0.000613753,62.361,43.937,914500299.1,243.5429317,2.72e-05
33175,22669,Marie-Jolle Conjungo,F,29.0,168.0,62.0,Central African Republic,CAF,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres Hurdles,,0,4055036.0,0.000630021,62.034,44.08,1270080251.0,313.2105981,2.9e-05
33176,22670,Mickal Glenn Conjungo Taumhas,M,23.0,194.0,95.0,Central African Republic,CAF,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Discus Throw,,0,3095807.0,0.000567399,63.013,47.873,1411917558.0,456.0741538,5.56e-05
33177,22670,Mickal Glenn Conjungo Taumhas,M,27.0,194.0,95.0,Central African Republic,CAF,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Discus Throw,,0,3435821.0,0.000593143,62.688,45.7,1007791186.0,293.3188854,3.19e-05
33178,22670,Mickal Glenn Conjungo Taumhas,M,31.0,194.0,95.0,Central African Republic,CAF,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Discus Throw,,0,3754986.0,0.000613753,62.361,43.937,914500299.1,243.5429317,2.72e-05
40021,27698,Mireille Dereboba-Ngaisset,F,18.0,172.0,,Central African Republic,CAF,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 800 metres,,0,4345386.0,0.000642453,61.53,46.19,1985239277.0,456.8614335,3.13e-05
57617,39251,Bertrand Gbongou Liango,M,22.0,178.0,62.0,Central African Republic,CAF,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Men's Featherweight,,0,4055036.0,0.000630021,62.034,44.08,1270080251.0,313.2105981,2.9e-05
59889,40812,Virginie Gloum,F,23.0,160.0,50.0,Central African Republic,CAF,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Marathon,,0,3435821.0,0.000593143,62.688,45.7,1007791186.0,293.3188854,3.19e-05
60522,41237,Christian Gombe,M,26.0,190.0,88.0,Central African Republic,CAF,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,,0,2812244.0,0.000550805,63.455,49.402,1264899368.0,449.7829378,6.62e-05
60702,41348,Vincent Paul Gomgadja,M,32.0,,,Central African Republic,CAF,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",,0,3095807.0,0.000567399,63.013,47.873,1411917558.0,456.0741538,5.56e-05
60703,41348,Vincent Paul Gomgadja,M,32.0,,,Central African Republic,CAF,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,3095807.0,0.000567399,63.013,47.873,1411917558.0,456.0741538,5.56e-05
61333,41747,Aubin-Thierry Goporo,M,20.0,185.0,78.0,Central African Republic,CAF,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,,0,2812244.0,0.000550805,63.455,49.402,1264899368.0,449.7829378,6.62e-05
61334,41748,Frdricque Rufin Goporo,M,22.0,175.0,74.0,Central African Republic,CAF,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,,0,2812244.0,0.000550805,63.455,49.402,1264899368.0,449.7829378,6.62e-05
84078,57226,Seulki Kang,F,24.0,170.0,49.0,Central African Republic,CAF,2012 Summer,2012,Summer,London,Taekwondo,Taekwondo Women's Flyweight,,0,4490416.0,0.000632685,60.742,49.041,2184183758.0,486.4101139,2.92e-05
92612,62438,Bruno-Nazaire Kongaouin,M,21.0,203.0,95.0,Central African Republic,CAF,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,,0,2812244.0,0.000550805,63.455,49.402,1264899368.0,449.7829378,6.62e-05
93651,63065,Dieudonn Kossi,M,23.0,171.0,60.0,Central African Republic,CAF,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Lightweight,,0,2565803.0,0.000539036,64.802,49.799,637820620.7,248.5851878,5.27e-05
93973,63234,Jean-Pierre Kotta,M,32.0,187.0,75.0,Central African Republic,CAF,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,,0,2812244.0,0.000550805,63.455,49.402,1264899368.0,449.7829378,6.62e-05
100094,67242,Anicet-Richard Lavodrama y Ondoma,M,25.0,202.0,80.0,Central African Republic,CAF,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,,0,2812244.0,0.000550805,63.455,49.402,1264899368.0,449.7829378,6.62e-05
106479,71238,Antoine Longoud,M,21.0,172.0,67.0,Central African Republic,CAF,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Welterweight,,0,2565803.0,0.000539036,64.802,49.799,637820620.7,248.5851878,5.27e-05
109926,73634,Zacharia Maidjida,M,23.0,,,Central African Republic,CAF,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 800 metres,,0,3095807.0,0.000567399,63.013,47.873,1411917558.0,456.0741538,5.56e-05
109927,73634,Zacharia Maidjida,M,23.0,,,Central African Republic,CAF,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",,0,3095807.0,0.000567399,63.013,47.873,1411917558.0,456.0741538,5.56e-05
110363,73905,Felicit Makounawode,F,21.0,,,Central African Republic,CAF,1992 Summer,1992,Summer,Barcelona,Judo,Judo Women's Half-Middleweight,,0,3095807.0,0.000567399,63.013,47.873,1411917558.0,456.0741538,5.56e-05
111057,74320,Elisabeth Victoire Mandaba,F,23.0,163.0,53.0,Central African Republic,CAF,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 800 metres,,0,4490416.0,0.000632685,60.742,49.041,2184183758.0,486.4101139,2.92e-05
111058,74320,Elisabeth Victoire Mandaba,F,27.0,163.0,53.0,Central African Republic,CAF,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 800 metres,,0,4594621.0,0.000617379,59.668,52.171,1756124677.0,382.2131743,2.32e-05
115039,77044,Andr Marie Serge Mayounga,M,23.0,,,Central African Republic,CAF,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Middleweight,,0,3095807.0,0.000567399,63.013,47.873,1411917558.0,456.0741538,5.56e-05
115252,77177,Gabriel M'Boa,M,,,,Central African Republic,CAF,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 5,000 metres",,0,1755344.0,0.000496586,74.185,40.522,191767437.0,109.2477811,7.86e-05
115255,77180,Guy M'Bongo,M,19.0,196.0,98.0,Central African Republic,CAF,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,,0,2812244.0,0.000550805,63.455,49.402,1264899368.0,449.7829378,6.62e-05
115289,77207,Francky-Edgard Mbotto,M,18.0,181.0,68.0,Central African Republic,CAF,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 800 metres,,0,4594621.0,0.000617379,59.668,52.171,1756124677.0,382.2131743,2.32e-05
115291,77209,Judith Mbougnade,F,18.0,150.0,51.0,Central African Republic,CAF,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight,,0,4594621.0,0.000617379,59.668,52.171,1756124677.0,382.2131743,2.32e-05
121014,80975,Fidle Mohinga,M,24.0,172.0,67.0,Central African Republic,CAF,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Welterweight,,0,2812244.0,0.000550805,63.455,49.402,1264899368.0,449.7829378,6.62e-05
121414,81261,Rufin Brice Molomadan,M,25.0,,,Central African Republic,CAF,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,3095807.0,0.000567399,63.013,47.873,1411917558.0,456.0741538,5.56e-05
126364,84497,Franois Naoueyama,M,31.0,202.0,85.0,Central African Republic,CAF,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,,0,2812244.0,0.000550805,63.455,49.402,1264899368.0,449.7829378,6.62e-05
126585,84647,Christian Nassif Djidagui,M,18.0,,,Central African Republic,CAF,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 50 metres Freestyle,,0,4490416.0,0.000632685,60.742,49.041,2184183758.0,486.4101139,2.92e-05
126586,84647,Christian Nassif Djidagui,M,22.0,,,Central African Republic,CAF,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,,0,4594621.0,0.000617379,59.668,52.171,1756124677.0,382.2131743,2.32e-05
127054,84934,Ernest Ndissipou,M,19.0,183.0,68.0,Central African Republic,CAF,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",,0,3095807.0,0.000567399,63.013,47.873,1411917558.0,456.0741538,5.56e-05
127055,84934,Ernest Ndissipou,M,23.0,183.0,68.0,Central African Republic,CAF,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,,0,3435821.0,0.000593143,62.688,45.7,1007791186.0,293.3188854,3.19e-05
127056,84934,Ernest Ndissipou,M,31.0,183.0,68.0,Central African Republic,CAF,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Marathon,,0,4055036.0,0.000630021,62.034,44.08,1270080251.0,313.2105981,2.9e-05
128215,85658,Obed Bessan Ngaite,M,25.0,,,Central African Republic,CAF,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",,0,3095807.0,0.000567399,63.013,47.873,1411917558.0,456.0741538,5.56e-05
128216,85658,Obed Bessan Ngaite,M,25.0,,,Central African Republic,CAF,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,3095807.0,0.000567399,63.013,47.873,1411917558.0,456.0741538,5.56e-05
