Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
100,64,M'Bairo Abakar,M,31.0,,,Chad,TCD,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Half-Middleweight,,0,6349089.0,0.001163659,78.765,47.148,1881847677.0,296.3964873,7.41e-05
146,104,Gana Abba Kimet,M,26.0,,,Chad,TCD,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,3815103.0,0.000993795,86.9,42.233,585427545.7,153.4499975,0.000155286
360,268,Brahim Daoud Abdoulaye,M,25.0,,71.0,Chad,TCD,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 200 metres,,0,7241134.0,0.001250073,78.494,47.505,1607345450.0,221.9742723,5.09e-05
3173,2222,Saleh Alah-Djaba,M,22.0,,,Chad,TCD,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,,0,3815103.0,0.000993795,86.9,42.233,585427545.7,153.4499975,0.000155286
3174,2222,Saleh Alah-Djaba,M,22.0,,,Chad,TCD,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 200 metres,,0,3815103.0,0.000993795,86.9,42.233,585427545.7,153.4499975,0.000155286
3894,2719,Bibiro Ali Taher,F,28.0,160.0,44.0,Chad,TCD,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 5,000 metres",,0,14452543.0,0.001941989,77.382,52.903,9600761474.0,664.2956519,0.000126659
17277,11868,Kimitene Biyago,M,21.0,,72.0,Chad,TCD,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,0,7241134.0,0.001250073,78.494,47.505,1607345450.0,221.9742723,5.09e-05
41829,28872,Kmob Djirmassal,M,30.0,186.0,80.0,Chad,TCD,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Long Jump,,0,4954046.0,0.00104077,80.422,45.824,919103735.3,185.5258783,7.6e-05
49780,34250,Ali Faudet,M,18.0,185.0,65.0,Chad,TCD,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,,0,5584339.0,0.001093746,79.606,46.692,1482597299.0,265.4919945,7.76e-05
49781,34250,Ali Faudet,M,22.0,185.0,65.0,Chad,TCD,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres,,0,6349089.0,0.001163659,78.765,47.148,1881847677.0,296.3964873,7.41e-05
56195,38354,Rosalie Bangu Peng Gangu,F,17.0,160.0,60.0,Chad,TCD,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 800 metres,,0,6349089.0,0.001163659,78.765,47.148,1881847677.0,296.3964873,7.41e-05
56196,38354,Rosalie Bangu Peng Gangu,F,17.0,160.0,60.0,Chad,TCD,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Women's 1,500 metres",,0,6349089.0,0.001163659,78.765,47.148,1881847677.0,296.3964873,7.41e-05
57520,39192,Seid Gayapl,M,21.0,175.0,67.0,Chad,TCD,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 1,500 metres",,0,5584339.0,0.001093746,79.606,46.692,1482597299.0,265.4919945,7.76e-05
68252,46495,Noureddine Aman Hassan,M,29.0,178.0,81.0,Chad,TCD,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Light-Heavyweight,,0,3815103.0,0.000993795,86.9,42.233,585427545.7,153.4499975,0.000155286
68266,46505,Issaka Hassane,M,25.0,190.0,78.0,Chad,TCD,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,,0,4954046.0,0.00104077,80.422,45.824,919103735.3,185.5258783,7.6e-05
75763,51637,Mahamat Idriss (Koundja Ouya-),M,22.0,190.0,75.0,Chad,TCD,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's High Jump,,0,3246505.0,0.00099641,92.123,39.061,392247517.6,120.8214734,0.000217915
75764,51637,Mahamat Idriss (Koundja Ouya-),M,26.0,190.0,75.0,Chad,TCD,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's High Jump,,0,3499352.0,0.000989966,89.804,40.432,453980096.7,129.7326181,0.000186057
77360,52631,Ahmed Issa,M,21.0,174.0,60.0,Chad,TCD,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 800 metres,,0,3246505.0,0.00099641,92.123,39.061,392247517.6,120.8214734,0.000217915
77361,52631,Ahmed Issa,M,25.0,174.0,60.0,Chad,TCD,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,,0,3499352.0,0.000989966,89.804,40.432,453980096.7,129.7326181,0.000186057
77362,52631,Ahmed Issa,M,25.0,174.0,60.0,Chad,TCD,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 1,500 metres",,0,3499352.0,0.000989966,89.804,40.432,453980096.7,129.7326181,0.000186057
109749,73509,Bachir Mahamat,M,19.0,186.0,59.0,Chad,TCD,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,,0,14452543.0,0.001941989,77.382,52.903,9600761474.0,664.2956519,0.000126659
