Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
124,83,Carlos Arturo Abarza Chavez,M,22.0,,,Chile,CHL,1992 Summer,1992,Summer,Barcelona,Shooting,Shooting Mixed Skeet,,0,13671033.0,0.002505623,16.436,74.394,45964327559.0,3362.169308,0.001809619
130,89,Rodrigo Abasolo,M,21.0,,,Chile,CHL,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,,0,11985658.0,0.002518005,17.508,71.288,19622527480.0,1637.167311,0.001621696
137,94,Ral Abatte,M,38.0,,,Chile,CHL,1984 Summer,1984,Summer,Los Angeles,Shooting,Shooting Mixed Trap,,0,11985658.0,0.002518005,17.508,71.288,19622527480.0,1637.167311,0.001621696
707,510,Melita Isidora Abraham Schssler,F,19.0,170.0,62.0,Chile,CHL,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Lightweight Double Sculls,,0,17909754.0,0.002406534,10.303,79.522,247000000000.0,13791.36754,0.003258575
936,641,Jos Aceituno,M,23.0,167.0,58.0,Chile,CHL,1960 Summer,1960,Summer,Roma,Athletics,"Athletics Men's 5,000 metres",,0,7716625.0,0.002543221,32.164,57.285,4110000000.0,532.6162668,0.003
1041,715,Julio Csar Acosta Gonzlez,M,29.0,160.0,62.0,Chile,CHL,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Featherweight,,0,17909754.0,0.002406534,10.303,79.522,247000000000.0,13791.36754,0.003258575
1755,1244,Felipe Aguilar Schler,M,41.0,170.0,72.0,Chile,CHL,2016 Summer,2016,Summer,Rio de Janeiro,Golf,Golf Men's Individual,,0,17909754.0,0.002406534,10.303,79.522,247000000000.0,13791.36754,0.003258575
1778,1260,Domingo Omar Aguilar Cardenas,M,24.0,171.0,62.0,Chile,CHL,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 5,000 metres",,0,11985658.0,0.002518005,17.508,71.288,19622527480.0,1637.167311,0.001621696
1779,1260,Domingo Omar Aguilar Cardenas,M,24.0,171.0,62.0,Chile,CHL,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 10,000 metres",,0,11985658.0,0.002518005,17.508,71.288,19622527480.0,1637.167311,0.001621696
1780,1260,Domingo Omar Aguilar Cardenas,M,24.0,171.0,62.0,Chile,CHL,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,,0,11985658.0,0.002518005,17.508,71.288,19622527480.0,1637.167311,0.001621696
1781,1260,Domingo Omar Aguilar Cardenas,M,28.0,171.0,62.0,Chile,CHL,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's Marathon,,0,12809025.0,0.002508769,16.986,72.936,26040229793.0,2032.959557,0.001363363
2023,1447,Marlene Ahrens Ostertag (-Ebensperger),F,27.0,176.0,70.0,Chile,CHL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's Javelin Throw,,0,7716625.0,0.002543221,32.164,57.285,4110000000.0,532.6162668,0.003
2032,1457,Daniel Ahumada Gaete,M,24.0,,,Chile,CHL,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,,0,11985658.0,0.002518005,17.508,71.288,19622527480.0,1637.167311,0.001621696
4325,2999,Patricio Javier Almonacid Gonzlez,M,28.0,166.0,60.0,Chile,CHL,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Road Race, Individual",,0,16661942.0,0.002463419,11.845,78.193,180000000000.0,10803.06245,0.002834646
4517,3147,Cristin Andrs lvarez Valenzuela,M,20.0,173.0,62.0,Chile,CHL,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Bronze,0,15262754.0,0.002494699,13.927,76.793,77860932152.0,5101.368479,0.00231729
