Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
0,1,A Dijiang,M,24.0,180.0,80.0,China,CHN,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,,0,1164970000.0,0.213515367,71.8,69.587,427000000000.0,366.5330438,0.016811024
1,2,A Lamusi,M,23.0,170.0,60.0,China,CHN,2012 Summer,2012,Summer,London,Judo,Judo Men's Extra-Lightweight,,0,1350695000.0,0.190308405,48.111,75.602,8560000000000.0,6337.478113,0.114285714
862,602,Abudoureheman,M,22.0,182.0,75.0,China,CHN,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Middleweight,,0,1262645000.0,0.206379448,64.123,71.955,1210000000000.0,958.3057787,0.036011905
2039,1463,Ai Linuer,M,25.0,160.0,62.0,China,CHN,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",,0,1296075000.0,0.201368105,58.856,73.642,1960000000000.0,1512.258164,0.044748858
2040,1464,Ai Yanhan,F,14.0,168.0,54.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle,,0,1378665000.0,0.185251261,43.222,76.252,11200000000000.0,8123.800923,0.147757256
2041,1464,Ai Yanhan,F,14.0,168.0,54.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,,0,1378665000.0,0.185251261,43.222,76.252,11200000000000.0,8123.800923,0.147757256
5209,3605,An Weijiang,M,22.0,178.0,72.0,China,CHN,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Men's 500 metres,,0,1311020000.0,0.198686921,56.132,74.291,2750000000000.0,2097.603393,0.053501946
5210,3605,An Weijiang,M,22.0,178.0,72.0,China,CHN,2006 Winter,2006,Winter,Torino,Speed Skating,"Speed Skating Men's 1,000 metres",,0,1311020000.0,0.198686921,56.132,74.291,2750000000000.0,2097.603393,0.053501946
5213,3610,An Yulong,M,19.0,173.0,70.0,China,CHN,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Silver,0,1241935000.0,0.208474987,66.133,71.115,1030000000000.0,829.3509725,0.032907348
5214,3610,An Yulong,M,19.0,173.0,70.0,China,CHN,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",,0,1241935000.0,0.208474987,66.133,71.115,1030000000000.0,829.3509725,0.032907348
5215,3610,An Yulong,M,19.0,173.0,70.0,China,CHN,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze,0,1241935000.0,0.208474987,66.133,71.115,1030000000000.0,829.3509725,0.032907348
