Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
826,574,rika Abril Surez,F,34.0,164.0,52.0,Colombia,COL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Marathon,,0,46881475.0,0.006605443,24.397,73.673,370000000000.0,7892.243151,0.00493992
827,574,rika Abril Surez,F,38.0,164.0,52.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,,0,48653419.0,0.006537561,23.292,74.381,282000000000.0,5796.098317,0.003720317
828,575,Laura Valentina Abril Restrepo,F,22.0,162.0,50.0,Colombia,COL,2012 Summer,2012,Summer,London,Cycling,"Cycling Women's Mountainbike, Cross-Country",,0,46881475.0,0.006605443,24.397,73.673,370000000000.0,7892.243151,0.00493992
942,647,Eyne Acevedo Tabares,M,22.0,,67.0,Colombia,COL,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Lightweight,,0,35558682.0,0.006517185,30.689,68.63,49279585355.0,1385.866477,0.001940141
943,648,Fabio Acevedo,M,22.0,171.0,70.0,Colombia,COL,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Road Race, Individual",,0,23146803.0,0.006029501,43.673,61.598,8671358733.0,374.6244668,0.002300095
944,648,Fabio Acevedo,M,22.0,171.0,70.0,Colombia,COL,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,23146803.0,0.006029501,43.673,61.598,8671358733.0,374.6244668,0.002300095
950,652,Nicole Jocelin Acevedo Tangarife,F,21.0,166.0,70.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,,0,48653419.0,0.006537561,23.292,74.381,282000000000.0,5796.098317,0.003720317
951,653,Sharon Evelin Acevedo Tangarife,F,23.0,170.0,61.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,,0,48653419.0,0.006537561,23.292,74.381,282000000000.0,5796.098317,0.003720317
1753,1242,Evelis Jazmin Aguilar Torres,F,23.0,173.0,64.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,,0,48653419.0,0.006537561,23.292,74.381,282000000000.0,5796.098317,0.003720317
1754,1243,Felipe Aguilar Mendoza,M,23.0,191.0,72.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,,0,48653419.0,0.006537561,23.292,74.381,282000000000.0,5796.098317,0.003720317
1801,1277,Carolina Aguirre Giraldo,F,20.0,160.0,59.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Women's Individual,,0,48653419.0,0.006537561,23.292,74.381,282000000000.0,5796.098317,0.003720317
1802,1277,Carolina Aguirre Giraldo,F,20.0,160.0,59.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Women's Team,,0,48653419.0,0.006537561,23.292,74.381,282000000000.0,5796.098317,0.003720317
3254,2282,ngel No Alayn Lpez,M,23.0,174.0,66.0,Colombia,COL,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,32975535.0,0.00645857,32.775,68.06,39212550050.0,1189.140678,0.002053013
3761,2614,Ernesto Alfaro Bermdez,M,30.0,165.0,68.0,Colombia,COL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 20 kilometres Walk,,0,25323406.0,0.006118019,40.735,63.271,15341403660.0,605.8191248,0.002389627
3762,2614,Ernesto Alfaro Bermdez,M,34.0,165.0,68.0,Colombia,COL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 20 kilometres Walk,,0,27737900.0,0.006250526,37.879,65.506,33400735644.0,1204.155168,0.002982209
3763,2614,Ernesto Alfaro Bermdez,M,34.0,165.0,68.0,Colombia,COL,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 50 kilometres Walk,,0,27737900.0,0.006250526,37.879,65.506,33400735644.0,1204.155168,0.002982209
