Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
352,263,Hassane Abdou,M,23.0,185.0,67.0,Comoros,COM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,0,488627.0,8.44e-05,71.743,58.972,230495751.4,471.7212749,7.29e-06
1849,1316,Feta Ahamada,F,21.0,160.0,50.0,Comoros,COM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,657229.0,9.72e-05,72.14,61.094,523134897.0,795.9705019,8.24e-06
1850,1316,Feta Ahamada,F,25.0,160.0,50.0,Comoros,COM,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,723868.0,0.000101991,71.971,62.596,570865941.2,788.6326529,7.62e-06
8307,5801,Soule Soilihi Athoumane,M,25.0,180.0,75.0,Comoros,COM,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,,0,795601.0,0.000106905,71.588,63.701,616654490.4,775.0800846,8.14e-06
8398,5867,Mohamed Attoumane,M,26.0,,,Comoros,COM,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,,0,657229.0,9.72e-05,72.14,61.094,523134897.0,795.9705019,8.24e-06
8997,6268,Sihame Ayouba Ali,F,17.0,161.0,50.0,Comoros,COM,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Freestyle,,0,723868.0,0.000101991,71.971,62.596,570865941.2,788.6326529,7.62e-06
10105,6995,Mohamed Ridjali Bakar,M,23.0,170.0,60.0,Comoros,COM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,488627.0,8.44e-05,71.743,58.972,230495751.4,471.7212749,7.29e-06
12452,8602,Sandjema Batouli,F,18.0,165.0,60.0,Comoros,COM,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,,0,542357.0,8.86e-05,71.92,59.46,203846427.7,375.8528565,6.07e-06
37042,25394,Maoulida Daroueche,M,22.0,177.0,60.0,Comoros,COM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres Hurdles,,0,723868.0,0.000101991,71.971,62.596,570865941.2,788.6326529,7.62e-06
37043,25394,Maoulida Daroueche,M,26.0,177.0,60.0,Comoros,COM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres Hurdles,,0,795601.0,0.000106905,71.588,63.701,616654490.4,775.0800846,8.14e-06
41793,28850,Hadhari Djaffar Saindou,M,17.0,180.0,60.0,Comoros,COM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 200 metres,,0,488627.0,8.44e-05,71.743,58.972,230495751.4,471.7212749,7.29e-06
41794,28850,Hadhari Djaffar Saindou,M,21.0,180.0,60.0,Comoros,COM,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,542357.0,8.86e-05,71.92,59.46,203846427.7,375.8528565,6.07e-06
41795,28850,Hadhari Djaffar Saindou,M,25.0,180.0,60.0,Comoros,COM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,597228.0,9.28e-05,72.097,59.904,368143118.7,616.4197236,8.41e-06
41798,28853,Salhate Djamalidine,F,25.0,171.0,55.0,Comoros,COM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 400 metres Hurdles,,0,597228.0,9.28e-05,72.097,59.904,368143118.7,616.4197236,8.41e-06
49741,34228,Chaehoi Fatihou,M,33.0,,85.0,Comoros,COM,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Light-Heavyweight,,0,597228.0,9.28e-05,72.097,59.904,368143118.7,616.4197236,8.41e-06
67376,45885,Ahamada Hadidja Haoulata Ali Moudhir,F,21.0,,,Comoros,COM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 400 metres,,0,488627.0,8.44e-05,71.743,58.972,230495751.4,471.7212749,7.29e-06
85197,57913,Denika Kassim,F,18.0,157.0,45.0,Comoros,COM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,,0,795601.0,0.000106905,71.588,63.701,616654490.4,775.0800846,8.14e-06
120953,80921,Nazlati Mohamed Andhumdine,F,18.0,160.0,62.0,Comoros,COM,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,,0,795601.0,0.000106905,71.588,63.701,616654490.4,775.0800846,8.14e-06
200071,133274,Mhadjou Youssouf,M,18.0,,,Comoros,COM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,657229.0,9.72e-05,72.14,61.094,523134897.0,795.9705019,8.24e-06
