Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
515,378,Angelik Abebame,F,,,,Congo (Brazzaville),COG,1980 Summer,1980,Summer,Moskva,Handball,Handball Women's Handball,,0,1839935.0,0.000414615,52.143,56.143,1705796850.0,927.0962561,0.000152303
9024,6290,Isabelle Azanga,F,,,,Congo (Brazzaville),COG,1980 Summer,1980,Summer,Moskva,Handball,Handball Women's Handball,,0,1839935.0,0.000414615,52.143,56.143,1705796850.0,927.0962561,0.000152303
10097,6991,Clara Monika Bakale,F,17.0,168.0,58.0,Congo (Brazzaville),COG,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 50 metres Freestyle,,0,2879222.0,0.000497054,43.168,52.677,2540697538.0,882.4250225,8.04e-05
10098,6991,Clara Monika Bakale,F,21.0,168.0,58.0,Congo (Brazzaville),COG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Backstroke,,0,3225727.0,0.000527245,41.305,51.397,3219910666.0,998.196892,9.58e-05
10099,6991,Clara Monika Bakale,F,25.0,168.0,58.0,Congo (Brazzaville),COG,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,,0,3605439.0,0.000560169,39.467,53.608,4648628921.0,1289.337837,0.000106133
10100,6992,Emile Rony Bakale,M,16.0,188.0,90.0,Congo (Brazzaville),COG,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 50 metres Freestyle,,0,3605439.0,0.000560169,39.467,53.608,4648628921.0,1289.337837,0.000106133
10101,6992,Emile Rony Bakale,M,20.0,188.0,90.0,Congo (Brazzaville),COG,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Freestyle,,0,4115435.0,0.000608455,37.659,58.321,11859013281.0,2881.594116,0.000186756
10102,6992,Emile Rony Bakale,M,24.0,188.0,90.0,Congo (Brazzaville),COG,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 50 metres Freestyle,,0,4633363.0,0.000652825,35.9,62.169,13677930124.0,2952.052348,0.000182616
10844,7507,Michelle Banga Moudzoula,F,16.0,178.0,57.0,Congo (Brazzaville),COG,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 200 metres,,0,3605439.0,0.000560169,39.467,53.608,4648628921.0,1289.337837,0.000106133
12245,8480,Jean-Pierre Bassegela,M,25.0,169.0,65.0,Congo (Brazzaville),COG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 200 metres,,0,1450518.0,0.000377845,59.285,53.987,410669262.9,283.1190395,0.000108931
12246,8480,Jean-Pierre Bassegela,M,25.0,169.0,65.0,Congo (Brazzaville),COG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1450518.0,0.000377845,59.285,53.987,410669262.9,283.1190395,0.000108931
12247,8480,Jean-Pierre Bassegela,M,33.0,169.0,65.0,Congo (Brazzaville),COG,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1839935.0,0.000414615,52.143,56.143,1705796850.0,927.0962561,0.000152303
13014,8979,Lorne Dorcas Bazolo,F,29.0,170.0,60.0,Congo (Brazzaville),COG,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,4633363.0,0.000652825,35.9,62.169,13677930124.0,2952.052348,0.000182616
14464,9844,Jean-Didiace Bmou,M,25.0,184.0,71.0,Congo (Brazzaville),COG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,,0,2068132.0,0.000434483,48.44,56.835,2193581366.0,1060.658297,0.000181288
14465,9844,Jean-Didiace Bmou,M,25.0,184.0,71.0,Congo (Brazzaville),COG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,,0,2068132.0,0.000434483,48.44,56.835,2193581366.0,1060.658297,0.000181288
