Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
4828,3341,Kongolo Amba,F,23.0,,,Congo (Kinshasa),COD,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,,0,42770544.0,0.007383693,66.711,49.04,5771454940.0,134.939947,0.000182641
4990,3459,Mobange Amisi,M,23.0,178.0,,Congo (Kinshasa),COD,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Road Race, Individual",,0,32444156.0,0.006354495,70.225,48.502,8861299977.0,273.1246878,0.000463942
4991,3459,Mobange Amisi,M,23.0,178.0,,Congo (Kinshasa),COD,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,32444156.0,0.006354495,70.225,48.502,8861299977.0,273.1246878,0.000463942
4992,3459,Mobange Amisi,M,27.0,178.0,,Congo (Kinshasa),COD,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",,0,37346147.0,0.006844791,68.494,49.311,8206227134.0,219.7342375,0.00032308
9351,6488,Momo Babungu,M,21.0,176.0,70.0,Congo (Kinshasa),COD,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Singles,,0,53034217.0,0.008239801,63.0,52.917,10297483481.0,194.1667863,0.000235102
9352,6488,Momo Babungu,M,21.0,176.0,70.0,Congo (Kinshasa),COD,2004 Summer,2004,Summer,Athina,Table Tennis,Table Tennis Men's Doubles,,0,53034217.0,0.008239801,63.0,52.917,10297483481.0,194.1667863,0.000235102
10233,7089,"Kungu ""Christine"" Bakombo",F,21.0,158.0,49.0,Congo (Kinshasa),COD,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 800 metres,,0,29121474.0,0.006117979,71.9,47.461,7857729193.0,269.8259433,0.000649399
10234,7089,"Kungu ""Christine"" Bakombo",F,26.0,158.0,49.0,Congo (Kinshasa),COD,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 400 metres,,0,32444156.0,0.006354495,70.225,48.502,8861299977.0,273.1246878,0.000463942
10235,7089,"Kungu ""Christine"" Bakombo",F,26.0,158.0,49.0,Congo (Kinshasa),COD,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 800 metres,,0,32444156.0,0.006354495,70.225,48.502,8861299977.0,273.1246878,0.000463942
10236,7089,"Kungu ""Christine"" Bakombo",F,29.0,158.0,49.0,Congo (Kinshasa),COD,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Marathon,,0,37346147.0,0.006844791,68.494,49.311,8206227134.0,219.7342375,0.00032308
10903,7541,Wabanko Banko,M,28.0,,,Congo (Kinshasa),COD,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Middleweight,,0,32444156.0,0.006354495,70.225,48.502,8861299977.0,273.1246878,0.000463942
11494,7934,Jean Barnabe,M,19.0,165.0,62.0,Congo (Kinshasa),COD,1968 Summer,1968,Summer,Mexico City,Cycling,"Cycling Men's Road Race, Individual",,0,18913203.0,0.00535054,75.866,43.208,3909780525.0,206.7222842,0.001602369
11495,7934,Jean Barnabe,M,19.0,165.0,62.0,Congo (Kinshasa),COD,1968 Summer,1968,Summer,Mexico City,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,18913203.0,0.00535054,75.866,43.208,3909780525.0,206.7222842,0.001602369
12521,8650,Luasa Batungile,M,24.0,189.0,75.0,Congo (Kinshasa),COD,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,,0,37346147.0,0.006844791,68.494,49.311,8206227134.0,219.7342375,0.00032308
19290,13309,Lileko Bonzali,F,27.0,180.0,72.0,Congo (Kinshasa),COD,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,,0,42770544.0,0.007383693,66.711,49.04,5771454940.0,134.939947,0.000182641
40686,28128,Lutuma Diabateza,M,21.0,,,Congo (Kinshasa),COD,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Flyweight,,0,29121474.0,0.006117979,71.9,47.461,7857729193.0,269.8259433,0.000649399
40931,28307,Dikanda Diba,F,21.0,171.0,62.0,Congo (Kinshasa),COD,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Women's 3,000 metres",,0,32444156.0,0.006354495,70.225,48.502,8861299977.0,273.1246878,0.000463942
76756,52237,Fubulume Inyama,M,25.0,,,Congo (Kinshasa),COD,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Middleweight,,0,29121474.0,0.006117979,71.9,47.461,7857729193.0,269.8259433,0.000649399
77028,52415,Ilualoma Isako,M,23.0,,,Congo (Kinshasa),COD,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Middleweight,,0,37346147.0,0.006844791,68.494,49.311,8206227134.0,219.7342375,0.00032308
83034,56501,Constantin Kabemba,M,25.0,175.0,75.0,Congo (Kinshasa),COD,1968 Summer,1968,Summer,Mexico City,Cycling,"Cycling Men's Road Race, Individual",,0,18913203.0,0.00535054,75.866,43.208,3909780525.0,206.7222842,0.001602369
83035,56501,Constantin Kabemba,M,25.0,175.0,75.0,Congo (Kinshasa),COD,1968 Summer,1968,Summer,Mexico City,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,18913203.0,0.00535054,75.866,43.208,3909780525.0,206.7222842,0.001602369
83059,56511,"Musungay ""Serge"" Kabongo",M,22.0,189.0,75.0,Congo (Kinshasa),COD,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Middleweight,,0,32444156.0,0.006354495,70.225,48.502,8861299977.0,273.1246878,0.000463942
83137,56575,Tshibalabala Kadima,M,26.0,187.0,96.0,Congo (Kinshasa),COD,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Super-Heavyweight,,0,32444156.0,0.006354495,70.225,48.502,8861299977.0,273.1246878,0.000463942
83218,56627,Ilunga Kafila,M,20.0,,,Congo (Kinshasa),COD,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 800 metres,,0,37346147.0,0.006844791,68.494,49.311,8206227134.0,219.7342375,0.00032308
83219,56627,Ilunga Kafila,M,20.0,,,Congo (Kinshasa),COD,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,,0,37346147.0,0.006844791,68.494,49.311,8206227134.0,219.7342375,0.00032308
83223,56630,Muenge Kafuanka,M,23.0,,,Congo (Kinshasa),COD,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Welterweight,,0,29121474.0,0.006117979,71.9,47.461,7857729193.0,269.8259433,0.000649399
83679,56952,Willy Mwenze Kalombo,M,24.0,176.0,63.0,Congo (Kinshasa),COD,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,,0,37346147.0,0.006844791,68.494,49.311,8206227134.0,219.7342375,0.00032308
83680,56952,Willy Mwenze Kalombo,M,28.0,176.0,63.0,Congo (Kinshasa),COD,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,,0,42770544.0,0.007383693,66.711,49.04,5771454940.0,134.939947,0.000182641
