Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
721,517,Glen Abrahams Martnez,M,22.0,179.0,72.0,Costa Rica,CRI,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,0,2659781.0,0.00055878,55.458,74.035,4593908719.0,1727.175553,0.000379662
722,517,Glen Abrahams Martnez,M,22.0,179.0,72.0,Costa Rica,CRI,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 200 metres,,0,2659781.0,0.00055878,55.458,74.035,4593908719.0,1727.175553,0.000379662
1740,1236,Andrey Alberto Aguilar Komissarov,M,19.0,178.0,72.0,Costa Rica,CRI,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 200 metres Breaststroke,,0,2389310.0,0.000538413,56.901,72.045,4831447001.0,2022.109731,0.000431379
1741,1236,Andrey Alberto Aguilar Komissarov,M,19.0,178.0,72.0,Costa Rica,CRI,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Butterfly,,0,2389310.0,0.000538413,56.901,72.045,4831447001.0,2022.109731,0.000431379
1742,1236,Andrey Alberto Aguilar Komissarov,M,19.0,178.0,72.0,Costa Rica,CRI,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 200 metres Butterfly,,0,2389310.0,0.000538413,56.901,72.045,4831447001.0,2022.109731,0.000431379
1743,1236,Andrey Alberto Aguilar Komissarov,M,19.0,178.0,72.0,Costa Rica,CRI,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 400 metres Individual Medley,,0,2389310.0,0.000538413,56.901,72.045,4831447001.0,2022.109731,0.000431379
1744,1236,Andrey Alberto Aguilar Komissarov,M,23.0,178.0,72.0,Costa Rica,CRI,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,,0,2659781.0,0.00055878,55.458,74.035,4593908719.0,1727.175553,0.000379662
1745,1236,Andrey Alberto Aguilar Komissarov,M,23.0,178.0,72.0,Costa Rica,CRI,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Butterfly,,0,2659781.0,0.00055878,55.458,74.035,4593908719.0,1727.175553,0.000379662
1746,1236,Andrey Alberto Aguilar Komissarov,M,23.0,178.0,72.0,Costa Rica,CRI,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Individual Medley,,0,2659781.0,0.00055878,55.458,74.035,4593908719.0,1727.175553,0.000379662
1769,1252,Luis Enrique Aguilar Brenes,M,16.0,179.0,71.0,Costa Rica,CRI,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Freestyle,,0,1746869.0,0.000494189,62.399,65.434,773841494.3,442.9877079,0.000317148
1776,1259,"Natalia Irina ""Natasha"" Aguilar Komissarova",F,18.0,163.0,54.0,Costa Rica,CRI,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Freestyle,,0,2944557.0,0.000576719,51.824,75.223,6063759371.0,2059.311255,0.000317474
1777,1259,"Natalia Irina ""Natasha"" Aguilar Komissarova",F,18.0,163.0,54.0,Costa Rica,CRI,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,,0,2944557.0,0.000576719,51.824,75.223,6063759371.0,2059.311255,0.000317474
3764,2616,Natalia Alfaro Paniagua,F,29.0,165.0,59.0,Costa Rica,CRI,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,,0,4857274.0,0.000652672,22.325,79.831,57435507212.0,11824.6381,0.000757724
4389,3062,"Jose Mainor de los Angeles ""Minor"" Alpzar Campos",M,26.0,172.0,65.0,Costa Rica,CRI,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,,0,2389310.0,0.000538413,56.901,72.045,4831447001.0,2022.109731,0.000431379
4390,3062,"Jose Mainor de los Angeles ""Minor"" Alpzar Campos",M,30.0,172.0,65.0,Costa Rica,CRI,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,,0,2659781.0,0.00055878,55.458,74.035,4593908719.0,1727.175553,0.000379662
4491,3129,Carlos Martin Alvarado Reyes,M,21.0,175.0,70.0,Costa Rica,CRI,1976 Summer,1976,Summer,Montreal,Cycling,"Cycling Men's Road Race, Individual",,0,2151497.0,0.000519792,58.302,69.648,2412555426.0,1121.338039,0.000375787
4497,3133,Mauricio Alvarado,M,,,,Costa Rica,CRI,1980 Summer,1980,Summer,Moskva,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",,0,2389310.0,0.000538413,56.901,72.045,4831447001.0,2022.109731,0.000431379
4498,3133,Mauricio Alvarado,M,,,,Costa Rica,CRI,1980 Summer,1980,Summer,Moskva,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",,0,2389310.0,0.000538413,56.901,72.045,4831447001.0,2022.109731,0.000431379
4530,3156,Jos Gabriel lvarez Saborio,M,23.0,,,Costa Rica,CRI,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Singles, Slalom",,0,3257466.0,0.000597027,48.17,76.016,8528593084.0,2618.167951,0.000335771
4599,3188,Roger Luciano de la Trinidad Alvarez Calvo,M,27.0,177.0,73.0,Costa Rica,CRI,1980 Summer,1980,Summer,Moskva,Football,Football Men's Football,,0,2389310.0,0.000538413,56.901,72.045,4831447001.0,2022.109731,0.000431379
4709,3270,Andrey Amador Bikkazakova,M,25.0,183.0,73.0,Costa Rica,CRI,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Road Race, Individual",,0,4654122.0,0.00065575,26.06,79.077,46473128286.0,9985.36959,0.000620469
4710,3270,Andrey Amador Bikkazakova,M,29.0,183.0,73.0,Costa Rica,CRI,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Road Race, Individual",,0,4857274.0,0.000652672,22.325,79.831,57435507212.0,11824.6381,0.000757724
