Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
589,432,Koutoua Francis Abia,M,26.0,180.0,80.0,Cote d'Ivoire,CIV,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",,0,13163019.0,0.002412514,59.912,51.605,11152971316.0,847.2958457,0.000439093
590,432,Koutoua Francis Abia,M,30.0,180.0,80.0,Cote d'Ivoire,CIV,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",,0,14995249.0,0.002588705,58.413,48.746,12139234939.0,809.5387372,0.000384153
591,432,Koutoua Francis Abia,M,42.0,180.0,80.0,Cote d'Ivoire,CIV,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",,0,19497986.0,0.00288272,50.966,49.321,24224903100.0,1242.431044,0.000381495
592,432,Koutoua Francis Abia,M,42.0,180.0,80.0,Cote d'Ivoire,CIV,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",,0,19497986.0,0.00288272,50.966,49.321,24224903100.0,1242.431044,0.000381495
1005,693,Gabriel Achy Assi,M,25.0,166.0,61.0,Cote d'Ivoire,CIV,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Lightweight,,0,4157965.0,0.001276153,76.993,39.488,921063266.4,221.5178017,0.000511702
1377,958,Denos Adjima Beche,M,,168.0,56.0,Cote d'Ivoire,CIV,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 1,500 metres",,0,4157965.0,0.001276153,76.993,39.488,921063266.4,221.5178017,0.000511702
1411,990,Adogon,M,,,,Cote d'Ivoire,CIV,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",,0,9826055.0,0.002064305,62.307,52.215,6841638715.0,696.275231,0.000565425
2011,1439,Murielle Ahour,F,24.0,165.0,58.0,Cote d'Ivoire,CIV,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,21418603.0,0.003017809,47.959,51.463,27040562587.0,1262.480218,0.000361022
2012,1439,Murielle Ahour,F,24.0,165.0,58.0,Cote d'Ivoire,CIV,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 200 metres,,0,21418603.0,0.003017809,47.959,51.463,27040562587.0,1262.480218,0.000361022
2013,1439,Murielle Ahour,F,28.0,165.0,58.0,Cote d'Ivoire,CIV,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,,0,23695919.0,0.003184021,45.131,53.582,36372613023.0,1534.973724,0.00047985
2014,1439,Murielle Ahour,F,28.0,165.0,58.0,Cote d'Ivoire,CIV,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,,0,23695919.0,0.003184021,45.131,53.582,36372613023.0,1534.973724,0.00047985
2194,1566,Kouadio Vincent Aka-Akesse,M,24.0,180.0,96.0,Cote d'Ivoire,CIV,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",,0,16686561.0,0.00272742,56.459,46.672,10717022463.0,642.254714,0.000318959
4191,2924,Amandine Allou Affou,F,20.0,160.0,52.0,Cote d'Ivoire,CIV,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,,0,16686561.0,0.00272742,56.459,46.672,10717022463.0,642.254714,0.000318959
4192,2924,Amandine Allou Affou,F,23.0,160.0,52.0,Cote d'Ivoire,CIV,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres,,0,17997738.0,0.002796266,53.825,47.205,16554441847.0,919.8068028,0.000377955
4193,2924,Amandine Allou Affou,F,27.0,160.0,52.0,Cote d'Ivoire,CIV,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,19497986.0,0.00288272,50.966,49.321,24224903100.0,1242.431044,0.000381495
