Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
777,549,Alen Abramovi,M,29.0,180.0,72.0,Croatia,HRV,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's Sprint,,0,4440000.0,0.000672888,43.392,75.83682927,50453577898.0,11363.41845,0.000981587
778,549,Alen Abramovi,M,29.0,180.0,72.0,Croatia,HRV,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,,0,4440000.0,0.000672888,43.392,75.83682927,50453577898.0,11363.41845,0.000981587
1597,1116,Eldijana Dana Aganovi (-Bentsen),F,24.0,173.0,59.0,Croatia,HRV,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Women's Doubles,,0,4494000.0,0.000775822,44.969,72.36536585,23678012697.0,5268.805674,0.000749304
1598,1116,Eldijana Dana Aganovi (-Bentsen),F,28.0,173.0,59.0,Croatia,HRV,2000 Summer,2000,Summer,Sydney,Table Tennis,Table Tennis Women's Singles,,0,4426000.0,0.00072343,44.413,72.80780488,21774273832.0,4919.628069,0.000648044
1599,1116,Eldijana Dana Aganovi (-Bentsen),F,28.0,173.0,59.0,Croatia,HRV,2000 Summer,2000,Summer,Sydney,Table Tennis,Table Tennis Women's Doubles,,0,4426000.0,0.00072343,44.413,72.80780488,21774273832.0,4919.628069,0.000648044
3222,2256,Vladan Alanovi,M,25.0,190.0,81.0,Croatia,HRV,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Silver,0,4470000.0,0.00081926,45.525,71.24146341,,0,
3223,2256,Vladan Alanovi,M,29.0,190.0,81.0,Croatia,HRV,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,,0,4494000.0,0.000775822,44.969,72.36536585,23678012697.0,5268.805674,0.000749304
3920,2739,Mirko Alilovi,M,22.0,200.0,110.0,Croatia,HRV,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,,0,4434508.0,0.000655629,42.952,75.91219512,70481451814.0,15893.86056,0.001109944
3921,2739,Mirko Alilovi,M,26.0,200.0,110.0,Croatia,HRV,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Bronze,0,4267558.0,0.000601285,41.926,76.92439024,56485301967.0,13235.97757,0.000754143
5299,3659,Mario Ani,M,16.0,195.0,84.0,Croatia,HRV,2000 Summer,2000,Summer,Sydney,Tennis,Tennis Men's Doubles,,0,4426000.0,0.00072343,44.413,72.80780488,21774273832.0,4919.628069,0.000648044
5300,3659,Mario Ani,M,20.0,195.0,84.0,Croatia,HRV,2004 Summer,2004,Summer,Athina,Tennis,Tennis Men's Singles,,0,4439000.0,0.000689677,43.783,75.5202439,41574530816.0,9365.742468,0.00094919
5301,3659,Mario Ani,M,20.0,195.0,84.0,Croatia,HRV,2004 Summer,2004,Summer,Athina,Tennis,Tennis Men's Doubles,Bronze,0,4439000.0,0.000689677,43.783,75.5202439,41574530816.0,9365.742468,0.00094919
6609,4637,Marija Anzulovi,F,31.0,178.0,65.0,Croatia,HRV,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,,0,4426000.0,0.00072343,44.413,72.80780488,21774273832.0,4919.628069,0.000648044
6955,4847,Franjo Arapovi,M,27.0,211.0,120.0,Croatia,HRV,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Silver,0,4470000.0,0.00081926,45.525,71.24146341,,0,
8313,5807,Damir Atikovi,M,25.0,,,Croatia,HRV,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Men's Doubles,,0,4494000.0,0.000775822,44.969,72.36536585,23678012697.0,5268.805674,0.000749304
9287,6456,Luka Babi,M,24.0,202.0,94.0,Croatia,HRV,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,,0,4170600.0,0.000560404,40.716,78.02195122,50714957391.0,12160.11063,0.000669063
