Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
108,70,Jess Iory Aball Martnez,M,26.0,167.0,65.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Diving,Diving Men's Platform,,0,11150736.0,0.001822589,24.677,76.658,30565400000.0,2741.110542,0.000909685
109,71,Juan Antonio Aball Delgado,M,27.0,172.0,82.0,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",,0,10733363.0,0.001967208,26.173,74.807,22085858243.0,2057.682969,0.000869522
110,71,Juan Antonio Aball Delgado,M,27.0,172.0,82.0,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",,0,10733363.0,0.001967208,26.173,74.807,22085858243.0,2057.682969,0.000869522
550,400,Yaritza Abel Rojas,F,28.0,,62.0,Cuba,CUB,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Middleweight,,0,11382146.0,0.001603706,23.219,79.167,73141000000.0,6425.941119,0.000976515
804,564,Eloy Abreu Morales,M,20.0,160.0,54.0,Cuba,CUB,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Flyweight, Freestyle",,0,9544271.0,0.002305852,34.982,72.55,13789579903.0,1444.801798,0.00214791
818,570,Pedro Abreu Pascal,M,23.0,200.0,88.0,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Men's Basketball,,0,9835177.0,0.002216283,31.894,73.803,19912889861.0,2024.66004,0.001777937
933,637,Eusebio Acea Colarte,M,31.0,190.0,95.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,,0,11150736.0,0.001822589,24.677,76.658,30565400000.0,2741.110542,0.000909685
934,638,Raidel Acea Morales,M,21.0,,,Cuba,CUB,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,,0,11382146.0,0.001603706,23.219,79.167,73141000000.0,6425.941119,0.000976515
1032,709,Asuncin Acosta Galano,F,18.0,169.0,52.0,Cuba,CUB,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 400 metres,,0,9025300.0,0.002350997,38.2,70.791,8135150892.0,901.3717984,0.002157865
1033,709,Asuncin Acosta Galano,F,18.0,169.0,52.0,Cuba,CUB,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 4 x 400 metres Relay,,0,9025300.0,0.002350997,38.2,70.791,8135150892.0,901.3717984,0.002157865
1052,723,Osmay Acosta Duarte,M,23.0,188.0,91.0,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Heavyweight,Bronze,0,11309754.0,0.001672114,23.587,78.672,60806300000.0,5376.447622,0.00095758
1202,833,Odalys Adams Castillo,F,25.0,171.0,59.0,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 100 metres Hurdles,,0,10733363.0,0.001967208,26.173,74.807,22085858243.0,2057.682969,0.000869522
1692,1198,Jess Agramonte Terry,M,21.0,191.0,80.0,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Handball,Handball Men's Handball,,0,9835177.0,0.002216283,31.894,73.803,19912889861.0,2024.66004,0.001777937
1711,1215,Ernesto Agero Shell,M,22.0,,163.0,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Super-Heavyweight,,0,10733363.0,0.001967208,26.173,74.807,22085858243.0,2057.682969,0.000869522
1715,1221,"Taismary ""Tai"" Agero Leiva (-Botteghi)",F,23.0,175.0,70.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Gold,0,11150736.0,0.001822589,24.677,76.658,30565400000.0,2741.110542,0.000909685
1726,1232,Judith guila Hernndez,F,19.0,192.0,80.0,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,,0,10733363.0,0.001967208,26.173,74.807,22085858243.0,2057.682969,0.000869522
1727,1232,Judith guila Hernndez,F,23.0,192.0,80.0,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,,0,10961012.0,0.001892254,25.574,75.683,25017300000.0,2282.389619,0.000791687
1764,1249,Jos Aguilar Pulsn,M,20.0,173.0,64.0,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Light-Welterweight,Bronze,0,9835177.0,0.002216283,31.894,73.803,19912889861.0,2024.66004,0.001777937
1766,1251,Karel Aguilar Chacn,M,24.0,175.0,85.0,Cuba,CUB,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",,0,11266941.0,0.001750518,23.959,77.663,38203000000.0,3390.716256,0.000872215
1767,1251,Karel Aguilar Chacn,M,28.0,175.0,85.0,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",,0,11309754.0,0.001672114,23.587,78.672,60806300000.0,5376.447622,0.00095758
1768,1251,Karel Aguilar Chacn,M,28.0,175.0,85.0,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",,0,11309754.0,0.001672114,23.587,78.672,60806300000.0,5376.447622,0.00095758
1787,1265,Yulenmis Aguilar Martnez,F,20.0,165.0,66.0,Cuba,CUB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Javelin Throw,,0,11475982.0,0.001542028,22.816,79.742,,0,
1790,1268,Esteban Aguilera Leiva,M,18.0,169.0,60.0,Cuba,CUB,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Lightweight,,0,7141135.0,0.002353553,41.599,63.834,,0,
1792,1270,Jorge Luis Aguilera Ruiz,M,26.0,172.0,64.0,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,0,10733363.0,0.001967208,26.173,74.807,22085858243.0,2057.682969,0.000869522
1794,1272,Yosvany Aguilera Zamora,M,21.0,163.0,54.0,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Flyweight,,0,10961012.0,0.001892254,25.574,75.683,25017300000.0,2282.389619,0.000791687
1795,1272,Yosvany Aguilera Zamora,M,25.0,163.0,54.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Boxing,Boxing Men's Featherweight,,0,11150736.0,0.001822589,24.677,76.658,30565400000.0,2741.110542,0.000909685
1809,1283,Jeinkler Ernesto Aguirre Manso,M,18.0,165.0,57.0,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Platform,,0,11309754.0,0.001672114,23.587,78.672,60806300000.0,5376.447622,0.00095758
1810,1283,Jeinkler Ernesto Aguirre Manso,M,22.0,165.0,57.0,Cuba,CUB,2012 Summer,2012,Summer,London,Diving,Diving Men's Platform,,0,11382146.0,0.001603706,23.219,79.167,73141000000.0,6425.941119,0.000976515
1811,1283,Jeinkler Ernesto Aguirre Manso,M,22.0,165.0,57.0,Cuba,CUB,2012 Summer,2012,Summer,London,Diving,Diving Men's Synchronized Platform,,0,11382146.0,0.001603706,23.219,79.167,73141000000.0,6425.941119,0.000976515
2175,1554,Omar Ajete Iglesias,M,27.0,175.0,93.0,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,Gold,0,10733363.0,0.001967208,26.173,74.807,22085858243.0,2057.682969,0.000869522
