Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1707,1210,Spyros Agrotis,M,22.0,170.0,59.0,Cyprus,CYP,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",,0,697717.0,0.00014658,35.748,75.541,2278248953.0,3265.290874,0.000188285
2297,1640,Giorgos Akhilleos,M,19.0,172.0,75.0,Cyprus,CYP,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Men's Skeet,,0,943286.0,0.00015418,31.352,78.01,10183317625.0,10795.57804,0.000303075
2298,1640,Giorgos Akhilleos,M,23.0,172.0,75.0,Cyprus,CYP,2004 Summer,2004,Summer,Athina,Shooting,Shooting Men's Skeet,,0,1010410.0,0.000156985,31.59,78.506,17422375000.0,17242.87665,0.000397771
2299,1640,Giorgos Akhilleos,M,27.0,172.0,75.0,Cyprus,CYP,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Skeet,,0,1081563.0,0.000159906,32.161,79.071,27839460964.0,25740.02713,0.000438417
2300,1640,Giorgos Akhilleos,M,31.0,172.0,75.0,Cyprus,CYP,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Skeet,,0,1135062.0,0.000159926,32.739,79.81,25041372222.0,22061.67788,0.000334331
5797,4114,Antonis Andreou,M,21.0,175.0,64.0,Cyprus,CYP,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Skeet,,0,873423.0,0.000150783,31.839,77.456,9899623588.0,11334.28315,0.000313279
5798,4114,Antonis Andreou,M,25.0,175.0,64.0,Cyprus,CYP,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Men's Skeet,,0,943286.0,0.00015418,31.352,78.01,10183317625.0,10795.57804,0.000303075
5799,4114,Antonis Andreou,M,37.0,175.0,64.0,Cyprus,CYP,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Skeet,,0,1135062.0,0.000159926,32.739,79.81,25041372222.0,22061.67788,0.000334331
5800,4115,Georgios Andreou,M,26.0,189.0,76.0,Cyprus,CYP,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Decathlon,,0,943286.0,0.00015418,31.352,78.01,10183317625.0,10795.57804,0.000303075
5801,4117,Panagiota Andreou,F,16.0,162.0,55.0,Cyprus,CYP,2012 Summer,2012,Summer,London,Shooting,Shooting Women's Skeet,,0,1135062.0,0.000159926,32.739,79.81,25041372222.0,22061.67788,0.000334331
6950,4843,Dimitrios Araouzos,M,23.0,174.0,65.0,Cyprus,CYP,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Long Jump,,0,697717.0,0.00014658,35.748,75.541,2278248953.0,3265.290874,0.000188285
7133,4999,Alexandros Aresti,M,17.0,188.0,80.0,Cyprus,CYP,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Freestyle,,0,943286.0,0.00015418,31.352,78.01,10183317625.0,10795.57804,0.000303075
7134,4999,Alexandros Aresti,M,21.0,188.0,80.0,Cyprus,CYP,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,,0,1010410.0,0.000156985,31.59,78.506,17422375000.0,17242.87665,0.000397771
7135,4999,Alexandros Aresti,M,21.0,188.0,80.0,Cyprus,CYP,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Freestyle,,0,1010410.0,0.000156985,31.59,78.506,17422375000.0,17242.87665,0.000397771
7136,5000,Neofitos Aresti,M,22.0,176.0,64.0,Cyprus,CYP,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Lightweight,,0,685406.0,0.000154451,41.386,74.79,2154311277.0,3143.117039,0.000192349
7241,5080,Lina Aristodimou (-Kouyoumdjian),F,14.0,162.0,51.0,Cyprus,CYP,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing,Alpine Skiing Women's Giant Slalom,,0,685406.0,0.000154451,41.386,74.79,2154311277.0,3143.117039,0.000192349
7242,5080,Lina Aristodimou (-Kouyoumdjian),F,14.0,162.0,51.0,Cyprus,CYP,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing,Alpine Skiing Women's Slalom,,0,685406.0,0.000154451,41.386,74.79,2154311277.0,3143.117039,0.000192349
7243,5080,Lina Aristodimou (-Kouyoumdjian),F,18.0,162.0,51.0,Cyprus,CYP,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,,0,697717.0,0.00014658,35.748,75.541,2278248953.0,3265.290874,0.000188285
7244,5080,Lina Aristodimou (-Kouyoumdjian),F,18.0,162.0,51.0,Cyprus,CYP,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Women's Slalom,,0,697717.0,0.00014658,35.748,75.541,2278248953.0,3265.290874,0.000188285
7245,5081,Sokratis Aristodimou,M,17.0,,,Cyprus,CYP,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Super G,,0,736479.0,0.000144246,34.055,76.23,4278792597.0,5809.795795,0.000224021
7246,5081,Sokratis Aristodimou,M,17.0,,,Cyprus,CYP,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,736479.0,0.000144246,34.055,76.23,4278792597.0,5809.795795,0.000224021
7247,5081,Sokratis Aristodimou,M,17.0,,,Cyprus,CYP,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Slalom,,0,736479.0,0.000144246,34.055,76.23,4278792597.0,5809.795795,0.000224021
7248,5081,Sokratis Aristodimou,M,21.0,,,Cyprus,CYP,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,,0,800609.0,0.000146735,32.402,76.865,6912150456.0,8633.61573,0.000272132
7249,5081,Sokratis Aristodimou,M,21.0,,,Cyprus,CYP,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,800609.0,0.000146735,32.402,76.865,6912150456.0,8633.61573,0.000272132
7250,5081,Sokratis Aristodimou,M,21.0,,,Cyprus,CYP,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Slalom,,0,800609.0,0.000146735,32.402,76.865,6912150456.0,8633.61573,0.000272132
7717,5393,Eleni Artymata,F,22.0,177.0,62.0,Cyprus,CYP,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 200 metres,,0,1081563.0,0.000159906,32.161,79.071,27839460964.0,25740.02713,0.000438417
