Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1095,766,Ji Adam,M,25.0,187.0,83.0,Czechoslovakia,CZE,1976 Summer,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Individual,,0,10125939.0,0.002446381,28.982,70.53268293,,0,
1096,766,Ji Adam,M,25.0,187.0,83.0,Czechoslovakia,CZE,1976 Summer,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,Silver,0,10125939.0,0.002446381,28.982,70.53268293,,0,
1097,766,Ji Adam,M,29.0,187.0,83.0,Czechoslovakia,CZE,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Team",,0,10304193.0,0.002321972,24.833,70.27804878,,0,
1123,788,Lubo Adamec,M,29.0,184.0,77.0,Czechoslovakia,CZE,1988 Summer,1988,Summer,Seoul,Shooting,Shooting Mixed Skeet,,0,10355276.0,0.002028179,24.722,71.64146341,,0,
1124,788,Lubo Adamec,M,33.0,184.0,77.0,Czechoslovakia,CZE,1992 Summer,1992,Summer,Barcelona,Shooting,Shooting Mixed Skeet,,0,10319123.0,0.001891286,24.97,72.27170732,34590052812.0,3352.034161,0.001361813
1125,789,Petr Adamec,M,20.0,187.0,87.0,Czechoslovakia,CZE,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 200 metres Freestyle,,0,10304193.0,0.002321972,24.833,70.27804878,,0,
1126,789,Petr Adamec,M,20.0,187.0,87.0,Czechoslovakia,CZE,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 400 metres Freestyle,,0,10304193.0,0.002321972,24.833,70.27804878,,0,
1127,789,Petr Adamec,M,20.0,187.0,87.0,Czechoslovakia,CZE,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,0,10304193.0,0.002321972,24.833,70.27804878,,0,
1130,792,Jina Adamikov-Pelcov,F,22.0,173.0,62.0,Czechoslovakia,CZE,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Women's 7.5 kilometres Sprint,,0,10319123.0,0.001891286,24.97,72.27170732,34590052812.0,3352.034161,0.001361813
1131,792,Jina Adamikov-Pelcov,F,22.0,173.0,62.0,Czechoslovakia,CZE,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Women's 15 kilometres,,0,10319123.0,0.001891286,24.97,72.27170732,34590052812.0,3352.034161,0.001361813
1132,792,Jina Adamikov-Pelcov,F,22.0,173.0,62.0,Czechoslovakia,CZE,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Women's 3 x 7.5 kilometres Relay,,0,10319123.0,0.001891286,24.97,72.27170732,34590052812.0,3352.034161,0.001361813
1133,792,Jina Adamikov-Pelcov,F,24.0,173.0,62.0,Czech Republic,CZE,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 7.5 kilometres Sprint,,0,10333587.0,0.001837134,25.228,72.97268293,47554674591.0,4601.952312,0.0017106
1134,792,Jina Adamikov-Pelcov,F,24.0,173.0,62.0,Czech Republic,CZE,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 15 kilometres,,0,10333587.0,0.001837134,25.228,72.97268293,47554674591.0,4601.952312,0.0017106
1135,792,Jina Adamikov-Pelcov,F,24.0,173.0,62.0,Czech Republic,CZE,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,,0,10333587.0,0.001837134,25.228,72.97268293,47554674591.0,4601.952312,0.0017106
1136,792,Jina Adamikov-Pelcov,F,28.0,173.0,62.0,Czech Republic,CZE,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Women's 7.5 kilometres Sprint,,0,10294373.0,0.001728045,25.749,74.51463415,66490372105.0,6458.904501,0.002124293
1137,792,Jina Adamikov-Pelcov,F,28.0,173.0,62.0,Czech Republic,CZE,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Women's 15 kilometres,,0,10294373.0,0.001728045,25.749,74.51463415,66490372105.0,6458.904501,0.002124293
1138,792,Jina Adamikov-Pelcov,F,28.0,173.0,62.0,Czech Republic,CZE,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,,0,10294373.0,0.001728045,25.749,74.51463415,66490372105.0,6458.904501,0.002124293
3658,2560,Jaroslav Alexa,M,19.0,185.0,78.0,Czechoslovakia,CZE,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's High Jump,,0,9876346.0,0.002794016,36.544,69.84073171,,0,
3659,2560,Jaroslav Alexa,M,23.0,185.0,78.0,Czechoslovakia,CZE,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's High Jump,,0,9867632.0,0.002570415,33.516,70.17658537,,0,
3931,2748,Jan Alin,M,21.0,188.0,79.0,Czech Republic,CZE,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,,0,10333587.0,0.001837134,25.228,72.97268293,47554674591.0,4601.952312,0.0017106
