Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1631,1143,Jesper Agergrd Jensen,M,25.0,180.0,69.0,Denmark,DNK,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Mountainbike, Cross-Country",,0,5339616.0,0.000872761,14.9,76.59268293,164000000000.0,30713.81912,0.004880952
1870,1334,Flemming Ahlberg,M,25.0,175.0,63.0,Denmark,DNK,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,,0,4991596.0,0.001300259,19.269,73.43902439,23232411898.0,4654.305336,0.006162443
2476,1759,Hasan Al,M,24.0,173.0,67.0,Denmark,DNK,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Welterweight,,0,5263074.0,0.000908591,14.994,75.59146341,188000000000.0,35720.56939,0.005949367
3337,2348,Johnny Albertsen,M,16.0,170.0,75.0,Denmark,DNK,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Giant Slalom,,0,5206180.0,0.000925569,15.048,75.37512195,156000000000.0,29964.38848,0.005611511
3338,2348,Johnny Albertsen,M,32.0,170.0,75.0,Denmark,DNK,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Downhill,,0,5547683.0,0.000800456,13.205,79.1,322000000000.0,58042.24935,0.004878788
3339,2348,Johnny Albertsen,M,32.0,170.0,75.0,Denmark,DNK,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Super G,,0,5547683.0,0.000800456,13.205,79.1,322000000000.0,58042.24935,0.004878788
5340,3690,Anja Jul Andersen,F,27.0,178.0,,Denmark,DNK,1996 Summer,1996,Summer,Atlanta,Handball,Handball Women's Handball,Gold,0,5263074.0,0.000908591,14.994,75.59146341,188000000000.0,35720.56939,0.005949367
5341,3691,Anne Dsane Andersen,F,23.0,183.0,86.0,Denmark,DNK,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxless Pairs,Bronze,0,5731118.0,0.000770091,12.153,80.70487805,307000000000.0,53567.20975,0.004050132
5343,3695,Arne Andersen,M,28.0,185.0,82.0,Denmark,DNK,1972 Summer,1972,Summer,Munich,Handball,Handball Men's Handball,,0,4991596.0,0.001300259,19.269,73.43902439,23232411898.0,4654.305336,0.006162443
5344,3699,Bjrn Andersen,M,29.0,175.0,71.0,Denmark,DNK,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Pole Vault,,0,4579603.0,0.001509331,26.313,72.17658537,6248946880.0,1364.51716,0.004561275
5345,3700,Brge Kaas Andersen (-Kaas-Andersen),M,23.0,186.0,83.0,Denmark,DNK,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxless Fours,,0,4579603.0,0.001509331,26.313,72.17658537,6248946880.0,1364.51716,0.004561275
5346,3701,Camilla Rseler Andersen,F,23.0,169.0,65.0,Denmark,DNK,1996 Summer,1996,Summer,Atlanta,Handball,Handball Women's Handball,Gold,0,5263074.0,0.000908591,14.994,75.59146341,188000000000.0,35720.56939,0.005949367
5347,3701,Camilla Rseler Andersen,F,27.0,169.0,65.0,Denmark,DNK,2000 Summer,2000,Summer,Sydney,Handball,Handball Women's Handball,Gold,0,5339616.0,0.000872761,14.9,76.59268293,164000000000.0,30713.81912,0.004880952
5351,3710,Christian Foget Andersen,M,25.0,,,Denmark,DNK,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",,0,5171370.0,0.000947807,15.102,75.19414634,153000000000.0,29585.97045,0.006023622
