Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
336,254,Talal Omar Abdillahi,M,21.0,170.0,57.0,Djibouti,DJI,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 10,000 metres",,0,528999.0,0.000103609,24.452,56.271,395794538.6,748.1952491,2.07e-05
337,254,Talal Omar Abdillahi,M,25.0,170.0,57.0,Djibouti,DJI,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,,0,615054.0,0.000112727,23.839,56.943,478058304.9,777.2623296,1.88e-05
830,578,Bourhan Abro,M,21.0,180.0,70.0,Djibouti,DJI,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,,0,942333.0,0.000126621,22.57,62.465,,0,
1315,919,Hoche Yaya Aden,M,21.0,180.0,47.0,Djibouti,DJI,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 1,500 metres",,0,528999.0,0.000103609,24.452,56.271,395794538.6,748.1952491,2.07e-05
3882,2707,Zourah Mohamed Ali,F,17.0,162.0,53.0,Djibouti,DJI,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 400 metres,,0,881185.0,0.000124156,22.883,61.31,1353632942.0,1536.150686,1.81e-05
3886,2711,Fathia Ali Bouraleh,F,20.0,,,Djibouti,DJI,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,822934.0,0.000121668,23.101,59.345,999105339.3,1214.077118,1.57e-05
3895,2720,Roda Ali Wais,F,16.0,158.0,52.0,Djibouti,DJI,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 800 metres,,0,717584.0,0.000117289,23.468,57.021,551230861.9,768.1760768,1.64e-05
29022,19925,Omar Abdillahi Charmarke Cochine,M,,178.0,60.0,Djibouti,DJI,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,,0,406017.0,8.53e-05,25.285,55.174,,0,
41797,28852,Houssein Djama Egueh,M,24.0,180.0,60.0,Djibouti,DJI,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",,0,615054.0,0.000112727,23.839,56.943,478058304.9,777.2623296,1.88e-05
49406,34011,Mahamoud Farah,M,19.0,,,Djibouti,DJI,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",,0,822934.0,0.000121668,23.101,59.345,999105339.3,1214.077118,1.57e-05
49414,34015,Yasmin Farah Hassan,F,18.0,,,Djibouti,DJI,2012 Summer,2012,Summer,London,Table Tennis,Table Tennis Women's Singles,,0,881185.0,0.000124156,22.883,61.31,1353632942.0,1536.150686,1.81e-05
