Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1602,1118,Francilla Agar (-Schofield),F,25.0,170.0,55.0,Dominica,DMA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,,0,69676.0,1.14e-05,34.735,,335845814.8,4820.107566,1e-05
1605,1120,"Steven Kirwan ""Steve"" Agar",M,28.0,182.0,72.0,Dominica,DMA,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 1,500 metres",,0,71145.0,1.23e-05,35.082,,236444444.4,3323.416184,7.48e-06
36740,25200,Marcia Fernanda Daniel,F,22.0,172.0,64.0,Dominica,DMA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 400 metres,,0,69676.0,1.14e-05,34.735,,335845814.8,4820.107566,1e-05
40651,28109,Gary di Silvestri,M,47.0,183.0,82.0,Dominica,DMA,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,,0,72778.0,1e-05,30.744,,523666347.4,7195.39349,6.63e-06
44658,30802,Yordanys Duraona Garca,M,28.0,185.0,83.0,Dominica,DMA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,,0,73543.0,9.88e-06,30.18,,581484031.9,7906.721672,7.67e-06
55332,37802,Luan Gabriel,F,16.0,170.0,45.0,Dominica,DMA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 200 metres,,0,72044.0,1.02e-05,31.319,,485997988.1,6745.849593,6.49e-06
67716,46153,Cedric Harris,M,29.0,178.0,70.0,Dominica,DMA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 800 metres,,0,71145.0,1.23e-05,35.082,,236444444.4,3323.416184,7.48e-06
75057,51170,Erison George Hurtault,M,23.0,178.0,78.0,Dominica,DMA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,,0,71074.0,1.05e-05,32.498,,458190185.2,6446.663832,7.22e-06
75058,51170,Erison George Hurtault,M,27.0,178.0,78.0,Dominica,DMA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 400 metres,,0,72044.0,1.02e-05,31.319,,485997988.1,6745.849593,6.49e-06
78751,53508,Sherwin Eric James,M,22.0,180.0,78.0,Dominica,DMA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 200 metres,,0,69676.0,1.14e-05,34.735,,335845814.8,4820.107566,1e-05
82317,55952,Hermin Joseph,F,31.0,155.0,52.0,Dominica,DMA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 100 metres,,0,71145.0,1.23e-05,35.082,,236444444.4,3323.416184,7.48e-06
82325,55958,Marie-Lyne Joseph,F,21.0,170.0,59.0,Dominica,DMA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 800 metres,,0,70379.0,1.09e-05,33.701,,374771481.5,5325.046981,8.56e-06
98232,65831,Thea LaFond,F,22.0,173.0,65.0,Dominica,DMA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Triple Jump,,0,73543.0,9.88e-06,30.18,,581484031.9,7906.721672,7.67e-06
100230,67340,"Woodrow ""Woody"" Lawrence",M,29.0,,,Dominica,DMA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 50 metres Freestyle,,0,71145.0,1.23e-05,35.082,,236444444.4,3323.416184,7.48e-06
105829,70846,Chris Joey Lloyd,M,23.0,173.0,68.0,Dominica,DMA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,,0,70379.0,1.09e-05,33.701,,374771481.5,5325.046981,8.56e-06
105830,70846,Chris Joey Lloyd,M,27.0,173.0,68.0,Dominica,DMA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,,0,71074.0,1.05e-05,32.498,,458190185.2,6446.663832,7.22e-06
112520,75264,Kenneth Maronie,M,20.0,185.0,68.0,Dominica,DMA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,,0,69676.0,1.14e-05,34.735,,335845814.8,4820.107566,1e-05
153123,102199,Jrme Romain,M,25.0,183.0,76.0,Dominica,DMA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Triple Jump,,0,71145.0,1.23e-05,35.082,,236444444.4,3323.416184,7.48e-06
195608,130578,Dawn Williams (-Sewer),F,22.0,160.0,54.0,Dominica,DMA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 800 metres,,0,71145.0,1.23e-05,35.082,,236444444.4,3323.416184,7.48e-06
