Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1183,819,John E. Adams,M,24.0,178.0,95.0,Dominican Republic,DOM,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Half-Heavyweight,,0,6351572.0,0.001334369,46.404,64.714,10330399700.0,1626.43196,0.000853752
3526,2468,Blanca Iris Alejo Tejeda,F,26.0,152.0,45.0,Dominican Republic,DOM,1988 Summer,1988,Summer,Seoul,Table Tennis,Table Tennis Women's Singles,,0,6903316.0,0.00135208,45.316,66.812,5374315190.0,778.5121223,0.000281378
3527,2468,Blanca Iris Alejo Tejeda,F,34.0,152.0,45.0,Dominican Republic,DOM,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Women's Singles,,0,8029113.0,0.001386106,41.563,69.837,18131813001.0,2258.25854,0.000573792
4577,3180,Mario V. lvarez Soto,M,28.0,,,Dominican Republic,DOM,1988 Summer,1988,Summer,Seoul,Table Tennis,Table Tennis Men's Singles,,0,6903316.0,0.00135208,45.316,66.812,5374315190.0,778.5121223,0.000281378
4578,3180,Mario V. lvarez Soto,M,28.0,,,Dominican Republic,DOM,1988 Summer,1988,Summer,Seoul,Table Tennis,Table Tennis Men's Doubles,,0,6903316.0,0.00135208,45.316,66.812,5374315190.0,778.5121223,0.000281378
5092,3521,Jorge Amparo,M,22.0,175.0,71.0,Dominican Republic,DOM,1976 Summer,1976,Summer,Montreal,Boxing,Boxing Men's Light-Middleweight,,0,5280723.0,0.001275799,53.193,61.417,3951399900.0,748.2687314,0.000615483
6012,4248,Youndry Andjar de la Cruz,M,26.0,171.0,60.0,Dominican Republic,DOM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,,0,10648791.0,0.001430878,20.159,73.861,71583553488.0,6722.223536,0.000944374
6800,4756,Fabio Aquino,M,24.0,,,Dominican Republic,DOM,1992 Summer,1992,Summer,Barcelona,Baseball,Baseball Men's Baseball,,0,7468551.0,0.001368834,44.233,68.749,11277676880.0,1510.022075,0.000444003
7192,5043,Cndida Estefany Arias Prez,F,20.0,194.0,68.0,Dominican Republic,DOM,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,,0,10154950.0,0.001430798,23.961,73.098,60613645121.0,5968.876767,0.000809261
7207,5055,Wellington Arias Romero,M,21.0,170.0,,Dominican Republic,DOM,2012 Summer,2012,Summer,London,Boxing,Boxing Men's Lightweight,,0,10154950.0,0.001430798,23.961,73.098,60613645121.0,5968.876767,0.000809261
7534,5287,Juana Rosario Arrendel,F,17.0,188.0,72.0,Dominican Republic,DOM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's High Jump,,0,8029113.0,0.001386106,41.563,69.837,18131813001.0,2258.25854,0.000573792
