Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
532,394,Irene Abel,F,19.0,160.0,48.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Individual All-Around,,0,17011000.0,0.004431188,,,,0,
533,394,Irene Abel,F,19.0,160.0,48.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,Silver,0,17011000.0,0.004431188,,,,0,
534,394,Irene Abel,F,19.0,160.0,48.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Floor Exercise,,0,17011000.0,0.004431188,,,,0,
535,394,Irene Abel,F,19.0,160.0,48.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Horse Vault,,0,17011000.0,0.004431188,,,,0,
536,394,Irene Abel,F,19.0,160.0,48.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Uneven Bars,,0,17011000.0,0.004431188,,,,0,
537,394,Irene Abel,F,19.0,160.0,48.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Balance Beam,,0,17011000.0,0.004431188,,,,0,
597,435,Silke Abicht,F,19.0,156.0,46.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Diving,Diving Women's Platform,,0,16675000.0,0.003265956,,,,0,
1104,771,Marianne Adam,F,20.0,183.0,85.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's Shot Put,,0,17011000.0,0.004431188,,,,0,
1105,771,Marianne Adam,F,24.0,183.0,85.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's Shot Put,,0,16767000.0,0.004050831,,,,0,
1273,892,Peter Adeberg,M,19.0,185.0,75.0,East Germany,GDR,1988 Winter,1988,Winter,Calgary,Speed Skating,Speed Skating Men's 500 metres,,0,16675000.0,0.003265956,,,,0,
1274,892,Peter Adeberg,M,19.0,185.0,75.0,East Germany,GDR,1988 Winter,1988,Winter,Calgary,Speed Skating,"Speed Skating Men's 1,000 metres",,0,16675000.0,0.003265956,,,,0,
1275,892,Peter Adeberg,M,19.0,185.0,75.0,East Germany,GDR,1988 Winter,1988,Winter,Calgary,Speed Skating,"Speed Skating Men's 1,500 metres",,0,16675000.0,0.003265956,,,,0,
2017,1443,Brigitte Ahrenholz,F,23.0,178.0,85.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Eights,Gold,0,16767000.0,0.004050831,,,,0,
3340,2350,Kristina Albertus (Hauer-),F,26.0,170.0,60.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's Long Jump,,0,17011000.0,0.004431188,,,,0,
3366,2369,Fredi Albrecht,M,25.0,187.0,100.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",,0,17011000.0,0.004431188,,,,0,
3367,2369,Fredi Albrecht,M,29.0,187.0,100.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",,0,16767000.0,0.004050831,,,,0,
3378,2378,Sylvia Albrecht (-Heckendorf),F,17.0,165.0,57.0,East Germany,GDR,1980 Winter,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Women's 1,000 metres",Bronze,0,16740000.0,0.003772232,,,,0,
3379,2378,Sylvia Albrecht (-Heckendorf),F,17.0,165.0,57.0,East Germany,GDR,1980 Winter,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Women's 1,500 metres",,0,16740000.0,0.003772232,,,,0,
3380,2378,Sylvia Albrecht (-Heckendorf),F,17.0,165.0,57.0,East Germany,GDR,1980 Winter,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Women's 3,000 metres",,0,16740000.0,0.003772232,,,,0,
4851,3355,Gunter Ambra,M,20.0,162.0,69.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Lightweight,,0,16767000.0,0.004050831,,,,0,
4852,3355,Gunter Ambra,M,24.0,162.0,69.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Lightweight,,0,16740000.0,0.003772232,,,,0,
4906,3398,Rolf-Dieter Amend,M,23.0,173.0,74.0,East Germany-1,GDR,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold,0,17011000.0,0.004431188,,,,0,
5094,3524,Klaus Ampler,M,27.0,174.0,75.0,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,17087000.0,0.004833908,,,,0,
5095,3525,Uwe Ampler,M,24.0,182.0,77.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Road Race, Individual",,0,16675000.0,0.003265956,,,,0,
5096,3525,Uwe Ampler,M,24.0,182.0,77.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold,0,16675000.0,0.003265956,,,,0,
5334,3680,Bernd Anders,M,26.0,189.0,90.0,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Heavyweight,,0,17087000.0,0.004833908,,,,0,
5336,3682,Birk Anders,M,20.0,185.0,75.0,East Germany,GDR,1988 Winter,1988,Winter,Calgary,Biathlon,Biathlon Men's 10 kilometres Sprint,,0,16675000.0,0.003265956,,,,0,
5666,4005,Carola Anding (-Jacob),F,19.0,168.0,53.0,East Germany,GDR,1980 Winter,1980,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,,0,16740000.0,0.003772232,,,,0,
5667,4005,Carola Anding (-Jacob),F,19.0,168.0,53.0,East Germany,GDR,1980 Winter,1980,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold,0,16740000.0,0.003772232,,,,0,
5668,4005,Carola Anding (-Jacob),F,23.0,168.0,53.0,East Germany,GDR,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,,0,16660000.0,0.003500013,,,,0,
5669,4005,Carola Anding (-Jacob),F,23.0,168.0,53.0,East Germany,GDR,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,,0,16660000.0,0.003500013,,,,0,
5670,4005,Carola Anding (-Jacob),F,23.0,168.0,53.0,East Germany,GDR,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Women's 20 kilometres,,0,16660000.0,0.003500013,,,,0,
5671,4005,Carola Anding (-Jacob),F,23.0,168.0,53.0,East Germany,GDR,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,,0,16660000.0,0.003500013,,,,0,
6111,4315,Volker Anger,M,20.0,156.0,48.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",,0,16675000.0,0.003265956,,,,0,
6255,4400,Hannelore Anke (-Hofmann),F,14.0,160.0,52.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Breaststroke,,0,17011000.0,0.004431188,,,,0,
6256,4400,Hannelore Anke (-Hofmann),F,18.0,160.0,52.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Breaststroke,Gold,0,16767000.0,0.004050831,,,,0,
6257,4400,Hannelore Anke (-Hofmann),F,18.0,160.0,52.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 200 metres Breaststroke,,0,16767000.0,0.004050831,,,,0,
6258,4400,Hannelore Anke (-Hofmann),F,18.0,160.0,52.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,0,16767000.0,0.004050831,,,,0,
7302,5116,Maike Arlt,F,24.0,174.0,65.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Women's Volleyball,,0,16675000.0,0.003265956,,,,0,
7420,5201,Reinhardt Arndt,M,28.0,169.0,60.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Extra-Lightweight,,0,16740000.0,0.003772232,,,,0,
7446,5225,Friedrich Karl Arnold,M,27.0,172.0,82.0,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Weightlifting,Weightlifting Men's Light-Heavyweight,,0,17087000.0,0.004833908,,,,0,
7671,5362,Helmut Artelt,M,27.0,165.0,72.0,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Shooting,"Shooting Mixed Free Pistol, 50 metres",,0,17087000.0,0.004833908,,,,0,
7894,5496,Hans-Georg Aschenbach,M,20.0,175.0,69.0,East Germany,GDR,1972 Winter,1972,Winter,Sapporo,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",,0,17011000.0,0.004431188,,,,0,
7895,5496,Hans-Georg Aschenbach,M,24.0,175.0,69.0,East Germany,GDR,1976 Winter,1976,Winter,Innsbruck,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold,0,16767000.0,0.004050831,,,,0,
7896,5496,Hans-Georg Aschenbach,M,24.0,175.0,69.0,East Germany,GDR,1976 Winter,1976,Winter,Innsbruck,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",,0,16767000.0,0.004050831,,,,0,
8485,5930,Ingrid Auerswald-Lange (Brestrich-),F,22.0,168.0,58.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 100 metres,Bronze,0,16740000.0,0.003772232,,,,0,
