Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
1043,717,Leopoldo Acosta,M,22.0,185.0,61.0,Ecuador,ECU,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,,0,8823751.0,0.001853736,49.562,65.511,16912515183.0,1916.703586,0.001397729
4223,2943,Miguel ngel Almachi Condo,M,27.0,165.0,55.0,Ecuador,ECU,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Marathon,,0,15419666.0,0.002172579,36.912,75.449,87924544000.0,5702.104313,0.001173892
4224,2943,Miguel ngel Almachi Condo,M,31.0,165.0,55.0,Ecuador,ECU,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,0,16385068.0,0.002201662,36.024,76.327,98613972000.0,6018.526868,0.001300976
5298,3657,Rafael Domingo Anchundia Delgado,M,22.0,160.0,54.0,Ecuador,ECU,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Bantamweight,,0,5730906.0,0.001621272,61.785,56.992,2582180794.0,450.5711303,0.001058271
6405,4501,Lissette Alexandra Antes Castillo,F,21.0,177.0,58.0,Ecuador,ECU,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Women's Lightweight, Freestyle",,0,15419666.0,0.002172579,36.912,75.449,87924544000.0,5702.104313,0.001173892
6406,4501,Lissette Alexandra Antes Castillo,F,25.0,177.0,58.0,Ecuador,ECU,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Lightweight, Freestyle",,0,16385068.0,0.002201662,36.024,76.327,98613972000.0,6018.526868,0.001300976
7150,5007,Jimmy Arvalo Suquitana,M,20.0,173.0,65.0,Ecuador,ECU,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Half-Lightweight,,0,7976445.0,0.001797432,53.039,63.095,17881514683.0,2241.790006,0.001596564
7151,5007,Jimmy Arvalo Suquitana,M,24.0,173.0,65.0,Ecuador,ECU,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Half-Lightweight,,0,8823751.0,0.001853736,49.562,65.511,16912515183.0,1916.703586,0.001397729
7153,5009,Samantha Michelle Arvalo Salinas,F,17.0,171.0,60.0,Ecuador,ECU,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 800 metres Freestyle,,0,15419666.0,0.002172579,36.912,75.449,87924544000.0,5702.104313,0.001173892
7154,5009,Samantha Michelle Arvalo Salinas,F,21.0,171.0,60.0,Ecuador,ECU,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 10 kilometres Open Water,,0,16385068.0,0.002201662,36.024,76.327,98613972000.0,6018.526868,0.001300976
7585,5318,Jorge David Arroyo Valdez,M,20.0,193.0,105.0,Ecuador,ECU,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Heavyweight,,0,15419666.0,0.002172579,36.912,75.449,87924544000.0,5702.104313,0.001173892
7665,5358,Mauricio Jos Arteaga Snchez,M,23.0,177.0,68.0,Ecuador,ECU,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 20 kilometres Walk,,0,15419666.0,0.002172579,36.912,75.449,87924544000.0,5702.104313,0.001173892
7666,5358,Mauricio Jos Arteaga Snchez,M,27.0,177.0,68.0,Ecuador,ECU,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,,0,16385068.0,0.002201662,36.024,76.327,98613972000.0,6018.526868,0.001300976
9828,6813,Loren Yamil Bahamonde Cabello,F,21.0,172.0,66.0,Ecuador,ECU,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,,0,14447562.0,0.00213603,37.7,74.678,61762635000.0,4274.952065,0.00097264
11080,7639,Juan Antonio Barahona Nieves,M,22.0,162.0,60.0,Ecuador,ECU,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Extra-Lightweight,,0,12628596.0,0.002064145,39.701,72.933,18327764882.0,1451.290775,0.000545469
14863,10111,Lorena Aida Benites Valverde,F,26.0,174.0,67.0,Ecuador,ECU,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Women's Heavyweight,,0,14447562.0,0.00213603,37.7,74.678,61762635000.0,4274.952065,0.00097264
19156,13213,Magaly Bonilla Sols,F,24.0,152.0,54.0,Ecuador,ECU,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,,0,16385068.0,0.002201662,36.024,76.327,98613972000.0,6018.526868,0.001300976
21499,14790,Elizabeth Mara Bravo iguez,F,25.0,160.0,49.0,Ecuador,ECU,2012 Summer,2012,Summer,London,Triathlon,Triathlon Women's Olympic Distance,,0,15419666.0,0.002172579,36.912,75.449,87924544000.0,5702.104313,0.001173892
21500,14790,Elizabeth Mara Bravo iguez,F,29.0,160.0,49.0,Ecuador,ECU,2016 Summer,2016,Summer,Rio de Janeiro,Triathlon,Triathlon Women's Olympic Distance,,0,16385068.0,0.002201662,36.024,76.327,98613972000.0,6018.526868,0.001300976
24441,16712,Boris Alexandrovich Burov,M,30.0,178.0,94.0,Ecuador,ECU,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Heavyweight,,0,12628596.0,0.002064145,39.701,72.933,18327764882.0,1451.290775,0.000545469
25031,17184,Mara Patricia Cabrera,F,19.0,,,Ecuador,ECU,1992 Summer,1992,Summer,Barcelona,Table Tennis,Table Tennis Women's Singles,,0,10705667.0,0.001962132,43.774,69.956,18094238119.0,1690.155141,0.000712372
