Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
92,53,Talaat Abada,M,24.0,172.0,58.0,Egypt,EGY,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Flyweight,,0,69905988.0,0.011426141,57.203,68.613,99838543960.0,1428.183004,0.002971385
170,116,Hosni Mohamed Abbas,M,32.0,,60.0,Egypt,EGY,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Featherweight,,0,30071102.0,0.009229356,60.669,50.113,,0,
173,118,Mahmoud Abbas,M,22.0,165.0,65.0,Egypt,EGY,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Road Race, Individual",,0,69905988.0,0.011426141,57.203,68.613,99838543960.0,1428.183004,0.002971385
207,155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,22.0,185.0,98.0,Egypt,EGY,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",,0,69905988.0,0.011426141,57.203,68.613,99838543960.0,1428.183004,0.002971385
208,155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,26.0,185.0,98.0,Egypt,EGY,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",,0,75381899.0,0.011711907,57.019,69.282,78845185293.0,1045.943208,0.001800118
209,155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,34.0,185.0,98.0,Egypt,EGY,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",,0,87813257.0,0.012372594,56.998,70.742,279000000000.0,3177.19681,0.003724967
210,156,Mahmoud Abd El-Kader,M,23.0,195.0,94.0,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,,0,80953881.0,0.011968794,56.942,69.98,163000000000.0,2013.492102,0.002566929
211,157,Mohamed Ibrahim Abd El-Salam,M,22.0,192.0,83.0,Egypt,EGY,2004 Summer,2004,Summer,Athina,Handball,Handball Men's Handball,,0,75381899.0,0.011711907,57.019,69.282,78845185293.0,1045.943208,0.001800118
212,157,Mohamed Ibrahim Abd El-Salam,M,26.0,192.0,83.0,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,,0,80953881.0,0.011968794,56.942,69.98,163000000000.0,2013.492102,0.002566929
213,158,Noha Abd Rabo,F,21.0,,,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Women's Heavyweight,,0,80953881.0,0.011968794,56.942,69.98,163000000000.0,2013.492102,0.002566929
214,159,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,15.0,167.0,60.0,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Duet,,0,80953881.0,0.011968794,56.942,69.98,163000000000.0,2013.492102,0.002566929
215,159,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,15.0,167.0,60.0,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,,0,80953881.0,0.011968794,56.942,69.98,163000000000.0,2013.492102,0.002566929
216,159,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,19.0,167.0,60.0,Egypt,EGY,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,,0,87813257.0,0.012372594,56.998,70.742,279000000000.0,3177.19681,0.003724967
218,161,Hossam Abdalla,M,28.0,203.0,97.0,Egypt,EGY,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,,0,95688681.0,0.012857691,56.778,71.484,333000000000.0,3480.035429,0.00439314
219,162,Hosam Abdallah,M,25.0,,,Egypt,EGY,1992 Summer,1992,Summer,Barcelona,Handball,Handball Men's Handball,,0,60035536.0,0.011003296,56.788,65.401,41855986519.0,697.1868548,0.001647873
220,162,Hosam Abdallah,M,29.0,,,Egypt,EGY,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,,0,64933456.0,0.011209787,57.319,67.259,67629716981.0,1041.523448,0.002140181
229,164,Maged Abdallah,M,22.0,,,Egypt,EGY,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Foil, Individual",,0,60035536.0,0.011003296,56.788,65.401,41855986519.0,697.1868548,0.001647873
235,170,Maha Abdalsalam Gouda,F,18.0,172.0,61.0,Egypt,EGY,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Platform,,0,95688681.0,0.012857691,56.778,71.484,333000000000.0,3480.035429,0.00439314
236,171,Mahmoud Abdel Aziz,M,25.0,174.0,70.0,Egypt,EGY,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Men's Volleyball,,0,69905988.0,0.011426141,57.203,68.613,99838543960.0,1428.183004,0.002971385
237,172,Mohamed Abdel Ellah,M,32.0,168.0,68.0,Egypt,EGY,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Air Rifle, 10 metres",,0,69905988.0,0.011426141,57.203,68.613,99838543960.0,1428.183004,0.002971385
241,177,Mohamed Abdel Fattah,M,23.0,174.0,69.0,Egypt,EGY,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Road Race, Individual",,0,69905988.0,0.011426141,57.203,68.613,99838543960.0,1428.183004,0.002971385
246,180,Heba Abdel Gawad,F,18.0,154.0,48.0,Egypt,EGY,2000 Summer,2000,Summer,Sydney,Synchronized Swimming,Synchronized Swimming Women's Duet,,0,69905988.0,0.011426141,57.203,68.613,99838543960.0,1428.183004,0.002971385
247,180,Heba Abdel Gawad,F,22.0,154.0,48.0,Egypt,EGY,2004 Summer,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Duet,,0,75381899.0,0.011711907,57.019,69.282,78845185293.0,1045.943208,0.001800118
248,181,Sara Abdel Gawad,F,18.0,153.0,46.0,Egypt,EGY,2000 Summer,2000,Summer,Sydney,Synchronized Swimming,Synchronized Swimming Women's Duet,,0,69905988.0,0.011426141,57.203,68.613,99838543960.0,1428.183004,0.002971385
249,182,Gamal Amin Abdel Ghani,M,29.0,,,Egypt,EGY,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,,0,60035536.0,0.011003296,56.788,65.401,41855986519.0,697.1868548,0.001647873
251,184,Ragy Abdel Hady,M,30.0,186.0,100.0,Egypt,EGY,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,,0,75381899.0,0.011711907,57.019,69.282,78845185293.0,1045.943208,0.001800118
253,187,Moustafa Ali Abdel Halim,M,32.0,152.0,52.0,Egypt,EGY,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Flyweight,,0,40089032.0,0.009685327,56.344,55.471,13360476862.0,333.2701289,0.002081071
254,188,Mohamed Abdel Hamed,M,24.0,193.0,82.0,Egypt,EGY,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,,0,48868951.0,0.010266624,56.078,61.097,30642873038.0,627.0417599,0.002532469
256,191,Tamer Mohamed Abdel Hamid,M,20.0,,,Egypt,EGY,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,,0,60035536.0,0.011003296,56.788,65.401,41855986519.0,697.1868548,0.001647873
257,192,Ahmed El-Sayed Abdel Hamid Mobarak,M,25.0,189.0,85.0,Egypt,EGY,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,,0,36673642.0,0.009553102,57.8,52.902,8763960703.0,238.971649,0.002324658
262,197,Abdel Latif Abdel Latif,M,28.0,172.0,68.0,Egypt,EGY,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",,0,54547296.0,0.010683604,56.256,63.669,35044634015.0,642.4632674,0.001834798
263,198,Walid Abdel Maksoud,M,29.0,,,Egypt,EGY,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,,0,80953881.0,0.011968794,56.942,69.98,163000000000.0,2013.492102,0.002566929
