Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
940,645,Elmer ngel Acevedo,M,19.0,,,El Salvador,SLV,1968 Summer,1968,Summer,Mexico City,Football,Football Men's Football,,0,3477742.0,0.000983852,60.795,54.215,1009760100.0,290.3493416,0.000413836
1048,720,Marcelo Alberto Acosta Jimnez,M,20.0,,,El Salvador,SLV,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Freestyle,,0,6344722.0,0.000852541,32.811,73.512,26797470000.0,4223.584579,0.000353529
1049,720,Marcelo Alberto Acosta Jimnez,M,20.0,,,El Salvador,SLV,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 400 metres Freestyle,,0,6344722.0,0.000852541,32.811,73.512,26797470000.0,4223.584579,0.000353529
1050,720,Marcelo Alberto Acosta Jimnez,M,20.0,,,El Salvador,SLV,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,"Swimming Men's 1,500 metres Freestyle",,0,6344722.0,0.000852541,32.811,73.512,26797470000.0,4223.584579,0.000353529
3765,2618,Rafael Alfaro Ferracuti,M,20.0,185.0,80.0,El Salvador,SLV,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 400 metres Individual Medley,,0,6221246.0,0.000876553,34.713,72.479,23813600000.0,3827.786267,0.000317939
4494,3132,Jos Amlcar Alvarado,M,15.0,174.0,64.0,El Salvador,SLV,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Freestyle,,0,3477742.0,0.000983852,60.795,54.215,1009760100.0,290.3493416,0.000413836
4495,3132,Jos Amlcar Alvarado,M,15.0,174.0,64.0,El Salvador,SLV,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Freestyle,,0,3477742.0,0.000983852,60.795,54.215,1009760100.0,290.3493416,0.000413836
4496,3132,Jos Amlcar Alvarado,M,15.0,174.0,64.0,El Salvador,SLV,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,,0,3477742.0,0.000983852,60.795,54.215,1009760100.0,290.3493416,0.000413836
4707,3269,Andrs Amador Velsco,M,43.0,175.0,72.0,El Salvador,SLV,1968 Summer,1968,Summer,Mexico City,Shooting,Shooting Mixed Skeet,,0,3477742.0,0.000983852,60.795,54.215,1009760100.0,290.3493416,0.000413836
4708,3269,Andrs Amador Velsco,M,47.0,175.0,72.0,El Salvador,SLV,1972 Summer,1972,Summer,Munich,Shooting,Shooting Mixed Skeet,,0,3861931.0,0.001005993,59.997,55.576,1263720000.0,327.2249038,0.000335204
6064,4273,Jos Manuel Angel,M,20.0,,,El Salvador,SLV,1968 Summer,1968,Summer,Mexico City,Football,Football Men's Football,,0,3477742.0,0.000983852,60.795,54.215,1009760100.0,290.3493416,0.000413836
7152,5008,Rafael Edgardo Arvalo Gonzlez,M,22.0,180.0,76.0,El Salvador,SLV,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Men's Singles,,0,6110301.0,0.00090339,36.748,71.291,21430950000.0,3507.347674,0.000337495
8142,5697,Jos Nicols Astacio,M,21.0,166.0,49.0,El Salvador,SLV,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 200 metres,,0,3477742.0,0.000983852,60.795,54.215,1009760100.0,290.3493416,0.000413836
8143,5697,Jos Nicols Astacio,M,21.0,166.0,49.0,El Salvador,SLV,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres,,0,3477742.0,0.000983852,60.795,54.215,1009760100.0,290.3493416,0.000413836
8672,6080,"Francisco Jos ""Frank"" Avelar",M,18.0,165.0,57.0,El Salvador,SLV,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Featherweight,,0,5119035.0,0.001002611,51.806,62.032,4189880000.0,818.4902037,0.000219365
