Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
6358,4475,Magdalena Ansue Nguema,F,18.0,,,Equatorial Guinea,GNQ,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 100 metres,,0,455148.0,8.34e-05,63.234,49.142,134707184.4,295.9634765,5.3e-06
8211,5725,Casimiro Asumu Nze,M,21.0,,,Equatorial Guinea,GNQ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,0,523999.0,9.05e-05,61.171,51.062,232463036.4,443.6325955,7.36e-06
8212,5725,Casimiro Asumu Nze,M,21.0,,,Equatorial Guinea,GNQ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,523999.0,9.05e-05,61.171,51.062,232463036.4,443.6325955,7.36e-06
11409,7859,Paula Barila Bolopa,F,20.0,158.0,60.0,Equatorial Guinea,GNQ,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,,0,614323.0,0.000100411,61.194,52.752,1045998496.0,1702.6849,3.11e-05
19390,13385,Secundino Borabota Epacua,M,23.0,172.0,71.0,Equatorial Guinea,GNQ,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,,0,338086.0,7.1e-05,70.972,46.074,50320914.41,148.8405743,4.16e-06
19391,13385,Secundino Borabota Epacua,M,27.0,172.0,71.0,Equatorial Guinea,GNQ,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,402326.0,7.88e-05,67.22,47.473,100534663.3,249.8835852,5.26e-06
23310,15964,Emiliano Buale,M,22.0,,,Equatorial Guinea,GNQ,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 800 metres,,0,455148.0,8.34e-05,63.234,49.142,134707184.4,295.9634765,5.3e-06
26426,18109,Roberto Caracciolo Mandje (-Mandje),M,22.0,183.0,68.0,Equatorial Guinea,GNQ,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",,0,724817.0,0.000112613,61.178,53.987,4410764339.0,6085.348907,0.000100702
45253,31217,Jos Luis Ebatela Nvo,M,27.0,177.0,64.0,Equatorial Guinea,GNQ,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",,0,614323.0,0.000100411,61.194,52.752,1045998496.0,1702.6849,3.11e-05
45649,31463,Bonifacio Edu N'Dong,M,27.0,,,Equatorial Guinea,GNQ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,523999.0,9.05e-05,61.171,51.062,232463036.4,443.6325955,7.36e-06
45650,31463,Bonifacio Edu N'Dong,M,27.0,,,Equatorial Guinea,GNQ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,523999.0,9.05e-05,61.171,51.062,232463036.4,443.6325955,7.36e-06
47052,32421,Bernardo Elonga Molico,M,27.0,,,Equatorial Guinea,GNQ,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Men's 1,500 metres",,0,402326.0,7.88e-05,67.22,47.473,100534663.3,249.8835852,5.26e-06
47053,32421,Bernardo Elonga Molico,M,31.0,,,Equatorial Guinea,GNQ,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",,0,455148.0,8.34e-05,63.234,49.142,134707184.4,295.9634765,5.3e-06
47519,32744,Emilio Gustavo Bodjedi Envela Mahua,M,16.0,176.0,77.0,Equatorial Guinea,GNQ,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,0,338086.0,7.1e-05,70.972,46.074,50320914.41,148.8405743,4.16e-06
47520,32744,Emilio Gustavo Bodjedi Envela Mahua,M,16.0,176.0,77.0,Equatorial Guinea,GNQ,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 200 metres,,0,338086.0,7.1e-05,70.972,46.074,50320914.41,148.8405743,4.16e-06
47521,32744,Emilio Gustavo Bodjedi Envela Mahua,M,20.0,176.0,77.0,Equatorial Guinea,GNQ,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,,0,402326.0,7.88e-05,67.22,47.473,100534663.3,249.8835852,5.26e-06
47522,32744,Emilio Gustavo Bodjedi Envela Mahua,M,20.0,176.0,77.0,Equatorial Guinea,GNQ,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,,0,402326.0,7.88e-05,67.22,47.473,100534663.3,249.8835852,5.26e-06
47523,32744,Emilio Gustavo Bodjedi Envela Mahua,M,24.0,176.0,77.0,Equatorial Guinea,GNQ,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,0,455148.0,8.34e-05,63.234,49.142,134707184.4,295.9634765,5.3e-06
47524,32744,Emilio Gustavo Bodjedi Envela Mahua,M,28.0,176.0,77.0,Equatorial Guinea,GNQ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 200 metres,,0,523999.0,9.05e-05,61.171,51.062,232463036.4,443.6325955,7.36e-06
47525,32744,Emilio Gustavo Bodjedi Envela Mahua,M,28.0,176.0,77.0,Equatorial Guinea,GNQ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,523999.0,9.05e-05,61.171,51.062,232463036.4,443.6325955,7.36e-06
47529,32747,Manuel Benjamn Enzema Owo,M,23.0,170.0,63.0,Equatorial Guinea,GNQ,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 800 metres,,0,1038593.0,0.000146334,60.537,56.601,22389627294.0,21557.6528,0.000298927
47530,32747,Manuel Benjamn Enzema Owo,M,27.0,170.0,63.0,Equatorial Guinea,GNQ,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 800 metres,,0,1221490.0,0.000164132,59.897,57.681,10684804794.0,8747.353473,0.00014096
48176,33181,Bartolom Esono Asumu,M,21.0,175.0,68.0,Equatorial Guinea,GNQ,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,,0,338086.0,7.1e-05,70.972,46.074,50320914.41,148.8405743,4.16e-06
107334,71844,Diosdado Lozano Idjabe,M,20.0,172.0,65.0,Equatorial Guinea,GNQ,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",,0,338086.0,7.1e-05,70.972,46.074,50320914.41,148.8405743,4.16e-06
111218,74442,Ruth Mangue Nve,F,17.0,,,Equatorial Guinea,GNQ,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 200 metres,,0,455148.0,8.34e-05,63.234,49.142,134707184.4,295.9634765,5.3e-06
111219,74442,Ruth Mangue Nve,F,17.0,,,Equatorial Guinea,GNQ,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 400 metres,,0,455148.0,8.34e-05,63.234,49.142,134707184.4,295.9634765,5.3e-06
114003,76335,Juan Vicente Matala,M,22.0,,,Equatorial Guinea,GNQ,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 200 metres,,0,455148.0,8.34e-05,63.234,49.142,134707184.4,295.9634765,5.3e-06
115258,77183,Jos Mba Nchama,M,42.0,,81.0,Equatorial Guinea,GNQ,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Middleweight,,0,868418.0,0.000128393,60.963,55.19,19749893536.0,22742.38159,0.000311022
115286,77204,Ponciano Mbomio Castillo,M,20.0,,,Equatorial Guinea,GNQ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,523999.0,9.05e-05,61.171,51.062,232463036.4,443.6325955,7.36e-06
115293,77211,Rosa Mbuamangongo,F,19.0,,,Equatorial Guinea,GNQ,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 200 metres,,0,402326.0,7.88e-05,67.22,47.473,100534663.3,249.8835852,5.26e-06
118945,79720,Emilia Mikue Ondo,F,19.0,160.0,63.0,Equatorial Guinea,GNQ,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 800 metres,,0,724817.0,0.000112613,61.178,53.987,4410764339.0,6085.348907,0.000100702
