Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
74,44,Meelis Aasme,M,25.0,182.0,73.0,Estonia,EST,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,,0,1386156.0,0.000232684,30.267,69.35853659,5617109245.0,4052.292271,0.00017946
75,44,Meelis Aasme,M,25.0,182.0,73.0,Estonia,EST,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,,0,1386156.0,0.000232684,30.267,69.35853659,5617109245.0,4052.292271,0.00017946
76,44,Meelis Aasme,M,29.0,182.0,73.0,Estonia,EST,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,,0,1379350.0,0.000219753,30.884,70.90487805,7322069511.0,5308.34778,0.000211621
77,44,Meelis Aasme,M,29.0,182.0,73.0,Estonia,EST,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,,0,1379350.0,0.000219753,30.884,70.90487805,7322069511.0,5308.34778,0.000211621
78,44,Meelis Aasme,M,29.0,182.0,73.0,Estonia,EST,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,,0,1379350.0,0.000219753,30.884,70.90487805,7322069511.0,5308.34778,0.000211621
81,49,Moonika Aava,F,24.0,168.0,65.0,Estonia,EST,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Javelin Throw,,0,1362550.0,0.000211696,31.138,71.9097561,12059201242.0,8850.465115,0.000275324
82,49,Moonika Aava,F,28.0,168.0,65.0,Estonia,EST,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,,0,1337090.0,0.000197685,31.649,73.77073171,24194039256.0,18094.54805,0.000381008
83,50,Arvi Aavik,M,22.0,185.0,106.0,Estonia,EST,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Heavyweight, Freestyle",,0,1533091.0,0.000280984,29.14,68.86341463,,0,
84,50,Arvi Aavik,M,26.0,185.0,106.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Heavyweight, Freestyle",,0,1415594.0,0.000244381,29.889,69.61219512,4746109767.0,3352.733741,0.000150193
3312,2331,Marko Albert,M,25.0,189.0,78.0,Estonia,EST,2004 Summer,2004,Summer,Athina,Triathlon,Triathlon Men's Olympic Distance,,0,1362550.0,0.000211696,31.138,71.9097561,12059201242.0,8850.465115,0.000275324
3313,2331,Marko Albert,M,29.0,189.0,78.0,Estonia,EST,2008 Summer,2008,Summer,Beijing,Triathlon,Triathlon Men's Olympic Distance,,0,1337090.0,0.000197685,31.649,73.77073171,24194039256.0,18094.54805,0.000381008
3584,2501,Marko Aleksejev,M,25.0,196.0,80.0,Estonia,EST,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's High Jump,,0,1362550.0,0.000211696,31.138,71.9097561,12059201242.0,8850.465115,0.000275324
3972,2771,Martti Aljand,M,20.0,184.0,82.0,Estonia,EST,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Breaststroke,,0,1337090.0,0.000197685,31.649,73.77073171,24194039256.0,18094.54805,0.000381008
3973,2771,Martti Aljand,M,20.0,184.0,82.0,Estonia,EST,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Breaststroke,,0,1337090.0,0.000197685,31.649,73.77073171,24194039256.0,18094.54805,0.000381008
3974,2772,Triin Aljand,F,19.0,179.0,68.0,Estonia,EST,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,,0,1362550.0,0.000211696,31.138,71.9097561,12059201242.0,8850.465115,0.000275324
3975,2772,Triin Aljand,F,23.0,179.0,68.0,Estonia,EST,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,,0,1337090.0,0.000197685,31.649,73.77073171,24194039256.0,18094.54805,0.000381008
3976,2772,Triin Aljand,F,23.0,179.0,68.0,Estonia,EST,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Freestyle,,0,1337090.0,0.000197685,31.649,73.77073171,24194039256.0,18094.54805,0.000381008
3977,2772,Triin Aljand,F,23.0,179.0,68.0,Estonia,EST,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Butterfly,,0,1337090.0,0.000197685,31.649,73.77073171,24194039256.0,18094.54805,0.000381008
3978,2772,Triin Aljand,F,27.0,179.0,68.0,Estonia,EST,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,,0,1322696.0,0.000186363,32.165,76.32682927,23043864510.0,17421.89022,0.000307662
3979,2772,Triin Aljand,F,27.0,179.0,68.0,Estonia,EST,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Butterfly,,0,1322696.0,0.000186363,32.165,76.32682927,23043864510.0,17421.89022,0.000307662
4164,2900,Martin Allikvee,M,21.0,182.0,77.0,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Breaststroke,,0,1316481.0,0.000176896,32.532,77.73658537,23337907619.0,17727.49293,0.000307888
4488,3126,Ilmar Aluvee,M,24.0,178.0,65.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Individual,,0,1462514.0,0.00026001,29.513,66.5,,0,
6195,4363,Maret Ani,F,22.0,175.0,64.0,Estonia,EST,2004 Summer,2004,Summer,Athina,Tennis,Tennis Women's Doubles,,0,1362550.0,0.000211696,31.138,71.9097561,12059201242.0,8850.465115,0.000275324
6196,4363,Maret Ani,F,26.0,175.0,64.0,Estonia,EST,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Women's Singles,,0,1337090.0,0.000197685,31.649,73.77073171,24194039256.0,18094.54805,0.000381008
6197,4363,Maret Ani,F,26.0,175.0,64.0,Estonia,EST,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Women's Doubles,,0,1337090.0,0.000197685,31.649,73.77073171,24194039256.0,18094.54805,0.000381008
7753,5410,Ardo Arusaar,M,24.0,181.0,102.0,Estonia,EST,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",,0,1322696.0,0.000186363,32.165,76.32682927,23043864510.0,17421.89022,0.000307662
7754,5410,Ardo Arusaar,M,28.0,181.0,102.0,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",,0,1316481.0,0.000176896,32.532,77.73658537,23337907619.0,17727.49293,0.000307888
8505,5940,Andrus Aug,M,32.0,190.0,83.0,Estonia,EST,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Road Race, Individual",,0,1362550.0,0.000211696,31.138,71.9097561,12059201242.0,8850.465115,0.000275324
8590,6005,Lauri Aus,M,21.0,179.0,75.0,Estonia,EST,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",,0,1533091.0,0.000280984,29.14,68.86341463,,0,
8591,6005,Lauri Aus,M,25.0,179.0,75.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Road Race, Individual",,0,1415594.0,0.000244381,29.889,69.61219512,4746109767.0,3352.733741,0.000150193
8592,6005,Lauri Aus,M,29.0,179.0,75.0,Estonia,EST,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Road Race, Individual",,0,1396985.0,0.000228337,30.632,70.41707317,5685774809.0,4070.032827,0.000169219
8593,6005,Lauri Aus,M,29.0,179.0,75.0,Estonia,EST,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Individual Time Trial,,0,1396985.0,0.000228337,30.632,70.41707317,5685774809.0,4070.032827,0.000169219
8650,6061,Marek Avamere,M,22.0,191.0,85.0,Estonia,EST,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxless Fours,,0,1533091.0,0.000280984,29.14,68.86341463,,0,
10438,7215,Aleksandr Baldin,M,19.0,184.0,80.0,Estonia,EST,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Breaststroke,,0,1362550.0,0.000211696,31.138,71.9097561,12059201242.0,8850.465115,0.000275324
10439,7215,Aleksandr Baldin,M,19.0,184.0,80.0,Estonia,EST,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Breaststroke,,0,1362550.0,0.000211696,31.138,71.9097561,12059201242.0,8850.465115,0.000275324
10689,7387,Ksenija Balta,F,21.0,169.0,51.0,Estonia,EST,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Long Jump,,0,1337090.0,0.000197685,31.649,73.77073171,24194039256.0,18094.54805,0.000381008
10690,7387,Ksenija Balta,F,29.0,169.0,51.0,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Long Jump,,0,1316481.0,0.000176896,32.532,77.73658537,23337907619.0,17727.49293,0.000307888
14060,9612,Julia Beljajeva,F,24.0,176.0,70.0,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's epee, Individual",,0,1316481.0,0.000176896,32.532,77.73658537,23337907619.0,17727.49293,0.000307888
14061,9612,Julia Beljajeva,F,24.0,176.0,70.0,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",,0,1316481.0,0.000176896,32.532,77.73658537,23337907619.0,17727.49293,0.000307888
19722,13601,Dimitri Borovik,M,24.0,178.0,72.0,Estonia,EST,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Men's 10 kilometres Sprint,,0,1386156.0,0.000232684,30.267,69.35853659,5617109245.0,4052.292271,0.00017946
19723,13601,Dimitri Borovik,M,24.0,178.0,72.0,Estonia,EST,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Men's 20 kilometres,,0,1386156.0,0.000232684,30.267,69.35853659,5617109245.0,4052.292271,0.00017946
19724,13601,Dimitri Borovik,M,24.0,178.0,72.0,Estonia,EST,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,,0,1386156.0,0.000232684,30.267,69.35853659,5617109245.0,4052.292271,0.00017946
19725,13601,Dimitri Borovik,M,28.0,178.0,72.0,Estonia,EST,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 10 kilometres Sprint,,0,1379350.0,0.000219753,30.884,70.90487805,7322069511.0,5308.34778,0.000211621
19726,13601,Dimitri Borovik,M,28.0,178.0,72.0,Estonia,EST,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,,0,1379350.0,0.000219753,30.884,70.90487805,7322069511.0,5308.34778,0.000211621
19727,13601,Dimitri Borovik,M,28.0,178.0,72.0,Estonia,EST,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 20 kilometres,,0,1379350.0,0.000219753,30.884,70.90487805,7322069511.0,5308.34778,0.000211621
19728,13601,Dimitri Borovik,M,28.0,178.0,72.0,Estonia,EST,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,,0,1379350.0,0.000219753,30.884,70.90487805,7322069511.0,5308.34778,0.000211621
19729,13601,Dimitri Borovik,M,32.0,178.0,72.0,Estonia,EST,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 10 kilometres Sprint,,0,1346810.0,0.000204111,31.393,72.69146341,16963625016.0,12595.41065,0.000330032
19730,13601,Dimitri Borovik,M,32.0,178.0,72.0,Estonia,EST,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 20 kilometres,,0,1346810.0,0.000204111,31.393,72.69146341,16963625016.0,12595.41065,0.000330032
19731,13601,Dimitri Borovik,M,32.0,178.0,72.0,Estonia,EST,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,,0,1346810.0,0.000204111,31.393,72.69146341,16963625016.0,12595.41065,0.000330032
23629,16162,Aleksei Budlin,M,24.0,177.0,81.0,Estonia,EST,2000 Summer,2000,Summer,Sydney,Judo,Judo Men's Half-Middleweight,Bronze,0,1396985.0,0.000228337,30.632,70.41707317,5685774809.0,4070.032827,0.000169219
23630,16162,Aleksei Budlin,M,28.0,177.0,81.0,Estonia,EST,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Half-Middleweight,,0,1362550.0,0.000211696,31.138,71.9097561,12059201242.0,8850.465115,0.000275324
23864,16312,Valeri Bukrejev,M,28.0,186.0,86.0,Estonia,EST,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Pole Vault,,0,1533091.0,0.000280984,29.14,68.86341463,,0,
23865,16312,Valeri Bukrejev,M,32.0,186.0,86.0,Estonia,EST,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Pole Vault,,0,1415594.0,0.000244381,29.889,69.61219512,4746109767.0,3352.733741,0.000150193
41728,28801,Vjateslav Divonin,M,22.0,191.0,92.0,Estonia,EST,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxless Fours,,0,1533091.0,0.000280984,29.14,68.86341463,,0,
46083,31741,Kein Einaste,M,24.0,196.0,90.0,Estonia,EST,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's Sprint,,0,1331475.0,0.000192114,31.906,75.42926829,19490936349.0,14638.60482,0.000295317
47137,32480,Irina Embrich (Zamkovaja-),F,36.0,170.0,54.0,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's epee, Individual",,0,1316481.0,0.000176896,32.532,77.73658537,23337907619.0,17727.49293,0.000307888
47138,32480,Irina Embrich (Zamkovaja-),F,36.0,170.0,54.0,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's epee, Team",,0,1316481.0,0.000176896,32.532,77.73658537,23337907619.0,17727.49293,0.000307888
47320,32577,Tnu Endrekson,M,25.0,198.0,104.0,Estonia,EST,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Double Sculls,,0,1362550.0,0.000211696,31.138,71.9097561,12059201242.0,8850.465115,0.000275324
47321,32577,Tnu Endrekson,M,29.0,198.0,104.0,Estonia,EST,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Double Sculls,Silver,0,1337090.0,0.000197685,31.649,73.77073171,24194039256.0,18094.54805,0.000381008
47322,32577,Tnu Endrekson,M,33.0,198.0,104.0,Estonia,EST,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Quadruple Sculls,,0,1322696.0,0.000186363,32.165,76.32682927,23043864510.0,17421.89022,0.000307662
47323,32577,Tnu Endrekson,M,37.0,198.0,104.0,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Bronze,0,1316481.0,0.000176896,32.532,77.73658537,23337907619.0,17727.49293,0.000307888
47916,33027,Kalev Ermits,M,21.0,181.0,74.0,Estonia,EST,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 20 kilometres,,0,1314545.0,0.000180843,32.378,77.03414634,26224622451.0,19949.58138,0.000331957
47917,33027,Kalev Ermits,M,21.0,181.0,74.0,Estonia,EST,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,,0,1314545.0,0.000180843,32.378,77.03414634,26224622451.0,19949.58138,0.000331957
53230,36453,Roman Fosti,M,33.0,181.0,70.0,Estonia,EST,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,0,1316481.0,0.000176896,32.532,77.73658537,23337907619.0,17727.49293,0.000307888
54131,37035,Magnar Freimuth,M,20.0,182.0,78.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Team,,0,1462514.0,0.00026001,29.513,66.5,,0,
54132,37035,Magnar Freimuth,M,20.0,182.0,78.0,Estonia,EST,1994 Winter,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Individual,,0,1462514.0,0.00026001,29.513,66.5,,0,
54133,37035,Magnar Freimuth,M,24.0,182.0,78.0,Estonia,EST,1998 Winter,1998,Winter,Nagano,Nordic Combined,Nordic Combined Men's Team,,0,1386156.0,0.000232684,30.267,69.35853659,5617109245.0,4052.292271,0.00017946
54134,37035,Magnar Freimuth,M,24.0,182.0,78.0,Estonia,EST,1998 Winter,1998,Winter,Nagano,Nordic Combined,Nordic Combined Men's Individual,,0,1386156.0,0.000232684,30.267,69.35853659,5617109245.0,4052.292271,0.00017946
55539,37933,Grete Gaim,F,20.0,171.0,58.0,Estonia,EST,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 7.5 kilometres Sprint,,0,1314545.0,0.000180843,32.378,77.03414634,26224622451.0,19949.58138,0.000331957
55540,37933,Grete Gaim,F,20.0,171.0,58.0,Estonia,EST,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 15 kilometres,,0,1314545.0,0.000180843,32.378,77.03414634,26224622451.0,19949.58138,0.000331957
55541,37933,Grete Gaim,F,20.0,171.0,58.0,Estonia,EST,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,,0,1314545.0,0.000180843,32.378,77.03414634,26224622451.0,19949.58138,0.000331957
