Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
391,295,Suleman Abdul Rahman,M,29.0,174.0,55.0,Ethiopia,ETH,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Road Race, Individual",,0,30132580.0,0.007849224,91.072,43.465,,0,
516,379,Addis Abebe,M,21.0,160.0,50.0,Ethiopia,ETH,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",,0,51647768.0,0.009465988,86.884,47.912,10492993078.0,203.1645022,0.00041311
517,379,Addis Abebe,M,21.0,160.0,50.0,Ethiopia,ETH,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 10,000 metres",Bronze,0,51647768.0,0.009465988,86.884,47.912,10492993078.0,203.1645022,0.00041311
518,380,Biruk Abebe,M,22.0,173.0,62.0,Ethiopia,ETH,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Road Race, Individual",,0,51647768.0,0.009465988,86.884,47.912,10492993078.0,203.1645022,0.00041311
519,380,Biruk Abebe,M,22.0,173.0,62.0,Ethiopia,ETH,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,,0,51647768.0,0.009465988,86.884,47.912,10492993078.0,203.1645022,0.00041311
565,411,Gezahgne Abera,M,22.0,166.0,58.0,Ethiopia,ETH,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,Gold,0,66537331.0,0.010875533,85.26,51.94,8242392104.0,123.8762057,0.000245309
566,412,Tesfaye Abera Dibaba,M,24.0,192.0,68.0,Ethiopia,ETH,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,0,102403196.0,0.013759921,80.078,65.475,72374224249.0,706.7574751,0.000954805
839,584,Ayele Abshero Biza,M,21.0,168.0,62.0,Ethiopia,ETH,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Marathon,,0,92444183.0,0.013025076,81.84,63.275,43310721414.0,468.5067249,0.000578247
1336,929,Berhane Adere Debala,F,22.0,170.0,50.0,Ethiopia,ETH,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Women's 10,000 metres",,0,59155148.0,0.010212249,85.994,49.811,8547939731.0,144.5003524,0.000270504
1337,929,Berhane Adere Debala,F,27.0,170.0,50.0,Ethiopia,ETH,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Women's 10,000 metres",,0,66537331.0,0.010875533,85.26,51.94,8242392104.0,123.8762057,0.000245309
1338,929,Berhane Adere Debala,F,35.0,170.0,50.0,Ethiopia,ETH,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Marathon,,0,83184892.0,0.012298643,83.49,59.58,27066912635.0,325.3825543,0.000426251
1405,985,Megra Admassou,M,25.0,177.0,65.0,Ethiopia,ETH,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Road Race, Individual",,0,22151278.0,0.007300549,93.567,38.419,,0,
1533,1075,Abel Aferalign,M,20.0,169.0,54.0,Ethiopia,ETH,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Bantamweight,,0,74624405.0,0.011594217,84.496,55.172,10131187261.0,135.7623858,0.000231306
1962,1419,Zemzem Ahmed Deko,F,23.0,170.0,53.0,Ethiopia,ETH,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Women's 3,000 metres Steeplechase",,0,83184892.0,0.012298643,83.49,59.58,27066912635.0,325.3825543,0.000426251
