Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
8534,5965,"Dionisio Augustine, II",M,24.0,153.0,65.0,Federated States of Micronesia,FSM,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,,0,104937.0,1.41e-05,77.519,69.195,329895600.0,3143.749107,4.35e-06
18981,13074,Anderson Bonabart,M,24.0,173.0,68.0,Federated States of Micronesia,FSM,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 50 metres Freestyle,,0,106577.0,1.66e-05,77.67,67.82,240097000.0,2252.803138,5.48e-06
30345,20692,Jennifer Dugwen Chieng,F,30.0,161.0,60.0,Federated States of Micronesia,FSM,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Lightweight,,0,104937.0,1.41e-05,77.519,69.195,329895600.0,3143.749107,4.35e-06
36723,25192,Debra Daniel,F,17.0,153.0,68.0,Federated States of Micronesia,FSM,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,,0,104478.0,1.54e-05,77.689,68.375,262868600.0,2516.018683,4.14e-06
36724,25192,Debra Daniel,F,21.0,153.0,68.0,Federated States of Micronesia,FSM,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,,0,103503.0,1.46e-05,77.683,68.765,326128700.0,3150.910602,4.35e-06
36725,25192,Debra Daniel,F,25.0,153.0,68.0,Federated States of Micronesia,FSM,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,,0,104937.0,1.41e-05,77.519,69.195,329895600.0,3143.749107,4.35e-06
62016,42275,Keitani Graham,M,32.0,173.0,84.0,Federated States of Micronesia,FSM,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",,0,103503.0,1.46e-05,77.683,68.765,326128700.0,3150.910602,4.35e-06
65579,44623,Kerson Hadley,M,19.0,171.0,50.0,Federated States of Micronesia,FSM,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,,0,104478.0,1.54e-05,77.689,68.375,262868600.0,2516.018683,4.14e-06
65580,44623,Kerson Hadley,M,23.0,171.0,50.0,Federated States of Micronesia,FSM,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 50 metres Freestyle,,0,103503.0,1.46e-05,77.683,68.765,326128700.0,3150.910602,4.35e-06
70068,47753,Lerissa Henry,F,18.0,153.0,57.0,Federated States of Micronesia,FSM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,,0,104937.0,1.41e-05,77.519,69.195,329895600.0,3143.749107,4.35e-06
73672,50314,Jack Howard,M,27.0,177.0,84.0,Federated States of Micronesia,FSM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,104478.0,1.54e-05,77.689,68.375,262868600.0,2516.018683,4.14e-06
73682,50318,John Howard,M,23.0,178.0,67.0,Federated States of Micronesia,FSM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,106577.0,1.66e-05,77.67,67.82,240097000.0,2252.803138,5.48e-06
73683,50318,John Howard,M,31.0,178.0,67.0,Federated States of Micronesia,FSM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,103503.0,1.46e-05,77.683,68.765,326128700.0,3150.910602,4.35e-06
76010,51782,Evangeleen Ikelap,F,22.0,157.0,52.0,Federated States of Micronesia,FSM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 100 metres,,0,106577.0,1.66e-05,77.67,67.82,240097000.0,2252.803138,5.48e-06
76011,51783,Maria Epiph Ikelap,F,21.0,160.0,48.0,Federated States of Micronesia,FSM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,,0,104478.0,1.54e-05,77.689,68.375,262868600.0,2516.018683,4.14e-06
84240,57326,Kitson Kapiriel,M,22.0,153.0,70.0,Federated States of Micronesia,FSM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,104937.0,1.41e-05,77.519,69.195,329895600.0,3143.749107,4.35e-06
119704,80158,Manuel Minginfel,M,21.0,155.0,62.0,Federated States of Micronesia,FSM,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Bantamweight,,0,107432.0,1.76e-05,77.67,67.3,233226300.0,2170.92021,6.94e-06
119705,80158,Manuel Minginfel,M,25.0,155.0,62.0,Federated States of Micronesia,FSM,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Featherweight,,0,106577.0,1.66e-05,77.67,67.82,240097000.0,2252.803138,5.48e-06
119706,80158,Manuel Minginfel,M,29.0,155.0,62.0,Federated States of Micronesia,FSM,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Featherweight,,0,104478.0,1.54e-05,77.689,68.375,262868600.0,2516.018683,4.14e-06
119707,80158,Manuel Minginfel,M,33.0,155.0,62.0,Federated States of Micronesia,FSM,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Featherweight,,0,103503.0,1.46e-05,77.683,68.765,326128700.0,3150.910602,4.35e-06
152365,101743,Elias Rodriguez,M,36.0,165.0,62.0,Federated States of Micronesia,FSM,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,,0,107432.0,1.76e-05,77.67,67.3,233226300.0,2170.92021,6.94e-06
154221,102992,Tracy Ann Route,F,15.0,157.0,43.0,Federated States of Micronesia,FSM,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 100 metres Butterfly,,0,107432.0,1.76e-05,77.67,67.3,233226300.0,2170.92021,6.94e-06
154222,102992,Tracy Ann Route,F,19.0,157.0,43.0,Federated States of Micronesia,FSM,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 50 metres Freestyle,,0,106577.0,1.66e-05,77.67,67.82,240097000.0,2252.803138,5.48e-06
157449,105059,Welbert Samuel,M,19.0,,,Federated States of Micronesia,FSM,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Backstroke,,0,107432.0,1.76e-05,77.67,67.3,233226300.0,2170.92021,6.94e-06
