Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
3177,2226,"Danielle Remilekun B. ""Danni"" Alakija",F,16.0,182.0,71.0,Fiji,FJI,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 400 metres,,0,873596.0,0.000123087,47.404,69.625,3972012571.0,4546.738505,5.3e-05
10004,6940,Inoke Ducia Bainimoli,M,25.0,183.0,70.0,Fiji,FJI,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,0,700366.0,0.000147136,61.628,64.074,1177997414.0,1681.974016,9.74e-05
10005,6940,Inoke Ducia Bainimoli,M,25.0,183.0,70.0,Fiji,FJI,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 200 metres,,0,700366.0,0.000147136,61.628,64.074,1177997414.0,1681.974016,9.74e-05
11191,7706,Filipe Baravilala,M,21.0,170.0,74.0,Fiji,FJI,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,,0,898760.0,0.000120766,45.901,70.269,4703632978.0,5233.469422,6.21e-05
12161,8407,Josateki Basalusalu,M,33.0,165.0,86.0,Fiji,FJI,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Middleweight,,0,722917.0,0.00014159,59.915,65.054,1109976928.0,1535.414063,5.81e-05
16985,11658,Angela Birch,F,14.0,175.0,57.0,Fiji,FJI,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 50 metres Freestyle,,0,722917.0,0.00014159,59.915,65.054,1109976928.0,1535.414063,5.81e-05
16986,11658,Angela Birch,F,14.0,175.0,57.0,Fiji,FJI,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Freestyle,,0,722917.0,0.00014159,59.915,65.054,1109976928.0,1535.414063,5.81e-05
16987,11658,Angela Birch,F,14.0,175.0,57.0,Fiji,FJI,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Freestyle,,0,722917.0,0.00014159,59.915,65.054,1109976928.0,1535.414063,5.81e-05
16988,11658,Angela Birch,F,14.0,175.0,57.0,Fiji,FJI,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Backstroke,,0,722917.0,0.00014159,59.915,65.054,1109976928.0,1535.414063,5.81e-05
16989,11658,Angela Birch,F,14.0,175.0,57.0,Fiji,FJI,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Individual Medley,,0,722917.0,0.00014159,59.915,65.054,1109976928.0,1535.414063,5.81e-05
18528,12761,Aporosa Boginisoko,M,23.0,,,Fiji,FJI,1992 Summer,1992,Summer,Barcelona,Judo,Judo Men's Middleweight,,0,744531.0,0.000136457,56.844,65.948,1531803061.0,2057.406691,6.03e-05
18825,12960,Maloni Bole,M,19.0,180.0,78.0,Fiji,FJI,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,,0,722917.0,0.00014159,59.915,65.054,1109976928.0,1535.414063,5.81e-05
18826,12960,Maloni Bole,M,19.0,180.0,78.0,Fiji,FJI,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,,0,722917.0,0.00014159,59.915,65.054,1109976928.0,1535.414063,5.81e-05
18827,12961,Solomone Muaniwaqa Bole,M,22.0,177.0,79.0,Fiji,FJI,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,784476.0,0.000135428,53.718,66.777,2129266728.0,2714.253499,6.74e-05
18828,12961,Solomone Muaniwaqa Bole,M,22.0,177.0,79.0,Fiji,FJI,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,784476.0,0.000135428,53.718,66.777,2129266728.0,2714.253499,6.74e-05
23306,15962,Matelita Buadromo,F,16.0,171.0,56.0,Fiji,FJI,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Breaststroke,,0,873596.0,0.000123087,47.404,69.625,3972012571.0,4546.738505,5.3e-05
23307,15962,Matelita Buadromo,F,20.0,171.0,56.0,Fiji,FJI,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle,,0,898760.0,0.000120766,45.901,70.269,4703632978.0,5233.469422,6.21e-05
23926,16352,Makelesi Bulikiobo-Batimala,F,26.0,181.0,65.0,Fiji,FJI,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 400 metres,,0,818354.0,0.000127146,50.521,68.243,2727507213.0,3332.918533,6.23e-05
23927,16352,Makelesi Bulikiobo-Batimala,F,30.0,181.0,65.0,Fiji,FJI,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 400 metres,,0,843340.0,0.000124685,48.949,68.909,3523185920.0,4177.657789,5.55e-05
28745,19721,Nickel Nishal Chand,M,21.0,167.0,60.0,Fiji,FJI,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,,0,898760.0,0.000120766,45.901,70.269,4703632978.0,5233.469422,6.21e-05
31392,21429,Foy Gordon Chung,M,16.0,,,Fiji,FJI,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 50 metres Freestyle,,0,744531.0,0.000136457,56.844,65.948,1531803061.0,2057.406691,6.03e-05
31393,21429,Foy Gordon Chung,M,16.0,,,Fiji,FJI,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Freestyle,,0,744531.0,0.000136457,56.844,65.948,1531803061.0,2057.406691,6.03e-05
31394,21429,Foy Gordon Chung,M,16.0,,,Fiji,FJI,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Breaststroke,,0,744531.0,0.000136457,56.844,65.948,1531803061.0,2057.406691,6.03e-05
31395,21429,Foy Gordon Chung,M,16.0,,,Fiji,FJI,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Breaststroke,,0,744531.0,0.000136457,56.844,65.948,1531803061.0,2057.406691,6.03e-05
31467,21463,Jason Chute,M,16.0,175.0,62.0,Fiji,FJI,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 50 metres Freestyle,,0,722917.0,0.00014159,59.915,65.054,1109976928.0,1535.414063,5.81e-05
31468,21463,Jason Chute,M,16.0,175.0,62.0,Fiji,FJI,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Freestyle,,0,722917.0,0.00014159,59.915,65.054,1109976928.0,1535.414063,5.81e-05
31469,21463,Jason Chute,M,16.0,175.0,62.0,Fiji,FJI,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Freestyle,,0,722917.0,0.00014159,59.915,65.054,1109976928.0,1535.414063,5.81e-05
33567,22974,Leslie Arthur Copeland,M,24.0,183.0,102.0,Fiji,FJI,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Javelin Throw,,0,873596.0,0.000123087,47.404,69.625,3972012571.0,4546.738505,5.3e-05
33568,22974,Leslie Arthur Copeland,M,28.0,183.0,102.0,Fiji,FJI,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Javelin Throw,,0,898760.0,0.000120766,45.901,70.269,4703632978.0,5233.469422,6.21e-05
35435,24310,Merewai Cumu,F,18.0,174.0,73.0,Fiji,FJI,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,,0,898760.0,0.000120766,45.901,70.269,4703632978.0,5233.469422,6.21e-05
36332,24942,Ro Masivesi Dakuwaqa,M,22.0,190.0,105.0,Fiji,FJI,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold,0,898760.0,0.000120766,45.901,70.269,4703632978.0,5233.469422,6.21e-05
37224,25508,Autiko Waquawuca Daunakamakama,M,22.0,188.0,85.0,Fiji,FJI,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,,0,744531.0,0.000136457,56.844,65.948,1531803061.0,2057.406691,6.03e-05
37281,25548,Raijieli Daveua,F,24.0,,69.0,Fiji,FJI,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,,0,898760.0,0.000120766,45.901,70.269,4703632978.0,5233.469422,6.21e-05
39273,27175,Jone Delai,M,28.0,172.0,77.0,Fiji,FJI,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,784476.0,0.000135428,53.718,66.777,2129266728.0,2714.253499,6.74e-05
39274,27175,Jone Delai,M,28.0,172.0,77.0,Fiji,FJI,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,784476.0,0.000135428,53.718,66.777,2129266728.0,2714.253499,6.74e-05
42444,29297,Apisai Raviyawa Domolailai,M,27.0,192.0,98.0,Fiji,FJI,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold,0,898760.0,0.000120766,45.901,70.269,4703632978.0,5233.469422,6.21e-05
43528,29976,Jale Dreloa,M,21.0,187.0,88.0,Fiji,FJI,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,,0,898760.0,0.000120766,45.901,70.269,4703632978.0,5233.469422,6.21e-05
