Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
24,9,Antti Sami Aalto,M,26.0,186.0,96.0,Finland,FIN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,,0,5200598.0,0.00082854,17.497,78.1195122,140000000000.0,26919.98113,0.004046243
25,11,Jorma Ilmari Aalto,M,22.0,182.0,76.5,Finland,FIN,1980 Winter,1980,Winter,Lake Placid,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,,0,4779535.0,0.001077032,28.273,73.44,53685049410.0,11232.27456,0.004793308
26,12,Jyri Tapani Aalto,M,31.0,172.0,70.0,Finland,FIN,2000 Summer,2000,Summer,Sydney,Badminton,Badminton Men's Singles,,0,5176209.0,0.000846052,17.817,77.46585366,126000000000.0,24342.1392,0.00375
27,14,Pirjo Hannele Aalto (Mattila-),F,32.0,171.0,65.0,Finland,FIN,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 7.5 kilometres Sprint,,0,5088333.0,0.000904618,19.312,76.39560976,103000000000.0,20242.38587,0.003705036
28,16,Juhamatti Tapio Aaltonen,M,28.0,184.0,85.0,Finland,FIN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,0,5461512.0,0.000751344,15.914,81.1804878,273000000000.0,49986.15768,0.003455696
29,18,Timo Antero Aaltonen,M,31.0,189.0,130.0,Finland,FIN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Shot Put,,0,5176209.0,0.000846052,17.817,77.46585366,126000000000.0,24342.1392,0.00375
1977,1426,Aimo Antero Aho,M,29.0,186.0,91.5,Finland,FIN,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Javelin Throw,,0,4779535.0,0.001077032,28.273,73.44,53685049410.0,11232.27456,0.004793308
1978,1427,Matti Olavi Aho,M,26.0,181.0,82.5,Finland,FIN,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Light-Heavyweight,,0,4429634.0,0.001459905,44.71,68.8197561,5224102196.0,1179.353011,0.003813213
1981,1430,Seppo Risto Aho,M,24.0,174.0,70.0,Finland,FIN,1968 Summer,1968,Summer,Mexico City,Modern Pentathlon,Modern Pentathlon Men's Individual,,0,4626469.0,0.001308827,37.894,69.61634146,8823033880.0,1907.077272,0.003615997
1982,1430,Seppo Risto Aho,M,24.0,174.0,70.0,Finland,FIN,1968 Summer,1968,Summer,Mexico City,Modern Pentathlon,Modern Pentathlon Men's Team,,0,4626469.0,0.001308827,37.894,69.61634146,8823033880.0,1907.077272,0.003615997
1983,1431,Viljo Johannes Aho,M,27.0,174.0,68.5,Finland,FIN,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Welterweight,,0,4429634.0,0.001459905,44.71,68.8197561,5224102196.0,1179.353011,0.003813213
1984,1432,Seppo Johannes Ahokainen,M,24.0,178.0,82.0,Finland,FIN,1976 Winter,1976,Winter,Innsbruck,Ice Hockey,Ice Hockey Men's Ice Hockey,,0,4725664.0,0.001141699,31.366,71.81292683,31873171719.0,6744.696982,0.004964668
1985,1433,Juha Matti Ahokas,M,18.0,189.0,116.0,Finland,FIN,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",,0,4946481.0,0.000968815,22.0,74.57707317,109000000000.0,22035.86752,0.005706806
1986,1433,Juha Matti Ahokas,M,22.0,189.0,116.0,Finland,FIN,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",,0,5041992.0,0.000924095,19.872,75.45536585,113000000000.0,22411.77693,0.004448819
1987,1433,Juha Matti Ahokas,M,26.0,189.0,116.0,Finland,FIN,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",,0,5124573.0,0.000884681,18.777,76.69341463,132000000000.0,25758.24366,0.004177215
1988,1433,Juha Matti Ahokas,M,34.0,189.0,116.0,Finland,FIN,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",,0,5228172.0,0.000812289,17.228,78.71463415,197000000000.0,37680.47417,0.004497717
1990,1435,Janne Petteri Ahonen,M,16.0,184.0,66.0,Finland,FIN,1994 Winter,1994,Winter,Lillehammer,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",,0,5088333.0,0.000904618,19.312,76.39560976,103000000000.0,20242.38587,0.003705036
1991,1435,Janne Petteri Ahonen,M,16.0,184.0,66.0,Finland,FIN,1994 Winter,1994,Winter,Lillehammer,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",,0,5088333.0,0.000904618,19.312,76.39560976,103000000000.0,20242.38587,0.003705036
1992,1435,Janne Petteri Ahonen,M,16.0,184.0,66.0,Finland,FIN,1994 Winter,1994,Winter,Lillehammer,Ski Jumping,"Ski Jumping Men's Large Hill, Team",,0,5088333.0,0.000904618,19.312,76.39560976,103000000000.0,20242.38587,0.003705036
1993,1435,Janne Petteri Ahonen,M,20.0,184.0,66.0,Finland,FIN,1998 Winter,1998,Winter,Nagano,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",,0,5153498.0,0.000865082,18.293,77.09073171,134000000000.0,26001.75648,0.00428115
1994,1435,Janne Petteri Ahonen,M,20.0,184.0,66.0,Finland,FIN,1998 Winter,1998,Winter,Nagano,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",,0,5153498.0,0.000865082,18.293,77.09073171,134000000000.0,26001.75648,0.00428115
1995,1435,Janne Petteri Ahonen,M,20.0,184.0,66.0,Finland,FIN,1998 Winter,1998,Winter,Nagano,Ski Jumping,"Ski Jumping Men's Large Hill, Team",,0,5153498.0,0.000865082,18.293,77.09073171,134000000000.0,26001.75648,0.00428115
1996,1435,Janne Petteri Ahonen,M,24.0,184.0,66.0,Finland,FIN,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",,0,5200598.0,0.00082854,17.497,78.1195122,140000000000.0,26919.98113,0.004046243
1997,1435,Janne Petteri Ahonen,M,24.0,184.0,66.0,Finland,FIN,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",,0,5200598.0,0.00082854,17.497,78.1195122,140000000000.0,26919.98113,0.004046243
