Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
62,34,Jamale (Djamel-) Aarrass (Ahrass-),M,30.0,187.0,76.0,France,FRA,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 1,500 metres",,0,65659790.0,0.009251245,21.18,81.96829268,2680000000000.0,40816.45707,0.035781041
91,52,Patrick Abada,M,22.0,189.0,80.0,France,FRA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Pole Vault,,0,54541493.0,0.013176976,27.003,73.10243902,373000000000.0,6838.830026,0.058099688
113,73,Luc Abalo,M,23.0,182.0,86.0,France,FRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold,0,64374990.0,0.009517654,22.136,81.21463415,2920000000000.0,45359.23035,0.045984252
114,73,Luc Abalo,M,27.0,182.0,86.0,France,FRA,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold,0,65659790.0,0.009251245,21.18,81.96829268,2680000000000.0,40816.45707,0.035781041
115,73,Luc Abalo,M,31.0,182.0,86.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver,0,66896109.0,0.008988832,20.25,82.27317073,2470000000000.0,36922.92477,0.032585752
135,93,Jol Marc Abati,M,34.0,190.0,85.0,France,FRA,2004 Summer,2004,Summer,Athina,Handball,Handball Men's Handball,,0,62704897.0,0.009742311,23.117,80.16341463,2120000000000.0,33809.16167,0.048401826
136,93,Jol Marc Abati,M,38.0,190.0,85.0,France,FRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold,0,64374990.0,0.009517654,22.136,81.21463415,2920000000000.0,45359.23035,0.045984252
596,434,David Abibssira,M,21.0,179.0,63.0,France,FRA,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Running Target, 50 metres",,0,56470769.0,0.011863651,26.425,75.0,533000000000.0,9438.511454,0.044049587
608,444,Camille Anne Franoise Abily,F,27.0,168.0,60.0,France,FRA,2012 Summer,2012,Summer,London,Football,Football Women's Football,,0,65659790.0,0.009251245,21.18,81.96829268,2680000000000.0,40816.45707,0.035781041
609,444,Camille Anne Franoise Abily,F,31.0,168.0,60.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,,0,66896109.0,0.008988832,20.25,82.27317073,2470000000000.0,36922.92477,0.032585752
