Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
4841,3352,Mal Ambonguilat,M,18.0,170.0,65.0,Gabon,GAB,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,,0,1979786.0,0.000266024,12.634,66.105,14213558130.0,7179.340661,0.000187514
8427,5888,Pierre-Emerick Emiliano Aubameyang,M,23.0,187.0,77.0,Gabon,GAB,2012 Summer,2012,Summer,London,Football,Football Men's Football,,0,1756817.0,0.00024753,13.633,64.119,17171446922.0,9774.180761,0.000229258
9805,6801,Lionel Baguissi,M,34.0,186.0,77.0,Gabon,GAB,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Welterweight,,0,1536411.0,0.000227154,15.104,61.597,15508574820.0,10094.02746,0.00024423
16919,11611,Wilfried Bingangoye,M,19.0,172.0,80.0,Gabon,GAB,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,,0,1364205.0,0.000211953,17.153,59.512,7756293575.0,5685.577736,0.000177084
16920,11611,Wilfried Bingangoye,M,23.0,172.0,80.0,Gabon,GAB,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,,0,1536411.0,0.000227154,15.104,61.597,15508574820.0,10094.02746,0.00024423
16921,11611,Wilfried Bingangoye,M,27.0,172.0,80.0,Gabon,GAB,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,0,1756817.0,0.00024753,13.633,64.119,17171446922.0,9774.180761,0.000229258
16922,11611,Wilfried Bingangoye,M,31.0,172.0,80.0,Gabon,GAB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,0,1979786.0,0.000266024,12.634,66.105,14213558130.0,7179.340661,0.000187514
20278,13954,Rodrigue Boucka,M,25.0,,,Gabon,GAB,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Featherweight,,0,1004676.0,0.000184137,28.251,61.152,5592390849.0,5566.362538,0.000220173
20316,13982,Serge Bouemba,M,21.0,168.0,54.0,Gabon,GAB,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Featherweight,,0,901458.0,0.000176559,33.588,60.798,3834503378.0,4253.668366,0.000200759
20376,14040,Guy-Elie Boulingui,M,28.0,162.0,51.0,Gabon,GAB,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Flyweight,,0,1113994.0,0.000192314,23.569,60.372,5694040337.0,5111.374331,0.000180191
20550,14167,Antoine Boussombo,M,28.0,178.0,69.0,Gabon,GAB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 200 metres,,0,1113994.0,0.000192314,23.569,60.372,5694040337.0,5111.374331,0.000180191
20551,14167,Antoine Boussombo,M,28.0,178.0,69.0,Gabon,GAB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1113994.0,0.000192314,23.569,60.372,5694040337.0,5111.374331,0.000180191
20552,14167,Antoine Boussombo,M,32.0,178.0,69.0,Gabon,GAB,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,,0,1231122.0,0.000201227,19.918,59.302,5067865321.0,4116.460693,0.000150829
20553,14167,Antoine Boussombo,M,32.0,178.0,69.0,Gabon,GAB,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 200 metres,,0,1231122.0,0.000201227,19.918,59.302,5067865321.0,4116.460693,0.000150829
20554,14168,Cdric Boussoughou Mabikou,M,21.0,170.0,68.0,Gabon,GAB,2012 Summer,2012,Summer,London,Football,Football Men's Football,,0,1756817.0,0.00024753,13.633,64.119,17171446922.0,9774.180761,0.000229258
41428,28644,Muller Dinda Kambambela,M,16.0,170.0,68.0,Gabon,GAB,2012 Summer,2012,Summer,London,Football,Football Men's Football,,0,1756817.0,0.00024753,13.633,64.119,17171446922.0,9774.180761,0.000229258
45247,31213,Eric Thierry Ebang Zu,M,25.0,185.0,65.0,Gabon,GAB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1113994.0,0.000192314,23.569,60.372,5694040337.0,5111.374331,0.000180191
47440,32689,Mlanie Engoang Nguema,F,23.0,172.0,78.0,Gabon,GAB,1992 Summer,1992,Summer,Barcelona,Judo,Judo Women's Half-Heavyweight,,0,1004676.0,0.000184137,28.251,61.152,5592390849.0,5566.362538,0.000220173
47441,32689,Mlanie Engoang Nguema,F,27.0,172.0,78.0,Gabon,GAB,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Middleweight,,0,1113994.0,0.000192314,23.569,60.372,5694040337.0,5111.374331,0.000180191
47442,32689,Mlanie Engoang Nguema,F,32.0,172.0,78.0,Gabon,GAB,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Half-Heavyweight,,0,1231122.0,0.000201227,19.918,59.302,5067865321.0,4116.460693,0.000150829
47443,32689,Mlanie Engoang Nguema,F,36.0,172.0,78.0,Gabon,GAB,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Half-Heavyweight,,0,1364205.0,0.000211953,17.153,59.512,7756293575.0,5685.577736,0.000177084
