Index,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host,Nat_Pop,Global_Pop%,Rural_Pop%,Life_Expect,GDP,GDP_Per_Cap,Global_GDP%
12238,8475,Gina Bass,F,21.0,,,Gambia,GMB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,,0,2038501.0,0.000273913,39.776,61.193,964599178.1,473.1904366,1.27e-05
28094,19275,Paul Ceesay,M,25.0,185.0,70.0,Gambia,GMB,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",,0,701104.0,0.000147291,67.993,49.308,177338801.9,252.9422196,1.47e-05
28095,19276,Peter Ceesay,M,25.0,183.0,71.0,Gambia,GMB,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,,0,701104.0,0.000147291,67.993,49.308,177338801.9,252.9422196,1.47e-05
32782,22421,Saruba Colley,F,23.0,145.0,56.0,Gambia,GMB,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 100 metres,,0,1802125.0,0.000253913,42.294,60.187,910026287.3,504.9740097,1.21e-05
36548,25078,Adama Damballey,M,,,74.0,Gambia,GMB,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Welterweight, Freestyle",,0,843050.0,0.000165119,63.845,51.476,266673126.2,316.3194665,1.4e-05
38892,26914,Victoria Decka,F,,145.0,,Gambia,GMB,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,,0,701104.0,0.000147291,67.993,49.308,177338801.9,252.9422196,1.47e-05
43451,29920,Lamin Drammeh,M,17.0,,,Gambia,GMB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,1096708.0,0.00018933,55.742,54.254,848237108.6,773.4393372,2.68e-05
43452,29921,Momodou Lamin Drammeh,M,17.0,,,Gambia,GMB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,0,1096708.0,0.00018933,55.742,54.254,848237108.6,773.4393372,2.68e-05
54039,36979,Georgiana Freeman,F,28.0,167.0,44.0,Gambia,GMB,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,,0,701104.0,0.000147291,67.993,49.308,177338801.9,252.9422196,1.47e-05
55239,37741,Sheikh Oumar Fye,M,24.0,183.0,80.0,Gambia,GMB,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,0,701104.0,0.000147291,67.993,49.308,177338801.9,252.9422196,1.47e-05
55240,37741,Sheikh Oumar Fye,M,24.0,183.0,80.0,Gambia,GMB,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 200 metres,,0,701104.0,0.000147291,67.993,49.308,177338801.9,252.9422196,1.47e-05
55241,37741,Sheikh Oumar Fye,M,24.0,183.0,80.0,Gambia,GMB,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,,0,701104.0,0.000147291,67.993,49.308,177338801.9,252.9422196,1.47e-05
55477,37909,Pa Mamadou Gai,M,18.0,167.0,61.0,Gambia,GMB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,0,1096708.0,0.00018933,55.742,54.254,848237108.6,773.4393372,2.68e-05
55478,37909,Pa Mamadou Gai,M,18.0,167.0,61.0,Gambia,GMB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,,0,1096708.0,0.00018933,55.742,54.254,848237108.6,773.4393372,2.68e-05
